substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Oligella_urethralis
2	10fthf	thf	10fthf___thf	Oligella_urethralis
3	13dpg	3pg	13dpg___3pg	Oligella_urethralis
4	13dpg	atp	13dpg___atp	Oligella_urethralis
5	1ddecg3p	ACP	1ddecg3p___ACP	Oligella_urethralis
6	1ddecg3p	pa120	1ddecg3p___pa120	Oligella_urethralis
7	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Oligella_urethralis
8	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Oligella_urethralis
9	1hdecg3p	ACP	1hdecg3p___ACP	Oligella_urethralis
10	1hdecg3p	pa160	1hdecg3p___pa160	Oligella_urethralis
11	1odec11eg3p	ACP	1odec11eg3p___ACP	Oligella_urethralis
12	1odec11eg3p	pa181	1odec11eg3p___pa181	Oligella_urethralis
13	1odecg3p	ACP	1odecg3p___ACP	Oligella_urethralis
14	1odecg3p	pa180	1odecg3p___pa180	Oligella_urethralis
15	1pyr5c	nadp	1pyr5c___nadp	Oligella_urethralis
16	1pyr5c	pro__L	1pyr5c___pro__L	Oligella_urethralis
17	1tdecg3p	ACP	1tdecg3p___ACP	Oligella_urethralis
18	1tdecg3p	pa140	1tdecg3p___pa140	Oligella_urethralis
19	23dhdp	nadp	23dhdp___nadp	Oligella_urethralis
20	23dhdp	thdp	23dhdp___thdp	Oligella_urethralis
21	23dhmp	3mop	23dhmp___3mop	Oligella_urethralis
22	23dhmp	h2o	23dhmp___h2o	Oligella_urethralis
23	25aics	aicar	25aics___aicar	Oligella_urethralis
24	25aics	fum	25aics___fum	Oligella_urethralis
25	25dhpp	5apru	25dhpp___5apru	Oligella_urethralis
26	25dhpp	nh4	25dhpp___nh4	Oligella_urethralis
27	26dap_	adp	26dap____adp	Oligella_urethralis
28	26dap_	co2	26dap____co2	Oligella_urethralis
29	26dap_	h	26dap____h	Oligella_urethralis
30	26dap_	lys__L	26dap____lys__L	Oligella_urethralis
31	26dap_	pi	26dap____pi	Oligella_urethralis
32	26dap_	ugmd	26dap____ugmd	Oligella_urethralis
33	26dap_LL	26dap_	26dap_LL___26dap_	Oligella_urethralis
34	2agpe181	g3pe	2agpe181___g3pe	Oligella_urethralis
35	2agpe181	h	2agpe181___h	Oligella_urethralis
36	2agpe181	ocdcea	2agpe181___ocdcea	Oligella_urethralis
37	2agpg120	amp	2agpg120___amp	Oligella_urethralis
38	2agpg120	pg120	2agpg120___pg120	Oligella_urethralis
39	2agpg120	ppi	2agpg120___ppi	Oligella_urethralis
40	2agpg140	amp	2agpg140___amp	Oligella_urethralis
41	2agpg140	g3pg	2agpg140___g3pg	Oligella_urethralis
42	2agpg140	h	2agpg140___h	Oligella_urethralis
43	2agpg140	pg140	2agpg140___pg140	Oligella_urethralis
44	2agpg140	ppi	2agpg140___ppi	Oligella_urethralis
45	2agpg140	ttdca	2agpg140___ttdca	Oligella_urethralis
46	2agpg141	amp	2agpg141___amp	Oligella_urethralis
47	2agpg141	pg141	2agpg141___pg141	Oligella_urethralis
48	2agpg141	ppi	2agpg141___ppi	Oligella_urethralis
49	2agpg160	amp	2agpg160___amp	Oligella_urethralis
50	2agpg160	pg160	2agpg160___pg160	Oligella_urethralis
51	2agpg160	ppi	2agpg160___ppi	Oligella_urethralis
52	2agpg161	g3pg	2agpg161___g3pg	Oligella_urethralis
53	2agpg161	h	2agpg161___h	Oligella_urethralis
54	2agpg161	hdcea	2agpg161___hdcea	Oligella_urethralis
55	2agpg180	amp	2agpg180___amp	Oligella_urethralis
56	2agpg180	pg180	2agpg180___pg180	Oligella_urethralis
57	2agpg180	ppi	2agpg180___ppi	Oligella_urethralis
58	2agpg181	amp	2agpg181___amp	Oligella_urethralis
59	2agpg181	pg181	2agpg181___pg181	Oligella_urethralis
60	2agpg181	ppi	2agpg181___ppi	Oligella_urethralis
61	2ahbut	23dhmp	2ahbut___23dhmp	Oligella_urethralis
62	2ahbut	nadp	2ahbut___nadp	Oligella_urethralis
63	2ahhmp	dhpt	2ahhmp___dhpt	Oligella_urethralis
64	2ahhmp	h2o	2ahhmp___h2o	Oligella_urethralis
65	2amsa	nadp	2amsa___nadp	Oligella_urethralis
66	2aobut	athr__L	2aobut___athr__L	Oligella_urethralis
67	2aobut	nadp	2aobut___nadp	Oligella_urethralis
68	2cpr5p	3ig3p	2cpr5p___3ig3p	Oligella_urethralis
69	2cpr5p	co2	2cpr5p___co2	Oligella_urethralis
70	2cpr5p	h2o	2cpr5p___h2o	Oligella_urethralis
71	2dda7p	3dhq	2dda7p___3dhq	Oligella_urethralis
72	2dda7p	pi	2dda7p___pi	Oligella_urethralis
73	2dhp	nadp	2dhp___nadp	Oligella_urethralis
74	2dhp	pant__R	2dhp___pant__R	Oligella_urethralis
75	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Oligella_urethralis
76	2dmmq8	nad	2dmmq8___nad	Oligella_urethralis
77	2dmmql8	ahcys	2dmmql8___ahcys	Oligella_urethralis
78	2dmmql8	h	2dmmql8___h	Oligella_urethralis
79	2dmmql8	mql8	2dmmql8___mql8	Oligella_urethralis
80	2dr5p	acald	2dr5p___acald	Oligella_urethralis
81	2dr5p	g3p	2dr5p___g3p	Oligella_urethralis
82	2fe1s	h	2fe1s___h	Oligella_urethralis
83	2fe1s	iscs	2fe1s___iscs	Oligella_urethralis
84	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Oligella_urethralis
85	2fe2s	2fe1s	2fe2s___2fe1s	Oligella_urethralis
86	2fe2s	btn	2fe2s___btn	Oligella_urethralis
87	2fe2s	dad_5	2fe2s___dad_5	Oligella_urethralis
88	2fe2s	h	2fe2s___h	Oligella_urethralis
89	2fe2s	met__L	2fe2s___met__L	Oligella_urethralis
90	2ippm	3c2hmp	2ippm___3c2hmp	Oligella_urethralis
91	2kmb	akg	2kmb___akg	Oligella_urethralis
92	2kmb	met__L	2kmb___met__L	Oligella_urethralis
93	2mahmp	ppi	2mahmp___ppi	Oligella_urethralis
94	2mahmp	thmmp	2mahmp___thmmp	Oligella_urethralis
95	2me4p	4c2me	2me4p___4c2me	Oligella_urethralis
96	2me4p	ppi	2me4p___ppi	Oligella_urethralis
97	2mecdp	h2mb4p	2mecdp___h2mb4p	Oligella_urethralis
98	2mecdp	h2o	2mecdp___h2o	Oligella_urethralis
99	2obut	2ahbut	2obut___2ahbut	Oligella_urethralis
100	2obut	co2	2obut___co2	Oligella_urethralis
101	2p4c2me	2mecdp	2p4c2me___2mecdp	Oligella_urethralis
102	2p4c2me	cmp	2p4c2me___cmp	Oligella_urethralis
103	2pg	h2o	2pg___h2o	Oligella_urethralis
104	2pg	pep	2pg___pep	Oligella_urethralis
105	2pglyc	glyclt	2pglyc___glyclt	Oligella_urethralis
