substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Orbus_hercynius
2	10fthf	thf	10fthf___thf	Orbus_hercynius
3	12dgr120	adp	12dgr120___adp	Orbus_hercynius
4	12dgr120	h	12dgr120___h	Orbus_hercynius
5	12dgr120	pa120	12dgr120___pa120	Orbus_hercynius
6	12dgr140	adp	12dgr140___adp	Orbus_hercynius
7	12dgr140	h	12dgr140___h	Orbus_hercynius
8	12dgr140	pa140	12dgr140___pa140	Orbus_hercynius
9	12dgr141	adp	12dgr141___adp	Orbus_hercynius
10	12dgr141	h	12dgr141___h	Orbus_hercynius
11	12dgr141	pa141	12dgr141___pa141	Orbus_hercynius
12	12dgr160	adp	12dgr160___adp	Orbus_hercynius
13	12dgr160	h	12dgr160___h	Orbus_hercynius
14	12dgr160	pa160	12dgr160___pa160	Orbus_hercynius
15	12dgr161	adp	12dgr161___adp	Orbus_hercynius
16	12dgr161	h	12dgr161___h	Orbus_hercynius
17	12dgr161	pa161	12dgr161___pa161	Orbus_hercynius
18	12dgr180	adp	12dgr180___adp	Orbus_hercynius
19	12dgr180	h	12dgr180___h	Orbus_hercynius
20	12dgr180	pa180	12dgr180___pa180	Orbus_hercynius
21	12dgr181	adp	12dgr181___adp	Orbus_hercynius
22	12dgr181	h	12dgr181___h	Orbus_hercynius
23	12dgr181	pa181	12dgr181___pa181	Orbus_hercynius
24	12ppd__S	h	12ppd__S___h	Orbus_hercynius
25	12ppd__S	lald__L	12ppd__S___lald__L	Orbus_hercynius
26	12ppd__S	nadh	12ppd__S___nadh	Orbus_hercynius
27	13dpg	3pg	13dpg___3pg	Orbus_hercynius
28	13dpg	atp	13dpg___atp	Orbus_hercynius
29	1ddecg3p	ACP	1ddecg3p___ACP	Orbus_hercynius
30	1ddecg3p	pa120	1ddecg3p___pa120	Orbus_hercynius
31	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Orbus_hercynius
32	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Orbus_hercynius
33	1hdecg3p	ACP	1hdecg3p___ACP	Orbus_hercynius
34	1hdecg3p	pa160	1hdecg3p___pa160	Orbus_hercynius
35	1odec11eg3p	ACP	1odec11eg3p___ACP	Orbus_hercynius
36	1odec11eg3p	pa181	1odec11eg3p___pa181	Orbus_hercynius
37	1odecg3p	ACP	1odecg3p___ACP	Orbus_hercynius
38	1odecg3p	pa180	1odecg3p___pa180	Orbus_hercynius
39	1pyr5c	nad	1pyr5c___nad	Orbus_hercynius
40	1pyr5c	nadp	1pyr5c___nadp	Orbus_hercynius
41	1pyr5c	pro__L	1pyr5c___pro__L	Orbus_hercynius
42	1tdecg3p	ACP	1tdecg3p___ACP	Orbus_hercynius
43	1tdecg3p	pa140	1tdecg3p___pa140	Orbus_hercynius
44	23dhdp	nadp	23dhdp___nadp	Orbus_hercynius
45	23dhdp	thdp	23dhdp___thdp	Orbus_hercynius
46	23dhmb	alac__S	23dhmb___alac__S	Orbus_hercynius
47	23dhmb	h	23dhmb___h	Orbus_hercynius
48	23dhmb	nadph	23dhmb___nadph	Orbus_hercynius
49	23dhmp	3mop	23dhmp___3mop	Orbus_hercynius
50	23dhmp	h2o	23dhmp___h2o	Orbus_hercynius
51	25aics	aicar	25aics___aicar	Orbus_hercynius
52	25aics	fum	25aics___fum	Orbus_hercynius
53	26dap_	adp	26dap____adp	Orbus_hercynius
54	26dap_	co2	26dap____co2	Orbus_hercynius
55	26dap_	h	26dap____h	Orbus_hercynius
56	26dap_	lys__L	26dap____lys__L	Orbus_hercynius
57	26dap_	pi	26dap____pi	Orbus_hercynius
58	26dap_	ugmd	26dap____ugmd	Orbus_hercynius
59	26dap_LL	26dap_	26dap_LL___26dap_	Orbus_hercynius
60	2agpe120	amp	2agpe120___amp	Orbus_hercynius
61	2agpe120	pe120	2agpe120___pe120	Orbus_hercynius
62	2agpe120	ppi	2agpe120___ppi	Orbus_hercynius
63	2agpe140	amp	2agpe140___amp	Orbus_hercynius
64	2agpe140	pe140	2agpe140___pe140	Orbus_hercynius
65	2agpe140	ppi	2agpe140___ppi	Orbus_hercynius
66	2agpe141	amp	2agpe141___amp	Orbus_hercynius
67	2agpe141	pe141	2agpe141___pe141	Orbus_hercynius
68	2agpe141	ppi	2agpe141___ppi	Orbus_hercynius
69	2agpe160	amp	2agpe160___amp	Orbus_hercynius
70	2agpe160	pe160	2agpe160___pe160	Orbus_hercynius
71	2agpe160	ppi	2agpe160___ppi	Orbus_hercynius
72	2agpe180	amp	2agpe180___amp	Orbus_hercynius
73	2agpe180	pe180	2agpe180___pe180	Orbus_hercynius
74	2agpe180	ppi	2agpe180___ppi	Orbus_hercynius
75	2agpe181	amp	2agpe181___amp	Orbus_hercynius
76	2agpe181	pe181	2agpe181___pe181	Orbus_hercynius
77	2agpe181	ppi	2agpe181___ppi	Orbus_hercynius
78	2agpg120	amp	2agpg120___amp	Orbus_hercynius
79	2agpg120	pg120	2agpg120___pg120	Orbus_hercynius
80	2agpg120	ppi	2agpg120___ppi	Orbus_hercynius
81	2agpg140	amp	2agpg140___amp	Orbus_hercynius
82	2agpg140	pg140	2agpg140___pg140	Orbus_hercynius
83	2agpg140	ppi	2agpg140___ppi	Orbus_hercynius
84	2agpg141	amp	2agpg141___amp	Orbus_hercynius
85	2agpg141	pg141	2agpg141___pg141	Orbus_hercynius
86	2agpg141	ppi	2agpg141___ppi	Orbus_hercynius
87	2agpg160	amp	2agpg160___amp	Orbus_hercynius
88	2agpg160	pg160	2agpg160___pg160	Orbus_hercynius
89	2agpg160	ppi	2agpg160___ppi	Orbus_hercynius
90	2agpg161	amp	2agpg161___amp	Orbus_hercynius
91	2agpg161	pg161	2agpg161___pg161	Orbus_hercynius
92	2agpg161	ppi	2agpg161___ppi	Orbus_hercynius
93	2agpg180	amp	2agpg180___amp	Orbus_hercynius
