substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Paenalcaligenes_hominis
2	10fthf	thf	10fthf___thf	Paenalcaligenes_hominis
3	12dgr120	adp	12dgr120___adp	Paenalcaligenes_hominis
4	12dgr120	h	12dgr120___h	Paenalcaligenes_hominis
5	12dgr120	pa120	12dgr120___pa120	Paenalcaligenes_hominis
6	12dgr140	adp	12dgr140___adp	Paenalcaligenes_hominis
7	12dgr140	h	12dgr140___h	Paenalcaligenes_hominis
8	12dgr140	pa140	12dgr140___pa140	Paenalcaligenes_hominis
9	12dgr160	adp	12dgr160___adp	Paenalcaligenes_hominis
10	12dgr160	h	12dgr160___h	Paenalcaligenes_hominis
11	12dgr160	pa160	12dgr160___pa160	Paenalcaligenes_hominis
12	12dgr161	adp	12dgr161___adp	Paenalcaligenes_hominis
13	12dgr161	h	12dgr161___h	Paenalcaligenes_hominis
14	12dgr161	pa161	12dgr161___pa161	Paenalcaligenes_hominis
15	12dgr180	adp	12dgr180___adp	Paenalcaligenes_hominis
16	12dgr180	h	12dgr180___h	Paenalcaligenes_hominis
17	12dgr180	pa180	12dgr180___pa180	Paenalcaligenes_hominis
18	12ppd__S	h	12ppd__S___h	Paenalcaligenes_hominis
19	12ppd__S	lald__L	12ppd__S___lald__L	Paenalcaligenes_hominis
20	12ppd__S	nadh	12ppd__S___nadh	Paenalcaligenes_hominis
21	13dpg	3pg	13dpg___3pg	Paenalcaligenes_hominis
22	13dpg	atp	13dpg___atp	Paenalcaligenes_hominis
23	1ddecg3p	ACP	1ddecg3p___ACP	Paenalcaligenes_hominis
24	1ddecg3p	pa120	1ddecg3p___pa120	Paenalcaligenes_hominis
25	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Paenalcaligenes_hominis
26	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Paenalcaligenes_hominis
27	1hdecg3p	ACP	1hdecg3p___ACP	Paenalcaligenes_hominis
28	1hdecg3p	pa160	1hdecg3p___pa160	Paenalcaligenes_hominis
29	1odec11eg3p	ACP	1odec11eg3p___ACP	Paenalcaligenes_hominis
30	1odec11eg3p	pa181	1odec11eg3p___pa181	Paenalcaligenes_hominis
31	1odecg3p	ACP	1odecg3p___ACP	Paenalcaligenes_hominis
32	1odecg3p	pa180	1odecg3p___pa180	Paenalcaligenes_hominis
33	1pyr5c	nadp	1pyr5c___nadp	Paenalcaligenes_hominis
34	1pyr5c	pro__L	1pyr5c___pro__L	Paenalcaligenes_hominis
35	1tdecg3p	ACP	1tdecg3p___ACP	Paenalcaligenes_hominis
36	1tdecg3p	pa140	1tdecg3p___pa140	Paenalcaligenes_hominis
37	23dhdp	nadp	23dhdp___nadp	Paenalcaligenes_hominis
38	23dhdp	thdp	23dhdp___thdp	Paenalcaligenes_hominis
