substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Pelobacter_acetylenicus
2	10fthf	thf	10fthf___thf	Pelobacter_acetylenicus
3	12dgr120	adp	12dgr120___adp	Pelobacter_acetylenicus
4	12dgr120	h	12dgr120___h	Pelobacter_acetylenicus
5	12dgr120	pa120	12dgr120___pa120	Pelobacter_acetylenicus
6	12dgr140	adp	12dgr140___adp	Pelobacter_acetylenicus
7	12dgr140	h	12dgr140___h	Pelobacter_acetylenicus
8	12dgr140	pa140	12dgr140___pa140	Pelobacter_acetylenicus
9	12dgr141	adp	12dgr141___adp	Pelobacter_acetylenicus
10	12dgr141	h	12dgr141___h	Pelobacter_acetylenicus
11	12dgr141	pa141	12dgr141___pa141	Pelobacter_acetylenicus
12	12dgr160	adp	12dgr160___adp	Pelobacter_acetylenicus
13	12dgr160	h	12dgr160___h	Pelobacter_acetylenicus
14	12dgr160	pa160	12dgr160___pa160	Pelobacter_acetylenicus
15	12dgr161	adp	12dgr161___adp	Pelobacter_acetylenicus
16	12dgr161	h	12dgr161___h	Pelobacter_acetylenicus
17	12dgr161	pa161	12dgr161___pa161	Pelobacter_acetylenicus
18	12dgr180	adp	12dgr180___adp	Pelobacter_acetylenicus
19	12dgr180	h	12dgr180___h	Pelobacter_acetylenicus
20	12dgr180	pa180	12dgr180___pa180	Pelobacter_acetylenicus
21	12dgr181	adp	12dgr181___adp	Pelobacter_acetylenicus
22	12dgr181	h	12dgr181___h	Pelobacter_acetylenicus
23	12dgr181	pa181	12dgr181___pa181	Pelobacter_acetylenicus
24	12ppd__S	h	12ppd__S___h	Pelobacter_acetylenicus
25	12ppd__S	lald__L	12ppd__S___lald__L	Pelobacter_acetylenicus
26	12ppd__S	nadh	12ppd__S___nadh	Pelobacter_acetylenicus
27	13dpg	3pg	13dpg___3pg	Pelobacter_acetylenicus
28	13dpg	atp	13dpg___atp	Pelobacter_acetylenicus
29	1ddecg3p	ACP	1ddecg3p___ACP	Pelobacter_acetylenicus
30	1ddecg3p	pa120	1ddecg3p___pa120	Pelobacter_acetylenicus
31	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Pelobacter_acetylenicus
32	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Pelobacter_acetylenicus
33	1hdecg3p	ACP	1hdecg3p___ACP	Pelobacter_acetylenicus
34	1hdecg3p	pa160	1hdecg3p___pa160	Pelobacter_acetylenicus
35	1odec11eg3p	ACP	1odec11eg3p___ACP	Pelobacter_acetylenicus
36	1odec11eg3p	pa181	1odec11eg3p___pa181	Pelobacter_acetylenicus
37	1odecg3p	ACP	1odecg3p___ACP	Pelobacter_acetylenicus
38	1odecg3p	pa180	1odecg3p___pa180	Pelobacter_acetylenicus
39	1pyr5c	nad	1pyr5c___nad	Pelobacter_acetylenicus
40	1pyr5c	nadp	1pyr5c___nadp	Pelobacter_acetylenicus
41	1pyr5c	pro__L	1pyr5c___pro__L	Pelobacter_acetylenicus
42	1tdecg3p	ACP	1tdecg3p___ACP	Pelobacter_acetylenicus
43	1tdecg3p	pa140	1tdecg3p___pa140	Pelobacter_acetylenicus
44	23dhdp	nadp	23dhdp___nadp	Pelobacter_acetylenicus
45	23dhdp	thdp	23dhdp___thdp	Pelobacter_acetylenicus
46	23dhmb	alac__S	23dhmb___alac__S	Pelobacter_acetylenicus
47	23dhmb	h	23dhmb___h	Pelobacter_acetylenicus
48	23dhmb	nadph	23dhmb___nadph	Pelobacter_acetylenicus
