substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Photorhabdus_thracensis
2	10fthf	thf	10fthf___thf	Photorhabdus_thracensis
3	12dgr120	adp	12dgr120___adp	Photorhabdus_thracensis
4	12dgr120	h	12dgr120___h	Photorhabdus_thracensis
5	12dgr120	pa120	12dgr120___pa120	Photorhabdus_thracensis
6	12dgr140	adp	12dgr140___adp	Photorhabdus_thracensis
7	12dgr140	h	12dgr140___h	Photorhabdus_thracensis
8	12dgr140	pa140	12dgr140___pa140	Photorhabdus_thracensis
9	12dgr141	adp	12dgr141___adp	Photorhabdus_thracensis
10	12dgr141	h	12dgr141___h	Photorhabdus_thracensis
11	12dgr141	pa141	12dgr141___pa141	Photorhabdus_thracensis
12	12dgr160	adp	12dgr160___adp	Photorhabdus_thracensis
13	12dgr160	h	12dgr160___h	Photorhabdus_thracensis
14	12dgr160	pa160	12dgr160___pa160	Photorhabdus_thracensis
15	12dgr161	adp	12dgr161___adp	Photorhabdus_thracensis
16	12dgr161	h	12dgr161___h	Photorhabdus_thracensis
17	12dgr161	pa161	12dgr161___pa161	Photorhabdus_thracensis
18	12dgr180	adp	12dgr180___adp	Photorhabdus_thracensis
19	12dgr180	h	12dgr180___h	Photorhabdus_thracensis
20	12dgr180	pa180	12dgr180___pa180	Photorhabdus_thracensis
21	12dgr181	adp	12dgr181___adp	Photorhabdus_thracensis
22	12dgr181	h	12dgr181___h	Photorhabdus_thracensis
23	12dgr181	pa181	12dgr181___pa181	Photorhabdus_thracensis
24	12ppd__S	h	12ppd__S___h	Photorhabdus_thracensis
25	12ppd__S	lald__L	12ppd__S___lald__L	Photorhabdus_thracensis
26	12ppd__S	nadh	12ppd__S___nadh	Photorhabdus_thracensis
27	13dpg	3pg	13dpg___3pg	Photorhabdus_thracensis
28	13dpg	atp	13dpg___atp	Photorhabdus_thracensis
29	14glucan	malthx	14glucan___malthx	Photorhabdus_thracensis
30	1ddecg3p	ACP	1ddecg3p___ACP	Photorhabdus_thracensis
31	1ddecg3p	pa120	1ddecg3p___pa120	Photorhabdus_thracensis
32	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Photorhabdus_thracensis
33	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Photorhabdus_thracensis
34	1hdecg3p	ACP	1hdecg3p___ACP	Photorhabdus_thracensis
35	1hdecg3p	pa160	1hdecg3p___pa160	Photorhabdus_thracensis
36	1odec11eg3p	ACP	1odec11eg3p___ACP	Photorhabdus_thracensis
37	1odec11eg3p	pa181	1odec11eg3p___pa181	Photorhabdus_thracensis
38	1odecg3p	ACP	1odecg3p___ACP	Photorhabdus_thracensis
39	1odecg3p	pa180	1odecg3p___pa180	Photorhabdus_thracensis
40	1pyr5c	nadp	1pyr5c___nadp	Photorhabdus_thracensis
41	1pyr5c	pro__L	1pyr5c___pro__L	Photorhabdus_thracensis
42	1tdecg3p	ACP	1tdecg3p___ACP	Photorhabdus_thracensis
43	1tdecg3p	pa140	1tdecg3p___pa140	Photorhabdus_thracensis
44	23dhdp	nadp	23dhdp___nadp	Photorhabdus_thracensis
45	23dhdp	thdp	23dhdp___thdp	Photorhabdus_thracensis
46	23dhmb	alac__S	23dhmb___alac__S	Photorhabdus_thracensis
47	23dhmb	h	23dhmb___h	Photorhabdus_thracensis
48	23dhmb	nadph	23dhmb___nadph	Photorhabdus_thracensis
49	23dhmp	3mop	23dhmp___3mop	Photorhabdus_thracensis
50	23dhmp	h2o	23dhmp___h2o	Photorhabdus_thracensis
51	25aics	aicar	25aics___aicar	Photorhabdus_thracensis
52	25aics	fum	25aics___fum	Photorhabdus_thracensis
53	26dap_	adp	26dap____adp	Photorhabdus_thracensis
54	26dap_	co2	26dap____co2	Photorhabdus_thracensis
55	26dap_	h	26dap____h	Photorhabdus_thracensis
56	26dap_	lys__L	26dap____lys__L	Photorhabdus_thracensis
57	26dap_	pi	26dap____pi	Photorhabdus_thracensis
58	26dap_	ugmd	26dap____ugmd	Photorhabdus_thracensis
59	26dap_LL	26dap_	26dap_LL___26dap_	Photorhabdus_thracensis
60	2agpe120	amp	2agpe120___amp	Photorhabdus_thracensis
61	2agpe120	pe120	2agpe120___pe120	Photorhabdus_thracensis
62	2agpe120	ppi	2agpe120___ppi	Photorhabdus_thracensis
63	2agpe140	amp	2agpe140___amp	Photorhabdus_thracensis
64	2agpe140	pe140	2agpe140___pe140	Photorhabdus_thracensis
65	2agpe140	ppi	2agpe140___ppi	Photorhabdus_thracensis
66	2agpe141	amp	2agpe141___amp	Photorhabdus_thracensis
67	2agpe141	pe141	2agpe141___pe141	Photorhabdus_thracensis
68	2agpe141	ppi	2agpe141___ppi	Photorhabdus_thracensis
69	2agpe160	amp	2agpe160___amp	Photorhabdus_thracensis
70	2agpe160	pe160	2agpe160___pe160	Photorhabdus_thracensis
71	2agpe160	ppi	2agpe160___ppi	Photorhabdus_thracensis
72	2agpe180	amp	2agpe180___amp	Photorhabdus_thracensis
73	2agpe180	pe180	2agpe180___pe180	Photorhabdus_thracensis
74	2agpe180	ppi	2agpe180___ppi	Photorhabdus_thracensis
75	2agpe181	amp	2agpe181___amp	Photorhabdus_thracensis
76	2agpe181	pe181	2agpe181___pe181	Photorhabdus_thracensis
77	2agpe181	ppi	2agpe181___ppi	Photorhabdus_thracensis
78	2agpg120	amp	2agpg120___amp	Photorhabdus_thracensis
79	2agpg120	pg120	2agpg120___pg120	Photorhabdus_thracensis
80	2agpg120	ppi	2agpg120___ppi	Photorhabdus_thracensis
81	2agpg140	amp	2agpg140___amp	Photorhabdus_thracensis
82	2agpg140	pg140	2agpg140___pg140	Photorhabdus_thracensis
83	2agpg140	ppi	2agpg140___ppi	Photorhabdus_thracensis
84	2agpg141	amp	2agpg141___amp	Photorhabdus_thracensis
85	2agpg141	pg141	2agpg141___pg141	Photorhabdus_thracensis
86	2agpg141	ppi	2agpg141___ppi	Photorhabdus_thracensis
87	2agpg160	amp	2agpg160___amp	Photorhabdus_thracensis
88	2agpg160	pg160	2agpg160___pg160	Photorhabdus_thracensis
89	2agpg160	ppi	2agpg160___ppi	Photorhabdus_thracensis
90	2agpg161	amp	2agpg161___amp	Photorhabdus_thracensis
91	2agpg161	pg161	2agpg161___pg161	Photorhabdus_thracensis
92	2agpg161	ppi	2agpg161___ppi	Photorhabdus_thracensis
93	2agpg180	amp	2agpg180___amp	Photorhabdus_thracensis
94	2agpg180	pg180	2agpg180___pg180	Photorhabdus_thracensis
95	2agpg180	ppi	2agpg180___ppi	Photorhabdus_thracensis
96	2agpg181	amp	2agpg181___amp	Photorhabdus_thracensis
97	2agpg181	pg181	2agpg181___pg181	Photorhabdus_thracensis
98	2agpg181	ppi	2agpg181___ppi	Photorhabdus_thracensis
99	2ahbut	23dhmp	2ahbut___23dhmp	Photorhabdus_thracensis
100	2ahbut	nadp	2ahbut___nadp	Photorhabdus_thracensis
101	2amsa	nadp	2amsa___nadp	Photorhabdus_thracensis
102	2amsa	ser__L	2amsa___ser__L	Photorhabdus_thracensis
103	2aobut	athr__L	2aobut___athr__L	Photorhabdus_thracensis
104	2aobut	nadp	2aobut___nadp	Photorhabdus_thracensis
105	2cpr5p	3ig3p	2cpr5p___3ig3p	Photorhabdus_thracensis
106	2cpr5p	co2	2cpr5p___co2	Photorhabdus_thracensis
107	2cpr5p	h2o	2cpr5p___h2o	Photorhabdus_thracensis
108	2dda7p	3dhq	2dda7p___3dhq	Photorhabdus_thracensis
109	2dda7p	pi	2dda7p___pi	Photorhabdus_thracensis
110	2ddg6p	g3p	2ddg6p___g3p	Photorhabdus_thracensis
111	2ddg6p	pyr	2ddg6p___pyr	Photorhabdus_thracensis
112	2ddglcn	2ddg6p	2ddglcn___2ddg6p	Photorhabdus_thracensis
113	2ddglcn	adp	2ddglcn___adp	Photorhabdus_thracensis
114	2ddglcn	h	2ddglcn___h	Photorhabdus_thracensis
115	2dhp	nadp	2dhp___nadp	Photorhabdus_thracensis
116	2dhp	pant__R	2dhp___pant__R	Photorhabdus_thracensis
117	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Photorhabdus_thracensis
118	2dmmq8	nad	2dmmq8___nad	Photorhabdus_thracensis
119	2dmmql8	2dmmq8	2dmmql8___2dmmq8	Photorhabdus_thracensis
120	2dmmql8	ahcys	2dmmql8___ahcys	Photorhabdus_thracensis
121	2dmmql8	h	2dmmql8___h	Photorhabdus_thracensis
122	2dmmql8	mql8	2dmmql8___mql8	Photorhabdus_thracensis
123	2dmmql8	succ	2dmmql8___succ	Photorhabdus_thracensis
124	2dr1p	2dr5p	2dr1p___2dr5p	Photorhabdus_thracensis
125	2dr5p	acald	2dr5p___acald	Photorhabdus_thracensis
126	2dr5p	g3p	2dr5p___g3p	Photorhabdus_thracensis
127	2fe1s	adp	2fe1s___adp	Photorhabdus_thracensis
128	2fe1s	h	2fe1s___h	Photorhabdus_thracensis
129	2fe1s	iscs	2fe1s___iscs	Photorhabdus_thracensis
130	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Photorhabdus_thracensis
131	2fe1s	pi	2fe1s___pi	Photorhabdus_thracensis
132	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Photorhabdus_thracensis
133	2fe1s	sufse	2fe1s___sufse	Photorhabdus_thracensis
134	2fe2s	2fe1s	2fe2s___2fe1s	Photorhabdus_thracensis
135	2fe2s	btn	2fe2s___btn	Photorhabdus_thracensis
136	2fe2s	dad_5	2fe2s___dad_5	Photorhabdus_thracensis
137	2fe2s	h	2fe2s___h	Photorhabdus_thracensis
138	2fe2s	met__L	2fe2s___met__L	Photorhabdus_thracensis
139	2hh24dd	4h2kpi	2hh24dd___4h2kpi	Photorhabdus_thracensis
140	2ins	adp	2ins___adp	Photorhabdus_thracensis
141	2ins	dhap	2ins___dhap	Photorhabdus_thracensis
142	2ins	h	2ins___h	Photorhabdus_thracensis
143	2ins	msa	2ins___msa	Photorhabdus_thracensis
144	2ippm	3c2hmp	2ippm___3c2hmp	Photorhabdus_thracensis
145	2mahmp	4ampm	2mahmp___4ampm	Photorhabdus_thracensis
146	2mahmp	h	2mahmp___h	Photorhabdus_thracensis
147	2mahmp	pi	2mahmp___pi	Photorhabdus_thracensis
148	2mahmp	ppi	2mahmp___ppi	Photorhabdus_thracensis
149	2mahmp	thmmp	2mahmp___thmmp	Photorhabdus_thracensis
150	2mbcoa	3mop	2mbcoa___3mop	Photorhabdus_thracensis
151	2mbcoa	coa	2mbcoa___coa	Photorhabdus_thracensis
152	2mbcoa	fdxo_42	2mbcoa___fdxo_42	Photorhabdus_thracensis
153	2me4p	4c2me	2me4p___4c2me	Photorhabdus_thracensis
154	2me4p	ppi	2me4p___ppi	Photorhabdus_thracensis
155	2mecdp	h2mb4p	2mecdp___h2mb4p	Photorhabdus_thracensis
156	2mecdp	h2o	2mecdp___h2o	Photorhabdus_thracensis
157	2obut	2ahbut	2obut___2ahbut	Photorhabdus_thracensis
158	2obut	co2	2obut___co2	Photorhabdus_thracensis
159	2obut	for	2obut___for	Photorhabdus_thracensis
160	2obut	nadh	2obut___nadh	Photorhabdus_thracensis
161	2obut	ppcoa	2obut___ppcoa	Photorhabdus_thracensis
162	2p4c2me	2mecdp	2p4c2me___2mecdp	Photorhabdus_thracensis
163	2p4c2me	cmp	2p4c2me___cmp	Photorhabdus_thracensis
164	2pg	h2o	2pg___h2o	Photorhabdus_thracensis
165	2pg	pep	2pg___pep	Photorhabdus_thracensis
