substrate	product	rxn	taxon
1	10fthf	thf	10fthf___thf	Planomicrobium_okeanokoites
2	12dgr120	adp	12dgr120___adp	Planomicrobium_okeanokoites
3	12dgr120	h	12dgr120___h	Planomicrobium_okeanokoites
4	12dgr120	pa120	12dgr120___pa120	Planomicrobium_okeanokoites
5	12dgr140	adp	12dgr140___adp	Planomicrobium_okeanokoites
6	12dgr140	h	12dgr140___h	Planomicrobium_okeanokoites
7	12dgr140	pa140	12dgr140___pa140	Planomicrobium_okeanokoites
8	12dgr141	adp	12dgr141___adp	Planomicrobium_okeanokoites
9	12dgr141	h	12dgr141___h	Planomicrobium_okeanokoites
10	12dgr141	pa141	12dgr141___pa141	Planomicrobium_okeanokoites
11	12dgr160	adp	12dgr160___adp	Planomicrobium_okeanokoites
12	12dgr160	h	12dgr160___h	Planomicrobium_okeanokoites
13	12dgr160	pa160	12dgr160___pa160	Planomicrobium_okeanokoites
14	12dgr161	adp	12dgr161___adp	Planomicrobium_okeanokoites
15	12dgr161	h	12dgr161___h	Planomicrobium_okeanokoites
16	12dgr161	pa161	12dgr161___pa161	Planomicrobium_okeanokoites
17	12dgr180	adp	12dgr180___adp	Planomicrobium_okeanokoites
18	12dgr180	h	12dgr180___h	Planomicrobium_okeanokoites
19	12dgr180	pa180	12dgr180___pa180	Planomicrobium_okeanokoites
20	12dgr181	adp	12dgr181___adp	Planomicrobium_okeanokoites
21	12dgr181	h	12dgr181___h	Planomicrobium_okeanokoites
22	12dgr181	pa181	12dgr181___pa181	Planomicrobium_okeanokoites
23	12ppd__S	h	12ppd__S___h	Planomicrobium_okeanokoites
24	12ppd__S	lald__L	12ppd__S___lald__L	Planomicrobium_okeanokoites
25	12ppd__S	nadh	12ppd__S___nadh	Planomicrobium_okeanokoites
26	13dpg	3pg	13dpg___3pg	Planomicrobium_okeanokoites
27	13dpg	atp	13dpg___atp	Planomicrobium_okeanokoites
28	1ddecg3p	ACP	1ddecg3p___ACP	Planomicrobium_okeanokoites
29	1ddecg3p	pa120	1ddecg3p___pa120	Planomicrobium_okeanokoites
30	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Planomicrobium_okeanokoites
31	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Planomicrobium_okeanokoites
32	1hdecg3p	ACP	1hdecg3p___ACP	Planomicrobium_okeanokoites
33	1hdecg3p	pa160	1hdecg3p___pa160	Planomicrobium_okeanokoites
34	1odec11eg3p	ACP	1odec11eg3p___ACP	Planomicrobium_okeanokoites
35	1odec11eg3p	pa181	1odec11eg3p___pa181	Planomicrobium_okeanokoites
36	1odecg3p	ACP	1odecg3p___ACP	Planomicrobium_okeanokoites
37	1odecg3p	pa180	1odecg3p___pa180	Planomicrobium_okeanokoites
