substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Prauserella_marina
2	10fthf	thf	10fthf___thf	Prauserella_marina
3	12dgr120	adp	12dgr120___adp	Prauserella_marina
4	12dgr120	h	12dgr120___h	Prauserella_marina
5	12dgr120	pa120	12dgr120___pa120	Prauserella_marina
6	12dgr140	adp	12dgr140___adp	Prauserella_marina
7	12dgr140	h	12dgr140___h	Prauserella_marina
8	12dgr140	pa140	12dgr140___pa140	Prauserella_marina
9	12dgr141	adp	12dgr141___adp	Prauserella_marina
10	12dgr141	h	12dgr141___h	Prauserella_marina
11	12dgr141	pa141	12dgr141___pa141	Prauserella_marina
12	12dgr160	adp	12dgr160___adp	Prauserella_marina
13	12dgr160	h	12dgr160___h	Prauserella_marina
14	12dgr160	pa160	12dgr160___pa160	Prauserella_marina
15	12dgr161	adp	12dgr161___adp	Prauserella_marina
16	12dgr161	h	12dgr161___h	Prauserella_marina
17	12dgr161	pa161	12dgr161___pa161	Prauserella_marina
18	12dgr180	adp	12dgr180___adp	Prauserella_marina
19	12dgr180	h	12dgr180___h	Prauserella_marina
20	12dgr180	pa180	12dgr180___pa180	Prauserella_marina
21	12dgr181	adp	12dgr181___adp	Prauserella_marina
22	12dgr181	h	12dgr181___h	Prauserella_marina
23	12dgr181	pa181	12dgr181___pa181	Prauserella_marina
24	13dpg	3pg	13dpg___3pg	Prauserella_marina
25	13dpg	atp	13dpg___atp	Prauserella_marina
26	1ddecg3p	ACP	1ddecg3p___ACP	Prauserella_marina
27	1ddecg3p	pa120	1ddecg3p___pa120	Prauserella_marina
28	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Prauserella_marina
29	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Prauserella_marina
30	1hdecg3p	ACP	1hdecg3p___ACP	Prauserella_marina
31	1hdecg3p	pa160	1hdecg3p___pa160	Prauserella_marina
32	1odec11eg3p	ACP	1odec11eg3p___ACP	Prauserella_marina
33	1odec11eg3p	pa181	1odec11eg3p___pa181	Prauserella_marina
34	1odecg3p	ACP	1odecg3p___ACP	Prauserella_marina
35	1odecg3p	pa180	1odecg3p___pa180	Prauserella_marina
36	1pyr5c	nad	1pyr5c___nad	Prauserella_marina
37	1pyr5c	nadp	1pyr5c___nadp	Prauserella_marina
38	1pyr5c	pro__L	1pyr5c___pro__L	Prauserella_marina
39	1tdecg3p	ACP	1tdecg3p___ACP	Prauserella_marina
40	1tdecg3p	pa140	1tdecg3p___pa140	Prauserella_marina
41	23dhdp	nadp	23dhdp___nadp	Prauserella_marina
42	23dhdp	thdp	23dhdp___thdp	Prauserella_marina
43	23dhmp	3mop	23dhmp___3mop	Prauserella_marina
44	23dhmp	h2o	23dhmp___h2o	Prauserella_marina
45	25aics	aicar	25aics___aicar	Prauserella_marina
46	25aics	fum	25aics___fum	Prauserella_marina
47	25dhpp	5apru	25dhpp___5apru	Prauserella_marina
48	25dhpp	nh4	25dhpp___nh4	Prauserella_marina
49	26dap_	adp	26dap____adp	Prauserella_marina
50	26dap_	co2	26dap____co2	Prauserella_marina
51	26dap_	h	26dap____h	Prauserella_marina
52	26dap_	lys__L	26dap____lys__L	Prauserella_marina
53	26dap_	pi	26dap____pi	Prauserella_marina
54	26dap_	ugmd	26dap____ugmd	Prauserella_marina
55	26dap_LL	26dap_	26dap_LL___26dap_	Prauserella_marina
56	2agpe120	amp	2agpe120___amp	Prauserella_marina
57	2agpe120	pe120	2agpe120___pe120	Prauserella_marina
58	2agpe120	ppi	2agpe120___ppi	Prauserella_marina
59	2agpe140	amp	2agpe140___amp	Prauserella_marina
60	2agpe140	pe140	2agpe140___pe140	Prauserella_marina
61	2agpe140	ppi	2agpe140___ppi	Prauserella_marina
62	2agpe141	amp	2agpe141___amp	Prauserella_marina
63	2agpe141	pe141	2agpe141___pe141	Prauserella_marina
64	2agpe141	ppi	2agpe141___ppi	Prauserella_marina
65	2agpe160	amp	2agpe160___amp	Prauserella_marina
66	2agpe160	pe160	2agpe160___pe160	Prauserella_marina
67	2agpe160	ppi	2agpe160___ppi	Prauserella_marina
68	2agpe180	amp	2agpe180___amp	Prauserella_marina
