substrate	product	rxn	taxon
1	10fthf	thf	10fthf___thf	Prosthecochloris_aestuarii
2	12dgr120	adp	12dgr120___adp	Prosthecochloris_aestuarii
3	12dgr120	h	12dgr120___h	Prosthecochloris_aestuarii
4	12dgr120	pa120	12dgr120___pa120	Prosthecochloris_aestuarii
5	12dgr140	adp	12dgr140___adp	Prosthecochloris_aestuarii
6	12dgr140	h	12dgr140___h	Prosthecochloris_aestuarii
7	12dgr140	pa140	12dgr140___pa140	Prosthecochloris_aestuarii
8	12dgr141	adp	12dgr141___adp	Prosthecochloris_aestuarii
9	12dgr141	h	12dgr141___h	Prosthecochloris_aestuarii
10	12dgr141	pa141	12dgr141___pa141	Prosthecochloris_aestuarii
11	12dgr160	adp	12dgr160___adp	Prosthecochloris_aestuarii
12	12dgr160	h	12dgr160___h	Prosthecochloris_aestuarii
13	12dgr160	pa160	12dgr160___pa160	Prosthecochloris_aestuarii
14	12dgr161	adp	12dgr161___adp	Prosthecochloris_aestuarii
15	12dgr161	h	12dgr161___h	Prosthecochloris_aestuarii
16	12dgr161	pa161	12dgr161___pa161	Prosthecochloris_aestuarii
17	12dgr180	adp	12dgr180___adp	Prosthecochloris_aestuarii
18	12dgr180	h	12dgr180___h	Prosthecochloris_aestuarii
19	12dgr180	pa180	12dgr180___pa180	Prosthecochloris_aestuarii
20	12dgr181	adp	12dgr181___adp	Prosthecochloris_aestuarii
21	12dgr181	h	12dgr181___h	Prosthecochloris_aestuarii
22	12dgr181	pa181	12dgr181___pa181	Prosthecochloris_aestuarii
23	13dpg	3pg	13dpg___3pg	Prosthecochloris_aestuarii
24	13dpg	atp	13dpg___atp	Prosthecochloris_aestuarii
25	1ddecg3p	ACP	1ddecg3p___ACP	Prosthecochloris_aestuarii
26	1ddecg3p	pa120	1ddecg3p___pa120	Prosthecochloris_aestuarii
27	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Prosthecochloris_aestuarii
28	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Prosthecochloris_aestuarii
29	1hdecg3p	ACP	1hdecg3p___ACP	Prosthecochloris_aestuarii
30	1hdecg3p	pa160	1hdecg3p___pa160	Prosthecochloris_aestuarii
31	1odec11eg3p	ACP	1odec11eg3p___ACP	Prosthecochloris_aestuarii
32	1odec11eg3p	pa181	1odec11eg3p___pa181	Prosthecochloris_aestuarii
33	1odecg3p	ACP	1odecg3p___ACP	Prosthecochloris_aestuarii
34	1odecg3p	pa180	1odecg3p___pa180	Prosthecochloris_aestuarii
35	1pyr5c	nadp	1pyr5c___nadp	Prosthecochloris_aestuarii
36	1pyr5c	pro__L	1pyr5c___pro__L	Prosthecochloris_aestuarii
37	1tdecg3p	ACP	1tdecg3p___ACP	Prosthecochloris_aestuarii
38	1tdecg3p	pa140	1tdecg3p___pa140	Prosthecochloris_aestuarii
39	23dhdp	nadp	23dhdp___nadp	Prosthecochloris_aestuarii
40	23dhdp	thdp	23dhdp___thdp	Prosthecochloris_aestuarii
41	23dhmb	alac__S	23dhmb___alac__S	Prosthecochloris_aestuarii
42	23dhmb	h	23dhmb___h	Prosthecochloris_aestuarii
43	23dhmb	nadph	23dhmb___nadph	Prosthecochloris_aestuarii
44	23dhmp	3mop	23dhmp___3mop	Prosthecochloris_aestuarii
45	23dhmp	h2o	23dhmp___h2o	Prosthecochloris_aestuarii
46	25aics	aicar	25aics___aicar	Prosthecochloris_aestuarii
47	25aics	fum	25aics___fum	Prosthecochloris_aestuarii
48	25dhpp	5apru	25dhpp___5apru	Prosthecochloris_aestuarii
49	25dhpp	nh4	25dhpp___nh4	Prosthecochloris_aestuarii
50	26dap_	adp	26dap____adp	Prosthecochloris_aestuarii
51	26dap_	co2	26dap____co2	Prosthecochloris_aestuarii
52	26dap_	h	26dap____h	Prosthecochloris_aestuarii
53	26dap_	lys__L	26dap____lys__L	Prosthecochloris_aestuarii
54	26dap_	pi	26dap____pi	Prosthecochloris_aestuarii
55	26dap_	ugmd	26dap____ugmd	Prosthecochloris_aestuarii
56	26dap_LL	26dap_	26dap_LL___26dap_	Prosthecochloris_aestuarii
57	2agpg120	ddca	2agpg120___ddca	Prosthecochloris_aestuarii
58	2agpg120	g3pg	2agpg120___g3pg	Prosthecochloris_aestuarii
59	2agpg120	h	2agpg120___h	Prosthecochloris_aestuarii
60	2agpg140	g3pg	2agpg140___g3pg	Prosthecochloris_aestuarii
61	2agpg140	h	2agpg140___h	Prosthecochloris_aestuarii
62	2agpg140	ttdca	2agpg140___ttdca	Prosthecochloris_aestuarii
63	2agpg160	g3pg	2agpg160___g3pg	Prosthecochloris_aestuarii
64	2agpg160	h	2agpg160___h	Prosthecochloris_aestuarii
65	2agpg160	hdca	2agpg160___hdca	Prosthecochloris_aestuarii
66	2agpg161	g3pg	2agpg161___g3pg	Prosthecochloris_aestuarii
67	2agpg161	h	2agpg161___h	Prosthecochloris_aestuarii
68	2agpg161	hdcea	2agpg161___hdcea	Prosthecochloris_aestuarii
69	2agpg180	g3pg	2agpg180___g3pg	Prosthecochloris_aestuarii
70	2agpg180	h	2agpg180___h	Prosthecochloris_aestuarii
71	2agpg180	ocdca	2agpg180___ocdca	Prosthecochloris_aestuarii
72	2agpg181	g3pg	2agpg181___g3pg	Prosthecochloris_aestuarii
73	2agpg181	h	2agpg181___h	Prosthecochloris_aestuarii
74	2agpg181	ocdcea	2agpg181___ocdcea	Prosthecochloris_aestuarii
75	2ahbut	23dhmp	2ahbut___23dhmp	Prosthecochloris_aestuarii
76	2ahbut	nadp	2ahbut___nadp	Prosthecochloris_aestuarii
77	2ahhmp	dhpt	2ahhmp___dhpt	Prosthecochloris_aestuarii
78	2ahhmp	h2o	2ahhmp___h2o	Prosthecochloris_aestuarii
79	2amsa	nadp	2amsa___nadp	Prosthecochloris_aestuarii
80	2aobut	athr__L	2aobut___athr__L	Prosthecochloris_aestuarii
81	2aobut	nadp	2aobut___nadp	Prosthecochloris_aestuarii
82	2cpr5p	3ig3p	2cpr5p___3ig3p	Prosthecochloris_aestuarii
83	2cpr5p	co2	2cpr5p___co2	Prosthecochloris_aestuarii
84	2cpr5p	h2o	2cpr5p___h2o	Prosthecochloris_aestuarii
85	2dda7p	3dhq	2dda7p___3dhq	Prosthecochloris_aestuarii
86	2dda7p	pi	2dda7p___pi	Prosthecochloris_aestuarii
87	2dhp	nadp	2dhp___nadp	Prosthecochloris_aestuarii
88	2dhp	pant__R	2dhp___pant__R	Prosthecochloris_aestuarii
89	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Prosthecochloris_aestuarii
90	2dmmq8	nad	2dmmq8___nad	Prosthecochloris_aestuarii
91	2dmmql8	2dmmq8	2dmmql8___2dmmq8	Prosthecochloris_aestuarii
92	2dmmql8	ahcys	2dmmql8___ahcys	Prosthecochloris_aestuarii
93	2dmmql8	h	2dmmql8___h	Prosthecochloris_aestuarii
94	2dmmql8	mql8	2dmmql8___mql8	Prosthecochloris_aestuarii
95	2dmmql8	succ	2dmmql8___succ	Prosthecochloris_aestuarii
96	2fe1s	adp	2fe1s___adp	Prosthecochloris_aestuarii
97	2fe1s	h	2fe1s___h	Prosthecochloris_aestuarii
98	2fe1s	iscs	2fe1s___iscs	Prosthecochloris_aestuarii
99	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Prosthecochloris_aestuarii
100	2fe1s	pi	2fe1s___pi	Prosthecochloris_aestuarii
101	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Prosthecochloris_aestuarii
102	2fe1s	sufse	2fe1s___sufse	Prosthecochloris_aestuarii
103	2fe2s	2fe1s	2fe2s___2fe1s	Prosthecochloris_aestuarii
104	2fe2s	btn	2fe2s___btn	Prosthecochloris_aestuarii
105	2fe2s	dad_5	2fe2s___dad_5	Prosthecochloris_aestuarii
106	2fe2s	h	2fe2s___h	Prosthecochloris_aestuarii
107	2fe2s	met__L	2fe2s___met__L	Prosthecochloris_aestuarii
108	2hh24dd	4h2kpi	2hh24dd___4h2kpi	Prosthecochloris_aestuarii
109	2ippm	3c2hmp	2ippm___3c2hmp	Prosthecochloris_aestuarii
110	2kmb	akg	2kmb___akg	Prosthecochloris_aestuarii
111	2kmb	met__L	2kmb___met__L	Prosthecochloris_aestuarii
112	2mahmp	ppi	2mahmp___ppi	Prosthecochloris_aestuarii
113	2mahmp	thmmp	2mahmp___thmmp	Prosthecochloris_aestuarii
114	2mbcoa	3mop	2mbcoa___3mop	Prosthecochloris_aestuarii
115	2mbcoa	coa	2mbcoa___coa	Prosthecochloris_aestuarii
116	2mbcoa	fdxo_42	2mbcoa___fdxo_42	Prosthecochloris_aestuarii
117	2me4p	4c2me	2me4p___4c2me	Prosthecochloris_aestuarii
118	2me4p	ppi	2me4p___ppi	Prosthecochloris_aestuarii
119	2mecdp	h2mb4p	2mecdp___h2mb4p	Prosthecochloris_aestuarii
120	2mecdp	h2o	2mecdp___h2o	Prosthecochloris_aestuarii
121	2obut	2ahbut	2obut___2ahbut	Prosthecochloris_aestuarii
122	2obut	co2	2obut___co2	Prosthecochloris_aestuarii
123	2obut	for	2obut___for	Prosthecochloris_aestuarii
124	2obut	ppcoa	2obut___ppcoa	Prosthecochloris_aestuarii
125	2p4c2me	2mecdp	2p4c2me___2mecdp	Prosthecochloris_aestuarii
126	2p4c2me	cmp	2p4c2me___cmp	Prosthecochloris_aestuarii
127	2pg	h2o	2pg___h2o	Prosthecochloris_aestuarii
