substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Pseudofulvimonas_gallinarii
2	10fthf	thf	10fthf___thf	Pseudofulvimonas_gallinarii
3	12dgr120	adp	12dgr120___adp	Pseudofulvimonas_gallinarii
4	12dgr120	h	12dgr120___h	Pseudofulvimonas_gallinarii
5	12dgr120	pa120	12dgr120___pa120	Pseudofulvimonas_gallinarii
6	12dgr140	adp	12dgr140___adp	Pseudofulvimonas_gallinarii
7	12dgr140	h	12dgr140___h	Pseudofulvimonas_gallinarii
8	12dgr140	pa140	12dgr140___pa140	Pseudofulvimonas_gallinarii
9	12dgr141	adp	12dgr141___adp	Pseudofulvimonas_gallinarii
10	12dgr141	h	12dgr141___h	Pseudofulvimonas_gallinarii
11	12dgr141	pa141	12dgr141___pa141	Pseudofulvimonas_gallinarii
12	12dgr160	adp	12dgr160___adp	Pseudofulvimonas_gallinarii
13	12dgr160	h	12dgr160___h	Pseudofulvimonas_gallinarii
14	12dgr160	pa160	12dgr160___pa160	Pseudofulvimonas_gallinarii
15	12dgr161	adp	12dgr161___adp	Pseudofulvimonas_gallinarii
16	12dgr161	h	12dgr161___h	Pseudofulvimonas_gallinarii
17	12dgr161	pa161	12dgr161___pa161	Pseudofulvimonas_gallinarii
18	12dgr180	adp	12dgr180___adp	Pseudofulvimonas_gallinarii
19	12dgr180	h	12dgr180___h	Pseudofulvimonas_gallinarii
20	12dgr180	pa180	12dgr180___pa180	Pseudofulvimonas_gallinarii
21	12dgr181	adp	12dgr181___adp	Pseudofulvimonas_gallinarii
22	12dgr181	h	12dgr181___h	Pseudofulvimonas_gallinarii
23	12dgr181	pa181	12dgr181___pa181	Pseudofulvimonas_gallinarii
24	12ppd__S	h	12ppd__S___h	Pseudofulvimonas_gallinarii
25	12ppd__S	lald__L	12ppd__S___lald__L	Pseudofulvimonas_gallinarii
26	12ppd__S	nadh	12ppd__S___nadh	Pseudofulvimonas_gallinarii
27	13dpg	3pg	13dpg___3pg	Pseudofulvimonas_gallinarii
28	13dpg	atp	13dpg___atp	Pseudofulvimonas_gallinarii
29	1ddecg3p	ACP	1ddecg3p___ACP	Pseudofulvimonas_gallinarii
30	1ddecg3p	pa120	1ddecg3p___pa120	Pseudofulvimonas_gallinarii
31	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Pseudofulvimonas_gallinarii
32	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Pseudofulvimonas_gallinarii
33	1hdecg3p	ACP	1hdecg3p___ACP	Pseudofulvimonas_gallinarii
34	1hdecg3p	pa160	1hdecg3p___pa160	Pseudofulvimonas_gallinarii
35	1odec11eg3p	ACP	1odec11eg3p___ACP	Pseudofulvimonas_gallinarii
36	1odec11eg3p	pa181	1odec11eg3p___pa181	Pseudofulvimonas_gallinarii
37	1odecg3p	ACP	1odecg3p___ACP	Pseudofulvimonas_gallinarii
38	1odecg3p	pa180	1odecg3p___pa180	Pseudofulvimonas_gallinarii
39	1pyr5c	nadp	1pyr5c___nadp	Pseudofulvimonas_gallinarii
40	1pyr5c	pro__L	1pyr5c___pro__L	Pseudofulvimonas_gallinarii
41	1tdecg3p	ACP	1tdecg3p___ACP	Pseudofulvimonas_gallinarii
42	1tdecg3p	pa140	1tdecg3p___pa140	Pseudofulvimonas_gallinarii
43	23dhdp	nadp	23dhdp___nadp	Pseudofulvimonas_gallinarii
44	23dhdp	thdp	23dhdp___thdp	Pseudofulvimonas_gallinarii
45	25aics	aicar	25aics___aicar	Pseudofulvimonas_gallinarii
46	25aics	fum	25aics___fum	Pseudofulvimonas_gallinarii
47	25dhpp	5apru	25dhpp___5apru	Pseudofulvimonas_gallinarii
48	25dhpp	nh4	25dhpp___nh4	Pseudofulvimonas_gallinarii
49	26dap_	adp	26dap____adp	Pseudofulvimonas_gallinarii
50	26dap_	co2	26dap____co2	Pseudofulvimonas_gallinarii
51	26dap_	h	26dap____h	Pseudofulvimonas_gallinarii
52	26dap_	lys__L	26dap____lys__L	Pseudofulvimonas_gallinarii
53	26dap_	pi	26dap____pi	Pseudofulvimonas_gallinarii
54	26dap_	ugmd	26dap____ugmd	Pseudofulvimonas_gallinarii
55	26dap_LL	26dap_	26dap_LL___26dap_	Pseudofulvimonas_gallinarii
56	2agpe140	amp	2agpe140___amp	Pseudofulvimonas_gallinarii
57	2agpe140	pe140	2agpe140___pe140	Pseudofulvimonas_gallinarii
58	2agpe140	ppi	2agpe140___ppi	Pseudofulvimonas_gallinarii
59	2agpe160	amp	2agpe160___amp	Pseudofulvimonas_gallinarii
60	2agpe160	pe160	2agpe160___pe160	Pseudofulvimonas_gallinarii
61	2agpe160	ppi	2agpe160___ppi	Pseudofulvimonas_gallinarii
62	2agpe180	amp	2agpe180___amp	Pseudofulvimonas_gallinarii
63	2agpe180	pe180	2agpe180___pe180	Pseudofulvimonas_gallinarii
64	2agpe180	ppi	2agpe180___ppi	Pseudofulvimonas_gallinarii
65	2agpg161	g3pg	2agpg161___g3pg	Pseudofulvimonas_gallinarii
66	2agpg161	h	2agpg161___h	Pseudofulvimonas_gallinarii
67	2agpg161	hdcea	2agpg161___hdcea	Pseudofulvimonas_gallinarii
68	2ahhmp	dhpt	2ahhmp___dhpt	Pseudofulvimonas_gallinarii
69	2ahhmp	h2o	2ahhmp___h2o	Pseudofulvimonas_gallinarii
70	2amsa	nadp	2amsa___nadp	Pseudofulvimonas_gallinarii
71	2aobut	athr__L	2aobut___athr__L	Pseudofulvimonas_gallinarii
72	2aobut	nadp	2aobut___nadp	Pseudofulvimonas_gallinarii
73	2cpr5p	3ig3p	2cpr5p___3ig3p	Pseudofulvimonas_gallinarii
74	2cpr5p	co2	2cpr5p___co2	Pseudofulvimonas_gallinarii
75	2cpr5p	h2o	2cpr5p___h2o	Pseudofulvimonas_gallinarii
76	2dda7p	3dhq	2dda7p___3dhq	Pseudofulvimonas_gallinarii
77	2dda7p	pi	2dda7p___pi	Pseudofulvimonas_gallinarii
78	2dhp	nadp	2dhp___nadp	Pseudofulvimonas_gallinarii
79	2dhp	pant__R	2dhp___pant__R	Pseudofulvimonas_gallinarii
80	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Pseudofulvimonas_gallinarii
81	2dmmq8	nad	2dmmq8___nad	Pseudofulvimonas_gallinarii
82	2dmmql8	2dmmq8	2dmmql8___2dmmq8	Pseudofulvimonas_gallinarii
83	2dmmql8	succ	2dmmql8___succ	Pseudofulvimonas_gallinarii
84	2dr5p	acald	2dr5p___acald	Pseudofulvimonas_gallinarii
85	2dr5p	g3p	2dr5p___g3p	Pseudofulvimonas_gallinarii
86	2fe1s	adp	2fe1s___adp	Pseudofulvimonas_gallinarii
87	2fe1s	h	2fe1s___h	Pseudofulvimonas_gallinarii
88	2fe1s	pi	2fe1s___pi	Pseudofulvimonas_gallinarii
89	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Pseudofulvimonas_gallinarii
90	2fe1s	sufse	2fe1s___sufse	Pseudofulvimonas_gallinarii
91	2fe2s	2fe1s	2fe2s___2fe1s	Pseudofulvimonas_gallinarii
92	2fe2s	btn	2fe2s___btn	Pseudofulvimonas_gallinarii
93	2fe2s	dad_5	2fe2s___dad_5	Pseudofulvimonas_gallinarii
94	2fe2s	h	2fe2s___h	Pseudofulvimonas_gallinarii
95	2fe2s	met__L	2fe2s___met__L	Pseudofulvimonas_gallinarii
96	2kmb	met__L	2kmb___met__L	Pseudofulvimonas_gallinarii
