substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Pseudovibrio_stylochi
2	10fthf	thf	10fthf___thf	Pseudovibrio_stylochi
3	12dgr161	adp	12dgr161___adp	Pseudovibrio_stylochi
4	12dgr161	h	12dgr161___h	Pseudovibrio_stylochi
5	12dgr161	pa161	12dgr161___pa161	Pseudovibrio_stylochi
6	13dpg	3pg	13dpg___3pg	Pseudovibrio_stylochi
7	13dpg	atp	13dpg___atp	Pseudovibrio_stylochi
8	1ddecg3p	ACP	1ddecg3p___ACP	Pseudovibrio_stylochi
9	1ddecg3p	pa120	1ddecg3p___pa120	Pseudovibrio_stylochi
10	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Pseudovibrio_stylochi
11	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Pseudovibrio_stylochi
12	1hdecg3p	ACP	1hdecg3p___ACP	Pseudovibrio_stylochi
13	1hdecg3p	pa160	1hdecg3p___pa160	Pseudovibrio_stylochi
14	1odec11eg3p	ACP	1odec11eg3p___ACP	Pseudovibrio_stylochi
15	1odec11eg3p	pa181	1odec11eg3p___pa181	Pseudovibrio_stylochi
16	1odecg3p	ACP	1odecg3p___ACP	Pseudovibrio_stylochi
17	1odecg3p	pa180	1odecg3p___pa180	Pseudovibrio_stylochi
18	1pyr5c	nadp	1pyr5c___nadp	Pseudovibrio_stylochi
19	1pyr5c	pro__L	1pyr5c___pro__L	Pseudovibrio_stylochi
20	1tdecg3p	ACP	1tdecg3p___ACP	Pseudovibrio_stylochi
21	1tdecg3p	pa140	1tdecg3p___pa140	Pseudovibrio_stylochi
22	23dhdp	nadp	23dhdp___nadp	Pseudovibrio_stylochi
23	23dhdp	thdp	23dhdp___thdp	Pseudovibrio_stylochi
24	23dhmb	alac__S	23dhmb___alac__S	Pseudovibrio_stylochi
25	23dhmb	h	23dhmb___h	Pseudovibrio_stylochi
26	23dhmb	nadph	23dhmb___nadph	Pseudovibrio_stylochi
27	23dhmp	3mop	23dhmp___3mop	Pseudovibrio_stylochi
28	23dhmp	h2o	23dhmp___h2o	Pseudovibrio_stylochi
29	25aics	aicar	25aics___aicar	Pseudovibrio_stylochi
30	25aics	fum	25aics___fum	Pseudovibrio_stylochi
31	25dhpp	5apru	25dhpp___5apru	Pseudovibrio_stylochi
32	25dhpp	nh4	25dhpp___nh4	Pseudovibrio_stylochi
33	26dap_	adp	26dap____adp	Pseudovibrio_stylochi
34	26dap_	co2	26dap____co2	Pseudovibrio_stylochi
35	26dap_	h	26dap____h	Pseudovibrio_stylochi
36	26dap_	lys__L	26dap____lys__L	Pseudovibrio_stylochi
37	26dap_	pi	26dap____pi	Pseudovibrio_stylochi
38	26dap_	ugmd	26dap____ugmd	Pseudovibrio_stylochi
39	26dap_LL	26dap_	26dap_LL___26dap_	Pseudovibrio_stylochi
40	2agpe181	g3pe	2agpe181___g3pe	Pseudovibrio_stylochi
41	2agpe181	h	2agpe181___h	Pseudovibrio_stylochi
42	2agpe181	ocdcea	2agpe181___ocdcea	Pseudovibrio_stylochi
43	2agpg120	ddca	2agpg120___ddca	Pseudovibrio_stylochi
44	2agpg120	g3pg	2agpg120___g3pg	Pseudovibrio_stylochi
45	2agpg120	h	2agpg120___h	Pseudovibrio_stylochi
46	2agpg140	g3pg	2agpg140___g3pg	Pseudovibrio_stylochi
47	2agpg140	h	2agpg140___h	Pseudovibrio_stylochi
48	2agpg140	ttdca	2agpg140___ttdca	Pseudovibrio_stylochi
49	2agpg160	g3pg	2agpg160___g3pg	Pseudovibrio_stylochi
50	2agpg160	h	2agpg160___h	Pseudovibrio_stylochi
51	2agpg160	hdca	2agpg160___hdca	Pseudovibrio_stylochi
52	2agpg161	g3pg	2agpg161___g3pg	Pseudovibrio_stylochi
53	2agpg161	h	2agpg161___h	Pseudovibrio_stylochi
54	2agpg161	hdcea	2agpg161___hdcea	Pseudovibrio_stylochi
55	2agpg180	g3pg	2agpg180___g3pg	Pseudovibrio_stylochi
56	2agpg180	h	2agpg180___h	Pseudovibrio_stylochi
57	2agpg180	ocdca	2agpg180___ocdca	Pseudovibrio_stylochi
58	2agpg181	g3pg	2agpg181___g3pg	Pseudovibrio_stylochi
59	2agpg181	h	2agpg181___h	Pseudovibrio_stylochi
60	2agpg181	ocdcea	2agpg181___ocdcea	Pseudovibrio_stylochi
61	2ahbut	23dhmp	2ahbut___23dhmp	Pseudovibrio_stylochi
62	2ahbut	nadp	2ahbut___nadp	Pseudovibrio_stylochi
63	2ahhmp	dhpt	2ahhmp___dhpt	Pseudovibrio_stylochi
64	2ahhmp	h2o	2ahhmp___h2o	Pseudovibrio_stylochi
65	2amsa	nadp	2amsa___nadp	Pseudovibrio_stylochi
66	2amsa	ser__L	2amsa___ser__L	Pseudovibrio_stylochi
67	2aobut	athr__L	2aobut___athr__L	Pseudovibrio_stylochi
68	2aobut	nadp	2aobut___nadp	Pseudovibrio_stylochi
69	2cpr5p	3ig3p	2cpr5p___3ig3p	Pseudovibrio_stylochi
70	2cpr5p	co2	2cpr5p___co2	Pseudovibrio_stylochi
71	2cpr5p	h2o	2cpr5p___h2o	Pseudovibrio_stylochi
72	2dda7p	3dhq	2dda7p___3dhq	Pseudovibrio_stylochi
73	2dda7p	pi	2dda7p___pi	Pseudovibrio_stylochi
74	2ddg6p	g3p	2ddg6p___g3p	Pseudovibrio_stylochi
75	2ddg6p	pyr	2ddg6p___pyr	Pseudovibrio_stylochi
76	2ddglcn	2ddg6p	2ddglcn___2ddg6p	Pseudovibrio_stylochi
77	2ddglcn	adp	2ddglcn___adp	Pseudovibrio_stylochi
78	2ddglcn	h	2ddglcn___h	Pseudovibrio_stylochi
79	2dhp	nadp	2dhp___nadp	Pseudovibrio_stylochi
80	2dhp	pant__R	2dhp___pant__R	Pseudovibrio_stylochi
81	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Pseudovibrio_stylochi
82	2dmmq8	nad	2dmmq8___nad	Pseudovibrio_stylochi
83	2dmmql8	ahcys	2dmmql8___ahcys	Pseudovibrio_stylochi
84	2dmmql8	h	2dmmql8___h	Pseudovibrio_stylochi
85	2dmmql8	mql8	2dmmql8___mql8	Pseudovibrio_stylochi
86	2dr1p	2dr5p	2dr1p___2dr5p	Pseudovibrio_stylochi
87	2dr5p	acald	2dr5p___acald	Pseudovibrio_stylochi
88	2dr5p	g3p	2dr5p___g3p	Pseudovibrio_stylochi
89	2fe1s	adp	2fe1s___adp	Pseudovibrio_stylochi
90	2fe1s	h	2fe1s___h	Pseudovibrio_stylochi
91	2fe1s	iscs	2fe1s___iscs	Pseudovibrio_stylochi
92	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Pseudovibrio_stylochi
93	2fe1s	pi	2fe1s___pi	Pseudovibrio_stylochi
94	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Pseudovibrio_stylochi
95	2fe1s	sufse	2fe1s___sufse	Pseudovibrio_stylochi
96	2fe2s	2fe1s	2fe2s___2fe1s	Pseudovibrio_stylochi
97	2fe2s	btn	2fe2s___btn	Pseudovibrio_stylochi
98	2fe2s	dad_5	2fe2s___dad_5	Pseudovibrio_stylochi
99	2fe2s	h	2fe2s___h	Pseudovibrio_stylochi
100	2fe2s	met__L	2fe2s___met__L	Pseudovibrio_stylochi
101	2h3opp	glyc__R	2h3opp___glyc__R	Pseudovibrio_stylochi
102	2h3opp	nad	2h3opp___nad	Pseudovibrio_stylochi
