substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Pusillimonas_noertemannii
2	10fthf	thf	10fthf___thf	Pusillimonas_noertemannii
3	12dgr120	adp	12dgr120___adp	Pusillimonas_noertemannii
4	12dgr120	h	12dgr120___h	Pusillimonas_noertemannii
5	12dgr120	pa120	12dgr120___pa120	Pusillimonas_noertemannii
6	12dgr140	adp	12dgr140___adp	Pusillimonas_noertemannii
7	12dgr140	h	12dgr140___h	Pusillimonas_noertemannii
8	12dgr140	pa140	12dgr140___pa140	Pusillimonas_noertemannii
9	12dgr141	adp	12dgr141___adp	Pusillimonas_noertemannii
10	12dgr141	h	12dgr141___h	Pusillimonas_noertemannii
11	12dgr141	pa141	12dgr141___pa141	Pusillimonas_noertemannii
12	12dgr160	adp	12dgr160___adp	Pusillimonas_noertemannii
13	12dgr160	h	12dgr160___h	Pusillimonas_noertemannii
14	12dgr160	pa160	12dgr160___pa160	Pusillimonas_noertemannii
15	12dgr161	adp	12dgr161___adp	Pusillimonas_noertemannii
16	12dgr161	h	12dgr161___h	Pusillimonas_noertemannii
17	12dgr161	pa161	12dgr161___pa161	Pusillimonas_noertemannii
18	12dgr180	adp	12dgr180___adp	Pusillimonas_noertemannii
19	12dgr180	h	12dgr180___h	Pusillimonas_noertemannii
20	12dgr180	pa180	12dgr180___pa180	Pusillimonas_noertemannii
21	12dgr181	adp	12dgr181___adp	Pusillimonas_noertemannii
22	12dgr181	h	12dgr181___h	Pusillimonas_noertemannii
23	12dgr181	pa181	12dgr181___pa181	Pusillimonas_noertemannii
24	12ppd__S	h	12ppd__S___h	Pusillimonas_noertemannii
25	12ppd__S	lald__L	12ppd__S___lald__L	Pusillimonas_noertemannii
26	12ppd__S	nadh	12ppd__S___nadh	Pusillimonas_noertemannii
27	13dpg	3pg	13dpg___3pg	Pusillimonas_noertemannii
28	13dpg	atp	13dpg___atp	Pusillimonas_noertemannii
29	1ddecg3p	ACP	1ddecg3p___ACP	Pusillimonas_noertemannii
30	1ddecg3p	pa120	1ddecg3p___pa120	Pusillimonas_noertemannii
31	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Pusillimonas_noertemannii
32	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Pusillimonas_noertemannii
33	1hdecg3p	ACP	1hdecg3p___ACP	Pusillimonas_noertemannii
34	1hdecg3p	pa160	1hdecg3p___pa160	Pusillimonas_noertemannii
35	1odec11eg3p	ACP	1odec11eg3p___ACP	Pusillimonas_noertemannii
36	1odec11eg3p	pa181	1odec11eg3p___pa181	Pusillimonas_noertemannii
37	1odecg3p	ACP	1odecg3p___ACP	Pusillimonas_noertemannii
38	1odecg3p	pa180	1odecg3p___pa180	Pusillimonas_noertemannii
39	1pyr5c	nadp	1pyr5c___nadp	Pusillimonas_noertemannii
40	1pyr5c	pro__L	1pyr5c___pro__L	Pusillimonas_noertemannii
41	1tdecg3p	ACP	1tdecg3p___ACP	Pusillimonas_noertemannii
42	1tdecg3p	pa140	1tdecg3p___pa140	Pusillimonas_noertemannii
43	23dhdp	nadp	23dhdp___nadp	Pusillimonas_noertemannii
44	23dhdp	thdp	23dhdp___thdp	Pusillimonas_noertemannii
45	23dhmp	3mop	23dhmp___3mop	Pusillimonas_noertemannii
46	23dhmp	h2o	23dhmp___h2o	Pusillimonas_noertemannii
47	25aics	aicar	25aics___aicar	Pusillimonas_noertemannii
48	25aics	fum	25aics___fum	Pusillimonas_noertemannii
49	25dhpp	5apru	25dhpp___5apru	Pusillimonas_noertemannii
50	25dhpp	nh4	25dhpp___nh4	Pusillimonas_noertemannii
51	26dap_	adp	26dap____adp	Pusillimonas_noertemannii
52	26dap_	co2	26dap____co2	Pusillimonas_noertemannii
53	26dap_	h	26dap____h	Pusillimonas_noertemannii
54	26dap_	lys__L	26dap____lys__L	Pusillimonas_noertemannii
55	26dap_	pi	26dap____pi	Pusillimonas_noertemannii
56	26dap_	ugmd	26dap____ugmd	Pusillimonas_noertemannii
57	26dap_LL	26dap_	26dap_LL___26dap_	Pusillimonas_noertemannii
58	2agpe140	amp	2agpe140___amp	Pusillimonas_noertemannii
59	2agpe140	pe140	2agpe140___pe140	Pusillimonas_noertemannii
60	2agpe140	ppi	2agpe140___ppi	Pusillimonas_noertemannii
61	2agpe181	g3pe	2agpe181___g3pe	Pusillimonas_noertemannii
62	2agpe181	h	2agpe181___h	Pusillimonas_noertemannii
63	2agpe181	ocdcea	2agpe181___ocdcea	Pusillimonas_noertemannii
64	2agpg120	ddca	2agpg120___ddca	Pusillimonas_noertemannii
65	2agpg120	g3pg	2agpg120___g3pg	Pusillimonas_noertemannii
66	2agpg120	h	2agpg120___h	Pusillimonas_noertemannii
67	2agpg140	amp	2agpg140___amp	Pusillimonas_noertemannii
68	2agpg140	pg140	2agpg140___pg140	Pusillimonas_noertemannii
69	2agpg140	ppi	2agpg140___ppi	Pusillimonas_noertemannii
70	2agpg141	amp	2agpg141___amp	Pusillimonas_noertemannii
