substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Rhodoblastus_acidophilus
2	10fthf	thf	10fthf___thf	Rhodoblastus_acidophilus
3	12dgr120	adp	12dgr120___adp	Rhodoblastus_acidophilus
4	12dgr120	h	12dgr120___h	Rhodoblastus_acidophilus
5	12dgr120	pa120	12dgr120___pa120	Rhodoblastus_acidophilus
6	12dgr140	adp	12dgr140___adp	Rhodoblastus_acidophilus
7	12dgr140	h	12dgr140___h	Rhodoblastus_acidophilus
8	12dgr140	pa140	12dgr140___pa140	Rhodoblastus_acidophilus
9	12dgr141	adp	12dgr141___adp	Rhodoblastus_acidophilus
10	12dgr141	h	12dgr141___h	Rhodoblastus_acidophilus
11	12dgr141	pa141	12dgr141___pa141	Rhodoblastus_acidophilus
12	12dgr160	adp	12dgr160___adp	Rhodoblastus_acidophilus
13	12dgr160	h	12dgr160___h	Rhodoblastus_acidophilus
14	12dgr160	pa160	12dgr160___pa160	Rhodoblastus_acidophilus
15	12dgr161	adp	12dgr161___adp	Rhodoblastus_acidophilus
16	12dgr161	h	12dgr161___h	Rhodoblastus_acidophilus
17	12dgr161	pa161	12dgr161___pa161	Rhodoblastus_acidophilus
18	12dgr180	adp	12dgr180___adp	Rhodoblastus_acidophilus
19	12dgr180	h	12dgr180___h	Rhodoblastus_acidophilus
20	12dgr180	pa180	12dgr180___pa180	Rhodoblastus_acidophilus
21	12dgr181	adp	12dgr181___adp	Rhodoblastus_acidophilus
22	12dgr181	h	12dgr181___h	Rhodoblastus_acidophilus
23	12dgr181	pa181	12dgr181___pa181	Rhodoblastus_acidophilus
24	13dpg	3pg	13dpg___3pg	Rhodoblastus_acidophilus
25	13dpg	atp	13dpg___atp	Rhodoblastus_acidophilus
26	1ddecg3p	ACP	1ddecg3p___ACP	Rhodoblastus_acidophilus
27	1ddecg3p	pa120	1ddecg3p___pa120	Rhodoblastus_acidophilus
28	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Rhodoblastus_acidophilus
29	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Rhodoblastus_acidophilus
30	1hdecg3p	ACP	1hdecg3p___ACP	Rhodoblastus_acidophilus
31	1hdecg3p	pa160	1hdecg3p___pa160	Rhodoblastus_acidophilus
32	1odec11eg3p	ACP	1odec11eg3p___ACP	Rhodoblastus_acidophilus
33	1odec11eg3p	pa181	1odec11eg3p___pa181	Rhodoblastus_acidophilus
34	1odecg3p	ACP	1odecg3p___ACP	Rhodoblastus_acidophilus
35	1odecg3p	pa180	1odecg3p___pa180	Rhodoblastus_acidophilus
36	1pyr5c	nad	1pyr5c___nad	Rhodoblastus_acidophilus
37	1pyr5c	nadp	1pyr5c___nadp	Rhodoblastus_acidophilus
38	1pyr5c	pro__L	1pyr5c___pro__L	Rhodoblastus_acidophilus
39	1tdecg3p	ACP	1tdecg3p___ACP	Rhodoblastus_acidophilus
40	1tdecg3p	pa140	1tdecg3p___pa140	Rhodoblastus_acidophilus
41	23dhdp	nadp	23dhdp___nadp	Rhodoblastus_acidophilus
42	23dhdp	thdp	23dhdp___thdp	Rhodoblastus_acidophilus
43	23dhmb	alac__S	23dhmb___alac__S	Rhodoblastus_acidophilus
44	23dhmb	h	23dhmb___h	Rhodoblastus_acidophilus
45	23dhmb	nadph	23dhmb___nadph	Rhodoblastus_acidophilus
46	23dhmp	3mop	23dhmp___3mop	Rhodoblastus_acidophilus
47	23dhmp	h2o	23dhmp___h2o	Rhodoblastus_acidophilus
48	25aics	aicar	25aics___aicar	Rhodoblastus_acidophilus
49	25aics	fum	25aics___fum	Rhodoblastus_acidophilus
50	25dhpp	5apru	25dhpp___5apru	Rhodoblastus_acidophilus
51	25dhpp	nh4	25dhpp___nh4	Rhodoblastus_acidophilus
52	26dap_	adp	26dap____adp	Rhodoblastus_acidophilus
53	26dap_	co2	26dap____co2	Rhodoblastus_acidophilus
54	26dap_	h	26dap____h	Rhodoblastus_acidophilus
55	26dap_	lys__L	26dap____lys__L	Rhodoblastus_acidophilus
56	26dap_	pi	26dap____pi	Rhodoblastus_acidophilus
57	26dap_	ugmd	26dap____ugmd	Rhodoblastus_acidophilus
58	26dap_LL	26dap_	26dap_LL___26dap_	Rhodoblastus_acidophilus
59	2agpe120	amp	2agpe120___amp	Rhodoblastus_acidophilus
60	2agpe120	pe120	2agpe120___pe120	Rhodoblastus_acidophilus
61	2agpe120	ppi	2agpe120___ppi	Rhodoblastus_acidophilus
62	2agpe140	amp	2agpe140___amp	Rhodoblastus_acidophilus
63	2agpe140	pe140	2agpe140___pe140	Rhodoblastus_acidophilus
64	2agpe140	ppi	2agpe140___ppi	Rhodoblastus_acidophilus
65	2agpe141	amp	2agpe141___amp	Rhodoblastus_acidophilus
66	2agpe141	pe141	2agpe141___pe141	Rhodoblastus_acidophilus
67	2agpe141	ppi	2agpe141___ppi	Rhodoblastus_acidophilus
68	2agpe160	amp	2agpe160___amp	Rhodoblastus_acidophilus
69	2agpe160	pe160	2agpe160___pe160	Rhodoblastus_acidophilus
70	2agpe160	ppi	2agpe160___ppi	Rhodoblastus_acidophilus
71	2agpe180	amp	2agpe180___amp	Rhodoblastus_acidophilus
72	2agpe180	pe180	2agpe180___pe180	Rhodoblastus_acidophilus
73	2agpe180	ppi	2agpe180___ppi	Rhodoblastus_acidophilus
74	2agpe181	amp	2agpe181___amp	Rhodoblastus_acidophilus
75	2agpe181	g3pe	2agpe181___g3pe	Rhodoblastus_acidophilus
76	2agpe181	h	2agpe181___h	Rhodoblastus_acidophilus
77	2agpe181	ocdcea	2agpe181___ocdcea	Rhodoblastus_acidophilus
78	2agpe181	pe181	2agpe181___pe181	Rhodoblastus_acidophilus
79	2agpe181	ppi	2agpe181___ppi	Rhodoblastus_acidophilus
80	2agpg120	amp	2agpg120___amp	Rhodoblastus_acidophilus
81	2agpg120	ddca	2agpg120___ddca	Rhodoblastus_acidophilus
82	2agpg120	g3pg	2agpg120___g3pg	Rhodoblastus_acidophilus
83	2agpg120	h	2agpg120___h	Rhodoblastus_acidophilus
84	2agpg120	pg120	2agpg120___pg120	Rhodoblastus_acidophilus
85	2agpg120	ppi	2agpg120___ppi	Rhodoblastus_acidophilus
86	2agpg140	amp	2agpg140___amp	Rhodoblastus_acidophilus
87	2agpg140	g3pg	2agpg140___g3pg	Rhodoblastus_acidophilus
88	2agpg140	h	2agpg140___h	Rhodoblastus_acidophilus
89	2agpg140	pg140	2agpg140___pg140	Rhodoblastus_acidophilus
90	2agpg140	ppi	2agpg140___ppi	Rhodoblastus_acidophilus
91	2agpg140	ttdca	2agpg140___ttdca	Rhodoblastus_acidophilus
92	2agpg141	amp	2agpg141___amp	Rhodoblastus_acidophilus
93	2agpg141	pg141	2agpg141___pg141	Rhodoblastus_acidophilus
94	2agpg141	ppi	2agpg141___ppi	Rhodoblastus_acidophilus
95	2agpg160	amp	2agpg160___amp	Rhodoblastus_acidophilus
96	2agpg160	g3pg	2agpg160___g3pg	Rhodoblastus_acidophilus
97	2agpg160	h	2agpg160___h	Rhodoblastus_acidophilus
98	2agpg160	hdca	2agpg160___hdca	Rhodoblastus_acidophilus
99	2agpg160	pg160	2agpg160___pg160	Rhodoblastus_acidophilus
100	2agpg160	ppi	2agpg160___ppi	Rhodoblastus_acidophilus
101	2agpg161	amp	2agpg161___amp	Rhodoblastus_acidophilus
102	2agpg161	g3pg	2agpg161___g3pg	Rhodoblastus_acidophilus
103	2agpg161	h	2agpg161___h	Rhodoblastus_acidophilus
104	2agpg161	hdcea	2agpg161___hdcea	Rhodoblastus_acidophilus
105	2agpg161	pg161	2agpg161___pg161	Rhodoblastus_acidophilus
106	2agpg161	ppi	2agpg161___ppi	Rhodoblastus_acidophilus
107	2agpg180	amp	2agpg180___amp	Rhodoblastus_acidophilus
108	2agpg180	g3pg	2agpg180___g3pg	Rhodoblastus_acidophilus
109	2agpg180	h	2agpg180___h	Rhodoblastus_acidophilus
110	2agpg180	ocdca	2agpg180___ocdca	Rhodoblastus_acidophilus
111	2agpg180	pg180	2agpg180___pg180	Rhodoblastus_acidophilus
112	2agpg180	ppi	2agpg180___ppi	Rhodoblastus_acidophilus
113	2agpg181	amp	2agpg181___amp	Rhodoblastus_acidophilus
114	2agpg181	g3pg	2agpg181___g3pg	Rhodoblastus_acidophilus
115	2agpg181	h	2agpg181___h	Rhodoblastus_acidophilus
116	2agpg181	ocdcea	2agpg181___ocdcea	Rhodoblastus_acidophilus
117	2agpg181	pg181	2agpg181___pg181	Rhodoblastus_acidophilus
118	2agpg181	ppi	2agpg181___ppi	Rhodoblastus_acidophilus
119	2ahbut	23dhmp	2ahbut___23dhmp	Rhodoblastus_acidophilus
120	2ahbut	nadp	2ahbut___nadp	Rhodoblastus_acidophilus
121	2ahhmp	dhpt	2ahhmp___dhpt	Rhodoblastus_acidophilus
122	2ahhmp	h2o	2ahhmp___h2o	Rhodoblastus_acidophilus
123	2amsa	nadp	2amsa___nadp	Rhodoblastus_acidophilus
124	2amsa	ser__L	2amsa___ser__L	Rhodoblastus_acidophilus
125	2aobut	athr__L	2aobut___athr__L	Rhodoblastus_acidophilus
126	2aobut	nadp	2aobut___nadp	Rhodoblastus_acidophilus
127	2cpr5p	3ig3p	2cpr5p___3ig3p	Rhodoblastus_acidophilus
128	2cpr5p	co2	2cpr5p___co2	Rhodoblastus_acidophilus
129	2cpr5p	h2o	2cpr5p___h2o	Rhodoblastus_acidophilus
130	2dda7p	3dhq	2dda7p___3dhq	Rhodoblastus_acidophilus
131	2dda7p	pi	2dda7p___pi	Rhodoblastus_acidophilus
132	2dhp	nadp	2dhp___nadp	Rhodoblastus_acidophilus
133	2dhp	pant__R	2dhp___pant__R	Rhodoblastus_acidophilus
134	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Rhodoblastus_acidophilus
135	2dmmq8	dhap	2dmmq8___dhap	Rhodoblastus_acidophilus
136	2dmmq8	nad	2dmmq8___nad	Rhodoblastus_acidophilus
137	2dmmql8	2dmmq8	2dmmql8___2dmmq8	Rhodoblastus_acidophilus
138	2dmmql8	ahcys	2dmmql8___ahcys	Rhodoblastus_acidophilus
139	2dmmql8	h	2dmmql8___h	Rhodoblastus_acidophilus
140	2dmmql8	mql8	2dmmql8___mql8	Rhodoblastus_acidophilus
141	2dmmql8	succ	2dmmql8___succ	Rhodoblastus_acidophilus
142	2fe1s	adp	2fe1s___adp	Rhodoblastus_acidophilus
143	2fe1s	h	2fe1s___h	Rhodoblastus_acidophilus
144	2fe1s	iscs	2fe1s___iscs	Rhodoblastus_acidophilus
145	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Rhodoblastus_acidophilus
146	2fe1s	pi	2fe1s___pi	Rhodoblastus_acidophilus
