substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Riemerella_anatipestifer
2	10fthf	thf	10fthf___thf	Riemerella_anatipestifer
3	12dgr120	adp	12dgr120___adp	Riemerella_anatipestifer
4	12dgr120	h	12dgr120___h	Riemerella_anatipestifer
5	12dgr120	pa120	12dgr120___pa120	Riemerella_anatipestifer
6	12dgr161	adp	12dgr161___adp	Riemerella_anatipestifer
7	12dgr161	h	12dgr161___h	Riemerella_anatipestifer
8	12dgr161	pa161	12dgr161___pa161	Riemerella_anatipestifer
9	12dgr181	adp	12dgr181___adp	Riemerella_anatipestifer
10	12dgr181	h	12dgr181___h	Riemerella_anatipestifer
11	12dgr181	pa181	12dgr181___pa181	Riemerella_anatipestifer
12	12ppd__S	h	12ppd__S___h	Riemerella_anatipestifer
13	12ppd__S	lald__L	12ppd__S___lald__L	Riemerella_anatipestifer
14	12ppd__S	nadh	12ppd__S___nadh	Riemerella_anatipestifer
15	13dpg	3pg	13dpg___3pg	Riemerella_anatipestifer
16	13dpg	atp	13dpg___atp	Riemerella_anatipestifer
17	1ddecg3p	ACP	1ddecg3p___ACP	Riemerella_anatipestifer
18	1ddecg3p	pa120	1ddecg3p___pa120	Riemerella_anatipestifer
19	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Riemerella_anatipestifer
20	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Riemerella_anatipestifer
21	1hdecg3p	ACP	1hdecg3p___ACP	Riemerella_anatipestifer
22	1hdecg3p	pa160	1hdecg3p___pa160	Riemerella_anatipestifer
23	1odec11eg3p	ACP	1odec11eg3p___ACP	Riemerella_anatipestifer
24	1odec11eg3p	pa181	1odec11eg3p___pa181	Riemerella_anatipestifer
25	1odecg3p	ACP	1odecg3p___ACP	Riemerella_anatipestifer
26	1odecg3p	pa180	1odecg3p___pa180	Riemerella_anatipestifer
27	1tdecg3p	ACP	1tdecg3p___ACP	Riemerella_anatipestifer
28	1tdecg3p	pa140	1tdecg3p___pa140	Riemerella_anatipestifer
29	23dhdp	nadp	23dhdp___nadp	Riemerella_anatipestifer
30	23dhdp	thdp	23dhdp___thdp	Riemerella_anatipestifer
31	25aics	aicar	25aics___aicar	Riemerella_anatipestifer
32	25aics	fum	25aics___fum	Riemerella_anatipestifer
33	25dhpp	5apru	25dhpp___5apru	Riemerella_anatipestifer
34	25dhpp	nh4	25dhpp___nh4	Riemerella_anatipestifer
35	26dap_	adp	26dap____adp	Riemerella_anatipestifer
36	26dap_	co2	26dap____co2	Riemerella_anatipestifer
37	26dap_	h	26dap____h	Riemerella_anatipestifer
38	26dap_	lys__L	26dap____lys__L	Riemerella_anatipestifer
39	26dap_	pi	26dap____pi	Riemerella_anatipestifer
40	26dap_	ugmd	26dap____ugmd	Riemerella_anatipestifer
41	26dap_LL	26dap_	26dap_LL___26dap_	Riemerella_anatipestifer
42	2agpg120	amp	2agpg120___amp	Riemerella_anatipestifer
43	2agpg120	pg120	2agpg120___pg120	Riemerella_anatipestifer
44	2agpg120	ppi	2agpg120___ppi	Riemerella_anatipestifer
45	2agpg141	amp	2agpg141___amp	Riemerella_anatipestifer
