substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Roseateles_depolymerans
2	10fthf	thf	10fthf___thf	Roseateles_depolymerans
3	12dgr120	adp	12dgr120___adp	Roseateles_depolymerans
4	12dgr120	h	12dgr120___h	Roseateles_depolymerans
5	12dgr120	pa120	12dgr120___pa120	Roseateles_depolymerans
6	12dgr140	adp	12dgr140___adp	Roseateles_depolymerans
7	12dgr140	h	12dgr140___h	Roseateles_depolymerans
8	12dgr140	pa140	12dgr140___pa140	Roseateles_depolymerans
9	12dgr141	adp	12dgr141___adp	Roseateles_depolymerans
10	12dgr141	h	12dgr141___h	Roseateles_depolymerans
11	12dgr141	pa141	12dgr141___pa141	Roseateles_depolymerans
12	12dgr160	adp	12dgr160___adp	Roseateles_depolymerans
13	12dgr160	h	12dgr160___h	Roseateles_depolymerans
14	12dgr160	pa160	12dgr160___pa160	Roseateles_depolymerans
15	12dgr161	adp	12dgr161___adp	Roseateles_depolymerans
16	12dgr161	h	12dgr161___h	Roseateles_depolymerans
17	12dgr161	pa161	12dgr161___pa161	Roseateles_depolymerans
18	12dgr180	adp	12dgr180___adp	Roseateles_depolymerans
19	12dgr180	h	12dgr180___h	Roseateles_depolymerans
20	12dgr180	pa180	12dgr180___pa180	Roseateles_depolymerans
21	12dgr181	adp	12dgr181___adp	Roseateles_depolymerans
22	12dgr181	h	12dgr181___h	Roseateles_depolymerans
23	12dgr181	pa181	12dgr181___pa181	Roseateles_depolymerans
24	12ppd__S	h	12ppd__S___h	Roseateles_depolymerans
25	12ppd__S	lald__L	12ppd__S___lald__L	Roseateles_depolymerans
26	12ppd__S	nadh	12ppd__S___nadh	Roseateles_depolymerans
27	13dpg	3pg	13dpg___3pg	Roseateles_depolymerans
28	13dpg	atp	13dpg___atp	Roseateles_depolymerans
29	14glucan	malthx	14glucan___malthx	Roseateles_depolymerans
30	1ddecg3p	ACP	1ddecg3p___ACP	Roseateles_depolymerans
31	1ddecg3p	pa120	1ddecg3p___pa120	Roseateles_depolymerans
32	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Roseateles_depolymerans
33	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Roseateles_depolymerans
34	1hdecg3p	ACP	1hdecg3p___ACP	Roseateles_depolymerans
35	1hdecg3p	pa160	1hdecg3p___pa160	Roseateles_depolymerans
36	1odec11eg3p	ACP	1odec11eg3p___ACP	Roseateles_depolymerans
37	1odec11eg3p	pa181	1odec11eg3p___pa181	Roseateles_depolymerans
38	1odecg3p	ACP	1odecg3p___ACP	Roseateles_depolymerans
39	1odecg3p	pa180	1odecg3p___pa180	Roseateles_depolymerans
40	1pyr5c	nadp	1pyr5c___nadp	Roseateles_depolymerans
41	1pyr5c	pro__L	1pyr5c___pro__L	Roseateles_depolymerans
42	1tdecg3p	ACP	1tdecg3p___ACP	Roseateles_depolymerans
43	1tdecg3p	pa140	1tdecg3p___pa140	Roseateles_depolymerans
44	23dhdp	nadp	23dhdp___nadp	Roseateles_depolymerans
45	23dhdp	thdp	23dhdp___thdp	Roseateles_depolymerans
46	23dhmp	3mop	23dhmp___3mop	Roseateles_depolymerans
47	23dhmp	h2o	23dhmp___h2o	Roseateles_depolymerans
48	25aics	aicar	25aics___aicar	Roseateles_depolymerans
49	25aics	fum	25aics___fum	Roseateles_depolymerans
50	25dhpp	5apru	25dhpp___5apru	Roseateles_depolymerans
51	25dhpp	nh4	25dhpp___nh4	Roseateles_depolymerans
52	26dap_	adp	26dap____adp	Roseateles_depolymerans
53	26dap_	co2	26dap____co2	Roseateles_depolymerans
54	26dap_	h	26dap____h	Roseateles_depolymerans
55	26dap_	lys__L	26dap____lys__L	Roseateles_depolymerans
56	26dap_	pi	26dap____pi	Roseateles_depolymerans
57	26dap_	ugmd	26dap____ugmd	Roseateles_depolymerans
58	26dap_LL	26dap_	26dap_LL___26dap_	Roseateles_depolymerans
59	2agpe120	amp	2agpe120___amp	Roseateles_depolymerans
60	2agpe120	pe120	2agpe120___pe120	Roseateles_depolymerans
61	2agpe120	ppi	2agpe120___ppi	Roseateles_depolymerans
62	2agpe140	amp	2agpe140___amp	Roseateles_depolymerans
63	2agpe140	pe140	2agpe140___pe140	Roseateles_depolymerans
64	2agpe140	ppi	2agpe140___ppi	Roseateles_depolymerans
65	2agpe141	amp	2agpe141___amp	Roseateles_depolymerans
66	2agpe141	pe141	2agpe141___pe141	Roseateles_depolymerans
67	2agpe141	ppi	2agpe141___ppi	Roseateles_depolymerans
68	2agpe160	amp	2agpe160___amp	Roseateles_depolymerans
69	2agpe160	pe160	2agpe160___pe160	Roseateles_depolymerans
70	2agpe160	ppi	2agpe160___ppi	Roseateles_depolymerans
71	2agpe180	amp	2agpe180___amp	Roseateles_depolymerans
72	2agpe180	pe180	2agpe180___pe180	Roseateles_depolymerans
73	2agpe180	ppi	2agpe180___ppi	Roseateles_depolymerans
74	2agpe181	amp	2agpe181___amp	Roseateles_depolymerans
75	2agpe181	pe181	2agpe181___pe181	Roseateles_depolymerans
76	2agpe181	ppi	2agpe181___ppi	Roseateles_depolymerans
77	2agpg120	amp	2agpg120___amp	Roseateles_depolymerans
78	2agpg120	pg120	2agpg120___pg120	Roseateles_depolymerans
79	2agpg120	ppi	2agpg120___ppi	Roseateles_depolymerans
80	2agpg140	amp	2agpg140___amp	Roseateles_depolymerans
81	2agpg140	pg140	2agpg140___pg140	Roseateles_depolymerans
82	2agpg140	ppi	2agpg140___ppi	Roseateles_depolymerans
83	2agpg141	amp	2agpg141___amp	Roseateles_depolymerans
84	2agpg141	pg141	2agpg141___pg141	Roseateles_depolymerans
85	2agpg141	ppi	2agpg141___ppi	Roseateles_depolymerans
86	2agpg160	amp	2agpg160___amp	Roseateles_depolymerans
87	2agpg160	pg160	2agpg160___pg160	Roseateles_depolymerans
88	2agpg160	ppi	2agpg160___ppi	Roseateles_depolymerans
89	2agpg161	amp	2agpg161___amp	Roseateles_depolymerans
90	2agpg161	pg161	2agpg161___pg161	Roseateles_depolymerans
91	2agpg161	ppi	2agpg161___ppi	Roseateles_depolymerans
92	2agpg180	amp	2agpg180___amp	Roseateles_depolymerans
93	2agpg180	pg180	2agpg180___pg180	Roseateles_depolymerans
94	2agpg180	ppi	2agpg180___ppi	Roseateles_depolymerans
95	2agpg181	amp	2agpg181___amp	Roseateles_depolymerans
96	2agpg181	pg181	2agpg181___pg181	Roseateles_depolymerans
97	2agpg181	ppi	2agpg181___ppi	Roseateles_depolymerans
98	2ahbut	23dhmp	2ahbut___23dhmp	Roseateles_depolymerans
99	2ahbut	nadp	2ahbut___nadp	Roseateles_depolymerans
100	2ahhmp	dhpt	2ahhmp___dhpt	Roseateles_depolymerans
101	2ahhmp	h2o	2ahhmp___h2o	Roseateles_depolymerans
102	2amsa	nadp	2amsa___nadp	Roseateles_depolymerans
103	2aobut	athr__L	2aobut___athr__L	Roseateles_depolymerans
104	2aobut	nadp	2aobut___nadp	Roseateles_depolymerans
105	2cpr5p	3ig3p	2cpr5p___3ig3p	Roseateles_depolymerans
106	2cpr5p	co2	2cpr5p___co2	Roseateles_depolymerans
107	2cpr5p	h2o	2cpr5p___h2o	Roseateles_depolymerans
108	2dda7p	3dhq	2dda7p___3dhq	Roseateles_depolymerans
109	2dda7p	pi	2dda7p___pi	Roseateles_depolymerans
110	2ddg6p	g3p	2ddg6p___g3p	Roseateles_depolymerans
111	2ddg6p	pyr	2ddg6p___pyr	Roseateles_depolymerans
112	2ddglcn	2ddg6p	2ddglcn___2ddg6p	Roseateles_depolymerans
113	2ddglcn	adp	2ddglcn___adp	Roseateles_depolymerans
114	2ddglcn	h	2ddglcn___h	Roseateles_depolymerans
115	2dhglcn	6p2dhglcn	2dhglcn___6p2dhglcn	Roseateles_depolymerans
116	2dhglcn	adp	2dhglcn___adp	Roseateles_depolymerans
117	2dhp	nadp	2dhp___nadp	Roseateles_depolymerans
118	2dhp	pant__R	2dhp___pant__R	Roseateles_depolymerans
119	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Roseateles_depolymerans
120	2dmmq8	nad	2dmmq8___nad	Roseateles_depolymerans
121	2dmmql8	ahcys	2dmmql8___ahcys	Roseateles_depolymerans
122	2dmmql8	h	2dmmql8___h	Roseateles_depolymerans
123	2dmmql8	mql8	2dmmql8___mql8	Roseateles_depolymerans
124	2dr5p	acald	2dr5p___acald	Roseateles_depolymerans
125	2dr5p	g3p	2dr5p___g3p	Roseateles_depolymerans
126	2fe1s	h	2fe1s___h	Roseateles_depolymerans
127	2fe1s	iscs	2fe1s___iscs	Roseateles_depolymerans
128	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Roseateles_depolymerans
129	2fe2s	2fe1s	2fe2s___2fe1s	Roseateles_depolymerans
130	2fe2s	btn	2fe2s___btn	Roseateles_depolymerans
