substrate	product	rxn	taxon
1	10fthf	thf	10fthf___thf	Roseicitreum_antarcticum
2	12dgr161	adp	12dgr161___adp	Roseicitreum_antarcticum
3	12dgr161	h	12dgr161___h	Roseicitreum_antarcticum
4	12dgr161	pa161	12dgr161___pa161	Roseicitreum_antarcticum
5	13dpg	3pg	13dpg___3pg	Roseicitreum_antarcticum
6	13dpg	atp	13dpg___atp	Roseicitreum_antarcticum
7	1ddecg3p	ACP	1ddecg3p___ACP	Roseicitreum_antarcticum
8	1ddecg3p	pa120	1ddecg3p___pa120	Roseicitreum_antarcticum
9	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Roseicitreum_antarcticum
10	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Roseicitreum_antarcticum
11	1hdecg3p	ACP	1hdecg3p___ACP	Roseicitreum_antarcticum
12	1hdecg3p	pa160	1hdecg3p___pa160	Roseicitreum_antarcticum
13	1odec11eg3p	ACP	1odec11eg3p___ACP	Roseicitreum_antarcticum
14	1odec11eg3p	pa181	1odec11eg3p___pa181	Roseicitreum_antarcticum
15	1odecg3p	ACP	1odecg3p___ACP	Roseicitreum_antarcticum
16	1odecg3p	pa180	1odecg3p___pa180	Roseicitreum_antarcticum
17	1pyr5c	nad	1pyr5c___nad	Roseicitreum_antarcticum
18	1pyr5c	nadp	1pyr5c___nadp	Roseicitreum_antarcticum
19	1pyr5c	pro__L	1pyr5c___pro__L	Roseicitreum_antarcticum
20	1tdecg3p	ACP	1tdecg3p___ACP	Roseicitreum_antarcticum
21	1tdecg3p	pa140	1tdecg3p___pa140	Roseicitreum_antarcticum
22	23dhdp	nadp	23dhdp___nadp	Roseicitreum_antarcticum
23	23dhdp	thdp	23dhdp___thdp	Roseicitreum_antarcticum
24	23dhmb	alac__S	23dhmb___alac__S	Roseicitreum_antarcticum
25	23dhmb	h	23dhmb___h	Roseicitreum_antarcticum
26	23dhmb	nadph	23dhmb___nadph	Roseicitreum_antarcticum
27	23dhmp	3mop	23dhmp___3mop	Roseicitreum_antarcticum
28	23dhmp	h2o	23dhmp___h2o	Roseicitreum_antarcticum
