substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Schwartzia_succinivorans
2	10fthf	thf	10fthf___thf	Schwartzia_succinivorans
3	12dgr120	adp	12dgr120___adp	Schwartzia_succinivorans
4	12dgr120	h	12dgr120___h	Schwartzia_succinivorans
5	12dgr120	pa120	12dgr120___pa120	Schwartzia_succinivorans
6	12dgr140	adp	12dgr140___adp	Schwartzia_succinivorans
7	12dgr140	h	12dgr140___h	Schwartzia_succinivorans
8	12dgr140	pa140	12dgr140___pa140	Schwartzia_succinivorans
9	12dgr141	adp	12dgr141___adp	Schwartzia_succinivorans
10	12dgr141	h	12dgr141___h	Schwartzia_succinivorans
11	12dgr141	pa141	12dgr141___pa141	Schwartzia_succinivorans
12	12dgr160	adp	12dgr160___adp	Schwartzia_succinivorans
13	12dgr160	h	12dgr160___h	Schwartzia_succinivorans
14	12dgr160	pa160	12dgr160___pa160	Schwartzia_succinivorans
15	12dgr161	adp	12dgr161___adp	Schwartzia_succinivorans
16	12dgr161	h	12dgr161___h	Schwartzia_succinivorans
17	12dgr161	pa161	12dgr161___pa161	Schwartzia_succinivorans
18	12dgr181	adp	12dgr181___adp	Schwartzia_succinivorans
19	12dgr181	h	12dgr181___h	Schwartzia_succinivorans
20	12dgr181	pa181	12dgr181___pa181	Schwartzia_succinivorans
21	13dpg	3pg	13dpg___3pg	Schwartzia_succinivorans
22	13dpg	atp	13dpg___atp	Schwartzia_succinivorans
23	1ddecg3p	ACP	1ddecg3p___ACP	Schwartzia_succinivorans
24	1ddecg3p	pa120	1ddecg3p___pa120	Schwartzia_succinivorans
25	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Schwartzia_succinivorans
26	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Schwartzia_succinivorans
27	1hdecg3p	ACP	1hdecg3p___ACP	Schwartzia_succinivorans
28	1hdecg3p	pa160	1hdecg3p___pa160	Schwartzia_succinivorans
29	1odec11eg3p	ACP	1odec11eg3p___ACP	Schwartzia_succinivorans
30	1odec11eg3p	pa181	1odec11eg3p___pa181	Schwartzia_succinivorans
31	1odecg3p	ACP	1odecg3p___ACP	Schwartzia_succinivorans
32	1odecg3p	pa180	1odecg3p___pa180	Schwartzia_succinivorans
33	1pyr5c	nad	1pyr5c___nad	Schwartzia_succinivorans
34	1pyr5c	nadp	1pyr5c___nadp	Schwartzia_succinivorans
35	1pyr5c	pro__L	1pyr5c___pro__L	Schwartzia_succinivorans
36	1tdecg3p	ACP	1tdecg3p___ACP	Schwartzia_succinivorans
37	1tdecg3p	pa140	1tdecg3p___pa140	Schwartzia_succinivorans
38	23dhdp	nadp	23dhdp___nadp	Schwartzia_succinivorans
39	23dhdp	thdp	23dhdp___thdp	Schwartzia_succinivorans
40	23dhmb	alac__S	23dhmb___alac__S	Schwartzia_succinivorans
41	23dhmb	h	23dhmb___h	Schwartzia_succinivorans
42	23dhmb	nadph	23dhmb___nadph	Schwartzia_succinivorans
43	23dhmp	3mop	23dhmp___3mop	Schwartzia_succinivorans
44	23dhmp	h2o	23dhmp___h2o	Schwartzia_succinivorans
45	25aics	aicar	25aics___aicar	Schwartzia_succinivorans
46	25aics	fum	25aics___fum	Schwartzia_succinivorans
47	25dhpp	5apru	25dhpp___5apru	Schwartzia_succinivorans
48	25dhpp	nh4	25dhpp___nh4	Schwartzia_succinivorans
49	26dap_	adp	26dap____adp	Schwartzia_succinivorans
50	26dap_	co2	26dap____co2	Schwartzia_succinivorans
51	26dap_	h	26dap____h	Schwartzia_succinivorans
52	26dap_	lys__L	26dap____lys__L	Schwartzia_succinivorans
53	26dap_	pi	26dap____pi	Schwartzia_succinivorans
54	26dap_	ugmd	26dap____ugmd	Schwartzia_succinivorans
55	26dap_LL	26dap_	26dap_LL___26dap_	Schwartzia_succinivorans
56	2agpg141	amp	2agpg141___amp	Schwartzia_succinivorans
57	2agpg141	pg141	2agpg141___pg141	Schwartzia_succinivorans
58	2agpg141	ppi	2agpg141___ppi	Schwartzia_succinivorans
59	2agpg161	g3pg	2agpg161___g3pg	Schwartzia_succinivorans
60	2agpg161	h	2agpg161___h	Schwartzia_succinivorans
61	2agpg161	hdcea	2agpg161___hdcea	Schwartzia_succinivorans
62	2agpg180	amp	2agpg180___amp	Schwartzia_succinivorans
63	2agpg180	pg180	2agpg180___pg180	Schwartzia_succinivorans
64	2agpg180	ppi	2agpg180___ppi	Schwartzia_succinivorans
65	2agpg181	g3pg	2agpg181___g3pg	Schwartzia_succinivorans
66	2agpg181	h	2agpg181___h	Schwartzia_succinivorans
67	2agpg181	ocdcea	2agpg181___ocdcea	Schwartzia_succinivorans
68	2ahbut	23dhmp	2ahbut___23dhmp	Schwartzia_succinivorans
69	2ahbut	nadp	2ahbut___nadp	Schwartzia_succinivorans
70	2aobut	athr__L	2aobut___athr__L	Schwartzia_succinivorans
71	2aobut	nadp	2aobut___nadp	Schwartzia_succinivorans
72	2cpr5p	3ig3p	2cpr5p___3ig3p	Schwartzia_succinivorans
73	2cpr5p	co2	2cpr5p___co2	Schwartzia_succinivorans
74	2cpr5p	h2o	2cpr5p___h2o	Schwartzia_succinivorans
75	2dda7p	3dhq	2dda7p___3dhq	Schwartzia_succinivorans
76	2dda7p	pi	2dda7p___pi	Schwartzia_succinivorans
77	2dhp	nadp	2dhp___nadp	Schwartzia_succinivorans
78	2dhp	pant__R	2dhp___pant__R	Schwartzia_succinivorans
79	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Schwartzia_succinivorans
80	2dmmq8	nad	2dmmq8___nad	Schwartzia_succinivorans
81	2dmmql8	2dmmq8	2dmmql8___2dmmq8	Schwartzia_succinivorans
82	2dmmql8	ahcys	2dmmql8___ahcys	Schwartzia_succinivorans
83	2dmmql8	h	2dmmql8___h	Schwartzia_succinivorans
84	2dmmql8	mql8	2dmmql8___mql8	Schwartzia_succinivorans
85	2dmmql8	succ	2dmmql8___succ	Schwartzia_succinivorans
86	2dr1p	2dr5p	2dr1p___2dr5p	Schwartzia_succinivorans
87	2dr5p	acald	2dr5p___acald	Schwartzia_succinivorans
88	2dr5p	g3p	2dr5p___g3p	Schwartzia_succinivorans
89	2fe1s	adp	2fe1s___adp	Schwartzia_succinivorans
90	2fe1s	h	2fe1s___h	Schwartzia_succinivorans
91	2fe1s	iscs	2fe1s___iscs	Schwartzia_succinivorans
92	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Schwartzia_succinivorans
93	2fe1s	pi	2fe1s___pi	Schwartzia_succinivorans
94	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Schwartzia_succinivorans
95	2fe1s	sufse	2fe1s___sufse	Schwartzia_succinivorans
96	2fe2s	2fe1s	2fe2s___2fe1s	Schwartzia_succinivorans
97	2fe2s	btn	2fe2s___btn	Schwartzia_succinivorans
98	2fe2s	dad_5	2fe2s___dad_5	Schwartzia_succinivorans
99	2fe2s	h	2fe2s___h	Schwartzia_succinivorans
100	2fe2s	met__L	2fe2s___met__L	Schwartzia_succinivorans
101	2h3opp	glyc__R	2h3opp___glyc__R	Schwartzia_succinivorans
