substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Sediminibacillus_halophilus
2	10fthf	thf	10fthf___thf	Sediminibacillus_halophilus
3	12dgr140	adp	12dgr140___adp	Sediminibacillus_halophilus
4	12dgr140	h	12dgr140___h	Sediminibacillus_halophilus
5	12dgr140	pa140	12dgr140___pa140	Sediminibacillus_halophilus
6	12dgr141	adp	12dgr141___adp	Sediminibacillus_halophilus
7	12dgr141	h	12dgr141___h	Sediminibacillus_halophilus
8	12dgr141	pa141	12dgr141___pa141	Sediminibacillus_halophilus
9	12dgr160	adp	12dgr160___adp	Sediminibacillus_halophilus
10	12dgr160	h	12dgr160___h	Sediminibacillus_halophilus
11	12dgr160	pa160	12dgr160___pa160	Sediminibacillus_halophilus
12	12dgr161	adp	12dgr161___adp	Sediminibacillus_halophilus
13	12dgr161	h	12dgr161___h	Sediminibacillus_halophilus
14	12dgr161	pa161	12dgr161___pa161	Sediminibacillus_halophilus
15	12dgr181	adp	12dgr181___adp	Sediminibacillus_halophilus
16	12dgr181	h	12dgr181___h	Sediminibacillus_halophilus
17	12dgr181	pa181	12dgr181___pa181	Sediminibacillus_halophilus
18	13dpg	3pg	13dpg___3pg	Sediminibacillus_halophilus
19	13dpg	atp	13dpg___atp	Sediminibacillus_halophilus
20	1ddecg3p	ACP	1ddecg3p___ACP	Sediminibacillus_halophilus
21	1ddecg3p	pa120	1ddecg3p___pa120	Sediminibacillus_halophilus
22	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Sediminibacillus_halophilus
23	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Sediminibacillus_halophilus
24	1hdecg3p	ACP	1hdecg3p___ACP	Sediminibacillus_halophilus
25	1hdecg3p	pa160	1hdecg3p___pa160	Sediminibacillus_halophilus
26	1odec11eg3p	ACP	1odec11eg3p___ACP	Sediminibacillus_halophilus
27	1odec11eg3p	pa181	1odec11eg3p___pa181	Sediminibacillus_halophilus
28	1odecg3p	ACP	1odecg3p___ACP	Sediminibacillus_halophilus
29	1odecg3p	pa180	1odecg3p___pa180	Sediminibacillus_halophilus
30	1pyr5c	nad	1pyr5c___nad	Sediminibacillus_halophilus
31	1pyr5c	nadp	1pyr5c___nadp	Sediminibacillus_halophilus
32	1pyr5c	pro__L	1pyr5c___pro__L	Sediminibacillus_halophilus
33	1tdecg3p	ACP	1tdecg3p___ACP	Sediminibacillus_halophilus
34	1tdecg3p	pa140	1tdecg3p___pa140	Sediminibacillus_halophilus
35	23dhdp	nadp	23dhdp___nadp	Sediminibacillus_halophilus
36	23dhdp	thdp	23dhdp___thdp	Sediminibacillus_halophilus
37	23dhmb	alac__S	23dhmb___alac__S	Sediminibacillus_halophilus
38	23dhmb	h	23dhmb___h	Sediminibacillus_halophilus
39	23dhmb	nadph	23dhmb___nadph	Sediminibacillus_halophilus
40	23dhmp	3mop	23dhmp___3mop	Sediminibacillus_halophilus
41	23dhmp	h2o	23dhmp___h2o	Sediminibacillus_halophilus
42	25aics	aicar	25aics___aicar	Sediminibacillus_halophilus
43	25aics	fum	25aics___fum	Sediminibacillus_halophilus
44	25dhpp	5apru	25dhpp___5apru	Sediminibacillus_halophilus
45	25dhpp	nh4	25dhpp___nh4	Sediminibacillus_halophilus
46	26dap_	adp	26dap____adp	Sediminibacillus_halophilus
47	26dap_	co2	26dap____co2	Sediminibacillus_halophilus
48	26dap_	h	26dap____h	Sediminibacillus_halophilus
49	26dap_	lys__L	26dap____lys__L	Sediminibacillus_halophilus
50	26dap_	pi	26dap____pi	Sediminibacillus_halophilus
51	26dap_	ugmd	26dap____ugmd	Sediminibacillus_halophilus
52	26dap_LL	26dap_	26dap_LL___26dap_	Sediminibacillus_halophilus
53	26dapime	26dap_LL	26dapime___26dap_LL	Sediminibacillus_halophilus
54	26dapime	ac	26dapime___ac	Sediminibacillus_halophilus
55	2agpe141	amp	2agpe141___amp	Sediminibacillus_halophilus
56	2agpe141	pe141	2agpe141___pe141	Sediminibacillus_halophilus
57	2agpe141	ppi	2agpe141___ppi	Sediminibacillus_halophilus
58	2agpe181	amp	2agpe181___amp	Sediminibacillus_halophilus
59	2agpe181	pe181	2agpe181___pe181	Sediminibacillus_halophilus
60	2agpe181	ppi	2agpe181___ppi	Sediminibacillus_halophilus
61	2agpg160	amp	2agpg160___amp	Sediminibacillus_halophilus
62	2agpg160	pg160	2agpg160___pg160	Sediminibacillus_halophilus
63	2agpg160	ppi	2agpg160___ppi	Sediminibacillus_halophilus
64	2agpg161	g3pg	2agpg161___g3pg	Sediminibacillus_halophilus
