substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Sodalis_praecaptivus
2	10fthf	thf	10fthf___thf	Sodalis_praecaptivus
3	12dgr120	adp	12dgr120___adp	Sodalis_praecaptivus
4	12dgr120	h	12dgr120___h	Sodalis_praecaptivus
5	12dgr120	pa120	12dgr120___pa120	Sodalis_praecaptivus
6	12dgr140	adp	12dgr140___adp	Sodalis_praecaptivus
7	12dgr140	h	12dgr140___h	Sodalis_praecaptivus
8	12dgr140	pa140	12dgr140___pa140	Sodalis_praecaptivus
9	12dgr141	adp	12dgr141___adp	Sodalis_praecaptivus
10	12dgr141	h	12dgr141___h	Sodalis_praecaptivus
11	12dgr141	pa141	12dgr141___pa141	Sodalis_praecaptivus
12	12dgr160	adp	12dgr160___adp	Sodalis_praecaptivus
13	12dgr160	h	12dgr160___h	Sodalis_praecaptivus
14	12dgr160	pa160	12dgr160___pa160	Sodalis_praecaptivus
15	12dgr161	adp	12dgr161___adp	Sodalis_praecaptivus
16	12dgr161	h	12dgr161___h	Sodalis_praecaptivus
17	12dgr161	pa161	12dgr161___pa161	Sodalis_praecaptivus
18	12dgr180	adp	12dgr180___adp	Sodalis_praecaptivus
19	12dgr180	h	12dgr180___h	Sodalis_praecaptivus
20	12dgr180	pa180	12dgr180___pa180	Sodalis_praecaptivus
21	12dgr181	adp	12dgr181___adp	Sodalis_praecaptivus
22	12dgr181	h	12dgr181___h	Sodalis_praecaptivus
23	12dgr181	pa181	12dgr181___pa181	Sodalis_praecaptivus
24	12ppd__S	h	12ppd__S___h	Sodalis_praecaptivus
25	12ppd__S	lald__L	12ppd__S___lald__L	Sodalis_praecaptivus
26	12ppd__S	nadh	12ppd__S___nadh	Sodalis_praecaptivus
27	13dpg	3pg	13dpg___3pg	Sodalis_praecaptivus
28	13dpg	atp	13dpg___atp	Sodalis_praecaptivus
29	1ddecg3p	ACP	1ddecg3p___ACP	Sodalis_praecaptivus
30	1ddecg3p	pa120	1ddecg3p___pa120	Sodalis_praecaptivus
