substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Solibacillus_silvestris
2	10fthf	thf	10fthf___thf	Solibacillus_silvestris
3	12dgr120	adp	12dgr120___adp	Solibacillus_silvestris
4	12dgr120	h	12dgr120___h	Solibacillus_silvestris
5	12dgr120	pa120	12dgr120___pa120	Solibacillus_silvestris
6	12dgr140	adp	12dgr140___adp	Solibacillus_silvestris
7	12dgr140	h	12dgr140___h	Solibacillus_silvestris
8	12dgr140	pa140	12dgr140___pa140	Solibacillus_silvestris
9	12dgr141	adp	12dgr141___adp	Solibacillus_silvestris
10	12dgr141	h	12dgr141___h	Solibacillus_silvestris
11	12dgr141	pa141	12dgr141___pa141	Solibacillus_silvestris
12	12dgr160	adp	12dgr160___adp	Solibacillus_silvestris
13	12dgr160	h	12dgr160___h	Solibacillus_silvestris
14	12dgr160	pa160	12dgr160___pa160	Solibacillus_silvestris
15	12dgr161	adp	12dgr161___adp	Solibacillus_silvestris
16	12dgr161	h	12dgr161___h	Solibacillus_silvestris
17	12dgr161	pa161	12dgr161___pa161	Solibacillus_silvestris
18	12dgr180	adp	12dgr180___adp	Solibacillus_silvestris
19	12dgr180	h	12dgr180___h	Solibacillus_silvestris
20	12dgr180	pa180	12dgr180___pa180	Solibacillus_silvestris
21	12dgr181	adp	12dgr181___adp	Solibacillus_silvestris
22	12dgr181	h	12dgr181___h	Solibacillus_silvestris
23	12dgr181	pa181	12dgr181___pa181	Solibacillus_silvestris
24	12ppd__S	h	12ppd__S___h	Solibacillus_silvestris
25	12ppd__S	lald__L	12ppd__S___lald__L	Solibacillus_silvestris
26	12ppd__S	nadh	12ppd__S___nadh	Solibacillus_silvestris
27	13dpg	3pg	13dpg___3pg	Solibacillus_silvestris
28	13dpg	atp	13dpg___atp	Solibacillus_silvestris
29	1ddecg3p	ACP	1ddecg3p___ACP	Solibacillus_silvestris
30	1ddecg3p	pa120	1ddecg3p___pa120	Solibacillus_silvestris
31	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Solibacillus_silvestris
32	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Solibacillus_silvestris
33	1hdecg3p	ACP	1hdecg3p___ACP	Solibacillus_silvestris
34	1hdecg3p	pa160	1hdecg3p___pa160	Solibacillus_silvestris
35	1odec11eg3p	ACP	1odec11eg3p___ACP	Solibacillus_silvestris
36	1odec11eg3p	pa181	1odec11eg3p___pa181	Solibacillus_silvestris
37	1odecg3p	ACP	1odecg3p___ACP	Solibacillus_silvestris
38	1odecg3p	pa180	1odecg3p___pa180	Solibacillus_silvestris
39	1pyr5c	nad	1pyr5c___nad	Solibacillus_silvestris
40	1pyr5c	nadp	1pyr5c___nadp	Solibacillus_silvestris
41	1pyr5c	pro__L	1pyr5c___pro__L	Solibacillus_silvestris
42	1tdecg3p	ACP	1tdecg3p___ACP	Solibacillus_silvestris
43	1tdecg3p	pa140	1tdecg3p___pa140	Solibacillus_silvestris
44	23dhdp	nadp	23dhdp___nadp	Solibacillus_silvestris
45	23dhdp	thdp	23dhdp___thdp	Solibacillus_silvestris
46	23dhmb	alac__S	23dhmb___alac__S	Solibacillus_silvestris
47	23dhmb	h	23dhmb___h	Solibacillus_silvestris
48	23dhmb	nadph	23dhmb___nadph	Solibacillus_silvestris
49	23dhmp	3mop	23dhmp___3mop	Solibacillus_silvestris
50	23dhmp	h2o	23dhmp___h2o	Solibacillus_silvestris
51	25aics	aicar	25aics___aicar	Solibacillus_silvestris
52	25aics	fum	25aics___fum	Solibacillus_silvestris
53	25dhpp	5apru	25dhpp___5apru	Solibacillus_silvestris
54	25dhpp	nh4	25dhpp___nh4	Solibacillus_silvestris
55	26dap_	adp	26dap____adp	Solibacillus_silvestris
56	26dap_	co2	26dap____co2	Solibacillus_silvestris
57	26dap_	h	26dap____h	Solibacillus_silvestris
58	26dap_	lys__L	26dap____lys__L	Solibacillus_silvestris
59	26dap_	pi	26dap____pi	Solibacillus_silvestris
60	26dap_	ugmd	26dap____ugmd	Solibacillus_silvestris
61	26dap_LL	26dap_	26dap_LL___26dap_	Solibacillus_silvestris
62	26dapime	26dap_LL	26dapime___26dap_LL	Solibacillus_silvestris
63	26dapime	ac	26dapime___ac	Solibacillus_silvestris
64	2agpe141	amp	2agpe141___amp	Solibacillus_silvestris
65	2agpe141	pe141	2agpe141___pe141	Solibacillus_silvestris
66	2agpe141	ppi	2agpe141___ppi	Solibacillus_silvestris
67	2agpg120	amp	2agpg120___amp	Solibacillus_silvestris
68	2agpg120	pg120	2agpg120___pg120	Solibacillus_silvestris
69	2agpg120	ppi	2agpg120___ppi	Solibacillus_silvestris
70	2agpg140	amp	2agpg140___amp	Solibacillus_silvestris
71	2agpg140	pg140	2agpg140___pg140	Solibacillus_silvestris
72	2agpg140	ppi	2agpg140___ppi	Solibacillus_silvestris
73	2agpg141	amp	2agpg141___amp	Solibacillus_silvestris
74	2agpg141	pg141	2agpg141___pg141	Solibacillus_silvestris
75	2agpg141	ppi	2agpg141___ppi	Solibacillus_silvestris
76	2agpg160	amp	2agpg160___amp	Solibacillus_silvestris
