substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Sphaerobacter_thermophilus
2	10fthf	thf	10fthf___thf	Sphaerobacter_thermophilus
3	12dgr120	adp	12dgr120___adp	Sphaerobacter_thermophilus
4	12dgr120	h	12dgr120___h	Sphaerobacter_thermophilus
5	12dgr120	pa120	12dgr120___pa120	Sphaerobacter_thermophilus
6	12dgr140	adp	12dgr140___adp	Sphaerobacter_thermophilus
7	12dgr140	h	12dgr140___h	Sphaerobacter_thermophilus
8	12dgr140	pa140	12dgr140___pa140	Sphaerobacter_thermophilus
9	12dgr141	adp	12dgr141___adp	Sphaerobacter_thermophilus
10	12dgr141	h	12dgr141___h	Sphaerobacter_thermophilus
11	12dgr141	pa141	12dgr141___pa141	Sphaerobacter_thermophilus
12	12dgr160	adp	12dgr160___adp	Sphaerobacter_thermophilus
13	12dgr160	h	12dgr160___h	Sphaerobacter_thermophilus
14	12dgr160	pa160	12dgr160___pa160	Sphaerobacter_thermophilus
15	12dgr161	adp	12dgr161___adp	Sphaerobacter_thermophilus
16	12dgr161	h	12dgr161___h	Sphaerobacter_thermophilus
17	12dgr161	pa161	12dgr161___pa161	Sphaerobacter_thermophilus
18	12dgr180	adp	12dgr180___adp	Sphaerobacter_thermophilus
19	12dgr180	h	12dgr180___h	Sphaerobacter_thermophilus
20	12dgr180	pa180	12dgr180___pa180	Sphaerobacter_thermophilus
21	12dgr181	adp	12dgr181___adp	Sphaerobacter_thermophilus
22	12dgr181	h	12dgr181___h	Sphaerobacter_thermophilus
23	12dgr181	pa181	12dgr181___pa181	Sphaerobacter_thermophilus
24	12ppd__S	h	12ppd__S___h	Sphaerobacter_thermophilus
25	12ppd__S	lald__L	12ppd__S___lald__L	Sphaerobacter_thermophilus
26	12ppd__S	nadh	12ppd__S___nadh	Sphaerobacter_thermophilus
27	13dpg	3pg	13dpg___3pg	Sphaerobacter_thermophilus
28	13dpg	atp	13dpg___atp	Sphaerobacter_thermophilus
29	1ddecg3p	ACP	1ddecg3p___ACP	Sphaerobacter_thermophilus
30	1ddecg3p	pa120	1ddecg3p___pa120	Sphaerobacter_thermophilus
31	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Sphaerobacter_thermophilus
32	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Sphaerobacter_thermophilus
33	1hdecg3p	ACP	1hdecg3p___ACP	Sphaerobacter_thermophilus
34	1hdecg3p	pa160	1hdecg3p___pa160	Sphaerobacter_thermophilus
35	1odec11eg3p	ACP	1odec11eg3p___ACP	Sphaerobacter_thermophilus
36	1odec11eg3p	pa181	1odec11eg3p___pa181	Sphaerobacter_thermophilus
37	1odecg3p	ACP	1odecg3p___ACP	Sphaerobacter_thermophilus
38	1odecg3p	pa180	1odecg3p___pa180	Sphaerobacter_thermophilus
39	1pyr5c	nad	1pyr5c___nad	Sphaerobacter_thermophilus
40	1pyr5c	nadp	1pyr5c___nadp	Sphaerobacter_thermophilus
41	1pyr5c	pro__L	1pyr5c___pro__L	Sphaerobacter_thermophilus
42	1tdecg3p	ACP	1tdecg3p___ACP	Sphaerobacter_thermophilus
43	1tdecg3p	pa140	1tdecg3p___pa140	Sphaerobacter_thermophilus
44	23dhdp	thdp	23dhdp___thdp	Sphaerobacter_thermophilus
45	23dhmb	alac__S	23dhmb___alac__S	Sphaerobacter_thermophilus
46	23dhmb	h	23dhmb___h	Sphaerobacter_thermophilus
47	23dhmb	nadph	23dhmb___nadph	Sphaerobacter_thermophilus
48	23dhmp	3mop	23dhmp___3mop	Sphaerobacter_thermophilus
49	23dhmp	h2o	23dhmp___h2o	Sphaerobacter_thermophilus
50	25aics	aicar	25aics___aicar	Sphaerobacter_thermophilus
51	25aics	fum	25aics___fum	Sphaerobacter_thermophilus
52	25dhpp	5apru	25dhpp___5apru	Sphaerobacter_thermophilus
53	25dhpp	nh4	25dhpp___nh4	Sphaerobacter_thermophilus
54	26dap_	adp	26dap____adp	Sphaerobacter_thermophilus
55	26dap_	co2	26dap____co2	Sphaerobacter_thermophilus
56	26dap_	h	26dap____h	Sphaerobacter_thermophilus
57	26dap_	lys__L	26dap____lys__L	Sphaerobacter_thermophilus
58	26dap_	pi	26dap____pi	Sphaerobacter_thermophilus
59	26dap_	ugmd	26dap____ugmd	Sphaerobacter_thermophilus
60	26dap_LL	26dap_	26dap_LL___26dap_	Sphaerobacter_thermophilus
61	2agpe120	amp	2agpe120___amp	Sphaerobacter_thermophilus
62	2agpe120	pe120	2agpe120___pe120	Sphaerobacter_thermophilus
63	2agpe120	ppi	2agpe120___ppi	Sphaerobacter_thermophilus
64	2agpe140	amp	2agpe140___amp	Sphaerobacter_thermophilus
65	2agpe140	pe140	2agpe140___pe140	Sphaerobacter_thermophilus
66	2agpe140	ppi	2agpe140___ppi	Sphaerobacter_thermophilus
67	2agpe141	amp	2agpe141___amp	Sphaerobacter_thermophilus
68	2agpe141	pe141	2agpe141___pe141	Sphaerobacter_thermophilus
69	2agpe141	ppi	2agpe141___ppi	Sphaerobacter_thermophilus
70	2agpe160	amp	2agpe160___amp	Sphaerobacter_thermophilus
71	2agpe160	pe160	2agpe160___pe160	Sphaerobacter_thermophilus
72	2agpe160	ppi	2agpe160___ppi	Sphaerobacter_thermophilus
73	2agpe180	amp	2agpe180___amp	Sphaerobacter_thermophilus
74	2agpe180	pe180	2agpe180___pe180	Sphaerobacter_thermophilus
75	2agpe180	ppi	2agpe180___ppi	Sphaerobacter_thermophilus
76	2agpe181	g3pe	2agpe181___g3pe	Sphaerobacter_thermophilus
77	2agpe181	h	2agpe181___h	Sphaerobacter_thermophilus
78	2agpe181	ocdcea	2agpe181___ocdcea	Sphaerobacter_thermophilus
79	2agpg120	amp	2agpg120___amp	Sphaerobacter_thermophilus
80	2agpg120	ddca	2agpg120___ddca	Sphaerobacter_thermophilus
81	2agpg120	g3pg	2agpg120___g3pg	Sphaerobacter_thermophilus
82	2agpg120	h	2agpg120___h	Sphaerobacter_thermophilus
83	2agpg120	pg120	2agpg120___pg120	Sphaerobacter_thermophilus
84	2agpg120	ppi	2agpg120___ppi	Sphaerobacter_thermophilus
85	2agpg140	amp	2agpg140___amp	Sphaerobacter_thermophilus
86	2agpg140	g3pg	2agpg140___g3pg	Sphaerobacter_thermophilus
87	2agpg140	h	2agpg140___h	Sphaerobacter_thermophilus
88	2agpg140	pg140	2agpg140___pg140	Sphaerobacter_thermophilus
89	2agpg140	ppi	2agpg140___ppi	Sphaerobacter_thermophilus
90	2agpg140	ttdca	2agpg140___ttdca	Sphaerobacter_thermophilus
