substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Staphylococcus_epidermidis
2	10fthf	thf	10fthf___thf	Staphylococcus_epidermidis
3	12ppd__S	h	12ppd__S___h	Staphylococcus_epidermidis
4	12ppd__S	lald__L	12ppd__S___lald__L	Staphylococcus_epidermidis
5	12ppd__S	nadh	12ppd__S___nadh	Staphylococcus_epidermidis
6	13dpg	3pg	13dpg___3pg	Staphylococcus_epidermidis
7	13dpg	atp	13dpg___atp	Staphylococcus_epidermidis
8	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Staphylococcus_epidermidis
9	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Staphylococcus_epidermidis
10	1hdecg3p	ACP	1hdecg3p___ACP	Staphylococcus_epidermidis
11	1hdecg3p	pa160	1hdecg3p___pa160	Staphylococcus_epidermidis
12	1odec11eg3p	ACP	1odec11eg3p___ACP	Staphylococcus_epidermidis
13	1odec11eg3p	pa181	1odec11eg3p___pa181	Staphylococcus_epidermidis
14	1odecg3p	ACP	1odecg3p___ACP	Staphylococcus_epidermidis
15	1odecg3p	pa180	1odecg3p___pa180	Staphylococcus_epidermidis
16	1pyr5c	nadp	1pyr5c___nadp	Staphylococcus_epidermidis
17	1pyr5c	pro__L	1pyr5c___pro__L	Staphylococcus_epidermidis
18	23dhdp	nadp	23dhdp___nadp	Staphylococcus_epidermidis
19	23dhdp	thdp	23dhdp___thdp	Staphylococcus_epidermidis
20	23dhmp	3mop	23dhmp___3mop	Staphylococcus_epidermidis
21	23dhmp	h2o	23dhmp___h2o	Staphylococcus_epidermidis
22	25aics	aicar	25aics___aicar	Staphylococcus_epidermidis
23	25aics	fum	25aics___fum	Staphylococcus_epidermidis
24	25dhpp	5apru	25dhpp___5apru	Staphylococcus_epidermidis
25	25dhpp	nh4	25dhpp___nh4	Staphylococcus_epidermidis
26	26dap_	adp	26dap____adp	Staphylococcus_epidermidis
27	26dap_	co2	26dap____co2	Staphylococcus_epidermidis
28	26dap_	h	26dap____h	Staphylococcus_epidermidis
29	26dap_	lys__L	26dap____lys__L	Staphylococcus_epidermidis
