substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Streptacidiphilus_albus
2	10fthf	thf	10fthf___thf	Streptacidiphilus_albus
3	12dgr120	adp	12dgr120___adp	Streptacidiphilus_albus
4	12dgr120	h	12dgr120___h	Streptacidiphilus_albus
5	12dgr120	pa120	12dgr120___pa120	Streptacidiphilus_albus
6	12dgr140	adp	12dgr140___adp	Streptacidiphilus_albus
7	12dgr140	h	12dgr140___h	Streptacidiphilus_albus
8	12dgr140	pa140	12dgr140___pa140	Streptacidiphilus_albus
9	12dgr141	adp	12dgr141___adp	Streptacidiphilus_albus
10	12dgr141	h	12dgr141___h	Streptacidiphilus_albus
11	12dgr141	pa141	12dgr141___pa141	Streptacidiphilus_albus
12	12dgr160	adp	12dgr160___adp	Streptacidiphilus_albus
13	12dgr160	h	12dgr160___h	Streptacidiphilus_albus
14	12dgr160	pa160	12dgr160___pa160	Streptacidiphilus_albus
15	12dgr161	adp	12dgr161___adp	Streptacidiphilus_albus
16	12dgr161	h	12dgr161___h	Streptacidiphilus_albus
17	12dgr161	pa161	12dgr161___pa161	Streptacidiphilus_albus
18	12dgr180	adp	12dgr180___adp	Streptacidiphilus_albus
19	12dgr180	h	12dgr180___h	Streptacidiphilus_albus
20	12dgr180	pa180	12dgr180___pa180	Streptacidiphilus_albus
21	12dgr181	adp	12dgr181___adp	Streptacidiphilus_albus
22	12dgr181	h	12dgr181___h	Streptacidiphilus_albus
23	12dgr181	pa181	12dgr181___pa181	Streptacidiphilus_albus
24	12ppd__S	h	12ppd__S___h	Streptacidiphilus_albus
25	12ppd__S	lald__L	12ppd__S___lald__L	Streptacidiphilus_albus
26	12ppd__S	nadh	12ppd__S___nadh	Streptacidiphilus_albus
27	13dpg	3pg	13dpg___3pg	Streptacidiphilus_albus
28	13dpg	atp	13dpg___atp	Streptacidiphilus_albus
29	1ddecg3p	ACP	1ddecg3p___ACP	Streptacidiphilus_albus
30	1ddecg3p	pa120	1ddecg3p___pa120	Streptacidiphilus_albus
31	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Streptacidiphilus_albus
32	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Streptacidiphilus_albus
33	1hdecg3p	ACP	1hdecg3p___ACP	Streptacidiphilus_albus
34	1hdecg3p	pa160	1hdecg3p___pa160	Streptacidiphilus_albus
35	1odec11eg3p	ACP	1odec11eg3p___ACP	Streptacidiphilus_albus
36	1odec11eg3p	pa181	1odec11eg3p___pa181	Streptacidiphilus_albus
37	1odecg3p	ACP	1odecg3p___ACP	Streptacidiphilus_albus
38	1odecg3p	pa180	1odecg3p___pa180	Streptacidiphilus_albus
39	1pyr5c	nad	1pyr5c___nad	Streptacidiphilus_albus
40	1pyr5c	nadp	1pyr5c___nadp	Streptacidiphilus_albus
41	1pyr5c	pro__L	1pyr5c___pro__L	Streptacidiphilus_albus
