substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Sulfobacillus_thermosulfidooxidans
2	10fthf	thf	10fthf___thf	Sulfobacillus_thermosulfidooxidans
3	12dgr120	adp	12dgr120___adp	Sulfobacillus_thermosulfidooxidans
4	12dgr120	h	12dgr120___h	Sulfobacillus_thermosulfidooxidans
5	12dgr120	pa120	12dgr120___pa120	Sulfobacillus_thermosulfidooxidans
6	12dgr140	adp	12dgr140___adp	Sulfobacillus_thermosulfidooxidans
7	12dgr140	h	12dgr140___h	Sulfobacillus_thermosulfidooxidans
8	12dgr140	pa140	12dgr140___pa140	Sulfobacillus_thermosulfidooxidans
9	12dgr141	adp	12dgr141___adp	Sulfobacillus_thermosulfidooxidans
10	12dgr141	h	12dgr141___h	Sulfobacillus_thermosulfidooxidans
11	12dgr141	pa141	12dgr141___pa141	Sulfobacillus_thermosulfidooxidans
12	12dgr160	adp	12dgr160___adp	Sulfobacillus_thermosulfidooxidans
13	12dgr160	h	12dgr160___h	Sulfobacillus_thermosulfidooxidans
14	12dgr160	pa160	12dgr160___pa160	Sulfobacillus_thermosulfidooxidans
15	12dgr161	adp	12dgr161___adp	Sulfobacillus_thermosulfidooxidans
16	12dgr161	h	12dgr161___h	Sulfobacillus_thermosulfidooxidans
17	12dgr161	pa161	12dgr161___pa161	Sulfobacillus_thermosulfidooxidans
18	12dgr180	adp	12dgr180___adp	Sulfobacillus_thermosulfidooxidans
19	12dgr180	h	12dgr180___h	Sulfobacillus_thermosulfidooxidans
20	12dgr180	pa180	12dgr180___pa180	Sulfobacillus_thermosulfidooxidans
21	12dgr181	adp	12dgr181___adp	Sulfobacillus_thermosulfidooxidans
22	12dgr181	h	12dgr181___h	Sulfobacillus_thermosulfidooxidans
23	12dgr181	pa181	12dgr181___pa181	Sulfobacillus_thermosulfidooxidans
24	13dpg	3pg	13dpg___3pg	Sulfobacillus_thermosulfidooxidans
25	13dpg	atp	13dpg___atp	Sulfobacillus_thermosulfidooxidans
26	1ddecg3p	ACP	1ddecg3p___ACP	Sulfobacillus_thermosulfidooxidans
27	1ddecg3p	pa120	1ddecg3p___pa120	Sulfobacillus_thermosulfidooxidans
28	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Sulfobacillus_thermosulfidooxidans
29	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Sulfobacillus_thermosulfidooxidans
30	1hdecg3p	ACP	1hdecg3p___ACP	Sulfobacillus_thermosulfidooxidans
31	1hdecg3p	pa160	1hdecg3p___pa160	Sulfobacillus_thermosulfidooxidans
32	1odec11eg3p	ACP	1odec11eg3p___ACP	Sulfobacillus_thermosulfidooxidans
33	1odec11eg3p	pa181	1odec11eg3p___pa181	Sulfobacillus_thermosulfidooxidans
34	1odecg3p	ACP	1odecg3p___ACP	Sulfobacillus_thermosulfidooxidans
35	1odecg3p	pa180	1odecg3p___pa180	Sulfobacillus_thermosulfidooxidans
36	1pyr5c	nadp	1pyr5c___nadp	Sulfobacillus_thermosulfidooxidans
37	1pyr5c	pro__L	1pyr5c___pro__L	Sulfobacillus_thermosulfidooxidans
38	1tdecg3p	ACP	1tdecg3p___ACP	Sulfobacillus_thermosulfidooxidans
39	1tdecg3p	pa140	1tdecg3p___pa140	Sulfobacillus_thermosulfidooxidans
40	23dhdp	nadp	23dhdp___nadp	Sulfobacillus_thermosulfidooxidans
41	23dhdp	thdp	23dhdp___thdp	Sulfobacillus_thermosulfidooxidans
42	23dhmp	3mop	23dhmp___3mop	Sulfobacillus_thermosulfidooxidans
43	23dhmp	h2o	23dhmp___h2o	Sulfobacillus_thermosulfidooxidans
44	25aics	aicar	25aics___aicar	Sulfobacillus_thermosulfidooxidans
45	25aics	fum	25aics___fum	Sulfobacillus_thermosulfidooxidans
46	26dap_	adp	26dap____adp	Sulfobacillus_thermosulfidooxidans
47	26dap_	co2	26dap____co2	Sulfobacillus_thermosulfidooxidans
48	26dap_	h	26dap____h	Sulfobacillus_thermosulfidooxidans
49	26dap_	lys__L	26dap____lys__L	Sulfobacillus_thermosulfidooxidans
50	26dap_	pi	26dap____pi	Sulfobacillus_thermosulfidooxidans
51	26dap_	ugmd	26dap____ugmd	Sulfobacillus_thermosulfidooxidans
52	26dap_LL	26dap_	26dap_LL___26dap_	Sulfobacillus_thermosulfidooxidans
53	2agpe120	amp	2agpe120___amp	Sulfobacillus_thermosulfidooxidans
54	2agpe120	pe120	2agpe120___pe120	Sulfobacillus_thermosulfidooxidans
55	2agpe120	ppi	2agpe120___ppi	Sulfobacillus_thermosulfidooxidans
56	2agpe140	amp	2agpe140___amp	Sulfobacillus_thermosulfidooxidans
57	2agpe140	pe140	2agpe140___pe140	Sulfobacillus_thermosulfidooxidans
58	2agpe140	ppi	2agpe140___ppi	Sulfobacillus_thermosulfidooxidans
59	2agpe141	amp	2agpe141___amp	Sulfobacillus_thermosulfidooxidans
60	2agpe141	pe141	2agpe141___pe141	Sulfobacillus_thermosulfidooxidans
61	2agpe141	ppi	2agpe141___ppi	Sulfobacillus_thermosulfidooxidans
62	2agpe181	amp	2agpe181___amp	Sulfobacillus_thermosulfidooxidans
63	2agpe181	pe181	2agpe181___pe181	Sulfobacillus_thermosulfidooxidans
64	2agpe181	ppi	2agpe181___ppi	Sulfobacillus_thermosulfidooxidans
65	2agpg120	amp	2agpg120___amp	Sulfobacillus_thermosulfidooxidans
66	2agpg120	pg120	2agpg120___pg120	Sulfobacillus_thermosulfidooxidans
67	2agpg120	ppi	2agpg120___ppi	Sulfobacillus_thermosulfidooxidans
68	2agpg140	amp	2agpg140___amp	Sulfobacillus_thermosulfidooxidans
69	2agpg140	pg140	2agpg140___pg140	Sulfobacillus_thermosulfidooxidans
70	2agpg140	ppi	2agpg140___ppi	Sulfobacillus_thermosulfidooxidans
71	2agpg141	amp	2agpg141___amp	Sulfobacillus_thermosulfidooxidans
72	2agpg141	pg141	2agpg141___pg141	Sulfobacillus_thermosulfidooxidans
73	2agpg141	ppi	2agpg141___ppi	Sulfobacillus_thermosulfidooxidans
74	2agpg160	amp	2agpg160___amp	Sulfobacillus_thermosulfidooxidans
