substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Sulfuritortus_calidifontis
2	10fthf	thf	10fthf___thf	Sulfuritortus_calidifontis
3	12dgr120	adp	12dgr120___adp	Sulfuritortus_calidifontis
4	12dgr120	h	12dgr120___h	Sulfuritortus_calidifontis
5	12dgr120	pa120	12dgr120___pa120	Sulfuritortus_calidifontis
6	12dgr140	adp	12dgr140___adp	Sulfuritortus_calidifontis
7	12dgr140	h	12dgr140___h	Sulfuritortus_calidifontis
8	12dgr140	pa140	12dgr140___pa140	Sulfuritortus_calidifontis
9	12dgr141	adp	12dgr141___adp	Sulfuritortus_calidifontis
10	12dgr141	h	12dgr141___h	Sulfuritortus_calidifontis
11	12dgr141	pa141	12dgr141___pa141	Sulfuritortus_calidifontis
12	12dgr160	adp	12dgr160___adp	Sulfuritortus_calidifontis
13	12dgr160	h	12dgr160___h	Sulfuritortus_calidifontis
14	12dgr160	pa160	12dgr160___pa160	Sulfuritortus_calidifontis
15	12dgr161	adp	12dgr161___adp	Sulfuritortus_calidifontis
16	12dgr161	h	12dgr161___h	Sulfuritortus_calidifontis
17	12dgr161	pa161	12dgr161___pa161	Sulfuritortus_calidifontis
18	12dgr180	adp	12dgr180___adp	Sulfuritortus_calidifontis
19	12dgr180	h	12dgr180___h	Sulfuritortus_calidifontis
20	12dgr180	pa180	12dgr180___pa180	Sulfuritortus_calidifontis
21	12dgr181	adp	12dgr181___adp	Sulfuritortus_calidifontis
22	12dgr181	h	12dgr181___h	Sulfuritortus_calidifontis
23	12dgr181	pa181	12dgr181___pa181	Sulfuritortus_calidifontis
24	13dpg	3pg	13dpg___3pg	Sulfuritortus_calidifontis
25	13dpg	atp	13dpg___atp	Sulfuritortus_calidifontis
26	1ddecg3p	ACP	1ddecg3p___ACP	Sulfuritortus_calidifontis
27	1ddecg3p	pa120	1ddecg3p___pa120	Sulfuritortus_calidifontis
28	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Sulfuritortus_calidifontis
29	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Sulfuritortus_calidifontis
30	1hdecg3p	ACP	1hdecg3p___ACP	Sulfuritortus_calidifontis
31	1hdecg3p	pa160	1hdecg3p___pa160	Sulfuritortus_calidifontis
32	1odec11eg3p	ACP	1odec11eg3p___ACP	Sulfuritortus_calidifontis
33	1odec11eg3p	pa181	1odec11eg3p___pa181	Sulfuritortus_calidifontis
34	1odecg3p	ACP	1odecg3p___ACP	Sulfuritortus_calidifontis
35	1odecg3p	pa180	1odecg3p___pa180	Sulfuritortus_calidifontis
36	1pyr5c	nadp	1pyr5c___nadp	Sulfuritortus_calidifontis
37	1pyr5c	pro__L	1pyr5c___pro__L	Sulfuritortus_calidifontis
38	1tdecg3p	ACP	1tdecg3p___ACP	Sulfuritortus_calidifontis
39	1tdecg3p	pa140	1tdecg3p___pa140	Sulfuritortus_calidifontis
40	23dhdp	nadp	23dhdp___nadp	Sulfuritortus_calidifontis
41	23dhdp	thdp	23dhdp___thdp	Sulfuritortus_calidifontis
42	23dhmp	3mop	23dhmp___3mop	Sulfuritortus_calidifontis
43	23dhmp	h2o	23dhmp___h2o	Sulfuritortus_calidifontis
44	25aics	aicar	25aics___aicar	Sulfuritortus_calidifontis
45	25aics	fum	25aics___fum	Sulfuritortus_calidifontis
46	25dhpp	5apru	25dhpp___5apru	Sulfuritortus_calidifontis
47	25dhpp	nh4	25dhpp___nh4	Sulfuritortus_calidifontis
48	26dap_	adp	26dap____adp	Sulfuritortus_calidifontis
49	26dap_	co2	26dap____co2	Sulfuritortus_calidifontis
50	26dap_	h	26dap____h	Sulfuritortus_calidifontis
51	26dap_	lys__L	26dap____lys__L	Sulfuritortus_calidifontis
52	26dap_	pi	26dap____pi	Sulfuritortus_calidifontis
53	26dap_	ugmd	26dap____ugmd	Sulfuritortus_calidifontis
54	26dap_LL	26dap_	26dap_LL___26dap_	Sulfuritortus_calidifontis
55	2agpe120	amp	2agpe120___amp	Sulfuritortus_calidifontis
56	2agpe120	pe120	2agpe120___pe120	Sulfuritortus_calidifontis
57	2agpe120	ppi	2agpe120___ppi	Sulfuritortus_calidifontis
58	2agpe140	amp	2agpe140___amp	Sulfuritortus_calidifontis
59	2agpe140	pe140	2agpe140___pe140	Sulfuritortus_calidifontis
60	2agpe140	ppi	2agpe140___ppi	Sulfuritortus_calidifontis
61	2agpe141	amp	2agpe141___amp	Sulfuritortus_calidifontis
62	2agpe141	pe141	2agpe141___pe141	Sulfuritortus_calidifontis
63	2agpe141	ppi	2agpe141___ppi	Sulfuritortus_calidifontis
64	2agpe160	amp	2agpe160___amp	Sulfuritortus_calidifontis
65	2agpe160	pe160	2agpe160___pe160	Sulfuritortus_calidifontis
66	2agpe160	ppi	2agpe160___ppi	Sulfuritortus_calidifontis
67	2agpe180	amp	2agpe180___amp	Sulfuritortus_calidifontis
68	2agpe180	pe180	2agpe180___pe180	Sulfuritortus_calidifontis
69	2agpe180	ppi	2agpe180___ppi	Sulfuritortus_calidifontis
70	2agpe181	amp	2agpe181___amp	Sulfuritortus_calidifontis
71	2agpe181	pe181	2agpe181___pe181	Sulfuritortus_calidifontis
72	2agpe181	ppi	2agpe181___ppi	Sulfuritortus_calidifontis
73	2agpg120	amp	2agpg120___amp	Sulfuritortus_calidifontis
74	2agpg120	pg120	2agpg120___pg120	Sulfuritortus_calidifontis
75	2agpg120	ppi	2agpg120___ppi	Sulfuritortus_calidifontis
76	2agpg140	amp	2agpg140___amp	Sulfuritortus_calidifontis
77	2agpg140	pg140	2agpg140___pg140	Sulfuritortus_calidifontis
78	2agpg140	ppi	2agpg140___ppi	Sulfuritortus_calidifontis
79	2agpg141	amp	2agpg141___amp	Sulfuritortus_calidifontis
80	2agpg141	pg141	2agpg141___pg141	Sulfuritortus_calidifontis
81	2agpg141	ppi	2agpg141___ppi	Sulfuritortus_calidifontis
82	2agpg160	amp	2agpg160___amp	Sulfuritortus_calidifontis
83	2agpg160	pg160	2agpg160___pg160	Sulfuritortus_calidifontis
84	2agpg160	ppi	2agpg160___ppi	Sulfuritortus_calidifontis
85	2agpg161	amp	2agpg161___amp	Sulfuritortus_calidifontis
86	2agpg161	pg161	2agpg161___pg161	Sulfuritortus_calidifontis
87	2agpg161	ppi	2agpg161___ppi	Sulfuritortus_calidifontis
88	2agpg180	amp	2agpg180___amp	Sulfuritortus_calidifontis
89	2agpg180	pg180	2agpg180___pg180	Sulfuritortus_calidifontis
90	2agpg180	ppi	2agpg180___ppi	Sulfuritortus_calidifontis
91	2agpg181	amp	2agpg181___amp	Sulfuritortus_calidifontis
92	2agpg181	pg181	2agpg181___pg181	Sulfuritortus_calidifontis
93	2agpg181	ppi	2agpg181___ppi	Sulfuritortus_calidifontis
94	2ahbut	23dhmp	2ahbut___23dhmp	Sulfuritortus_calidifontis
95	2ahbut	nadp	2ahbut___nadp	Sulfuritortus_calidifontis
96	2ahhmp	dhpt	2ahhmp___dhpt	Sulfuritortus_calidifontis
97	2ahhmp	h2o	2ahhmp___h2o	Sulfuritortus_calidifontis
98	2aobut	athr__L	2aobut___athr__L	Sulfuritortus_calidifontis
99	2aobut	nadp	2aobut___nadp	Sulfuritortus_calidifontis
100	2cpr5p	3ig3p	2cpr5p___3ig3p	Sulfuritortus_calidifontis
101	2cpr5p	co2	2cpr5p___co2	Sulfuritortus_calidifontis
102	2cpr5p	h2o	2cpr5p___h2o	Sulfuritortus_calidifontis
103	2dda7p	3dhq	2dda7p___3dhq	Sulfuritortus_calidifontis
104	2dda7p	pi	2dda7p___pi	Sulfuritortus_calidifontis
