substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Syntrophobacter_fumaroxidans
2	10fthf	thf	10fthf___thf	Syntrophobacter_fumaroxidans
3	12dgr120	adp	12dgr120___adp	Syntrophobacter_fumaroxidans
4	12dgr120	h	12dgr120___h	Syntrophobacter_fumaroxidans
5	12dgr120	pa120	12dgr120___pa120	Syntrophobacter_fumaroxidans
6	12dgr140	adp	12dgr140___adp	Syntrophobacter_fumaroxidans
7	12dgr140	h	12dgr140___h	Syntrophobacter_fumaroxidans
8	12dgr140	pa140	12dgr140___pa140	Syntrophobacter_fumaroxidans
9	12dgr141	adp	12dgr141___adp	Syntrophobacter_fumaroxidans
10	12dgr141	h	12dgr141___h	Syntrophobacter_fumaroxidans
11	12dgr141	pa141	12dgr141___pa141	Syntrophobacter_fumaroxidans
12	12dgr160	adp	12dgr160___adp	Syntrophobacter_fumaroxidans
13	12dgr160	h	12dgr160___h	Syntrophobacter_fumaroxidans
14	12dgr160	pa160	12dgr160___pa160	Syntrophobacter_fumaroxidans
15	12dgr161	adp	12dgr161___adp	Syntrophobacter_fumaroxidans
16	12dgr161	h	12dgr161___h	Syntrophobacter_fumaroxidans
17	12dgr161	pa161	12dgr161___pa161	Syntrophobacter_fumaroxidans
18	12dgr180	adp	12dgr180___adp	Syntrophobacter_fumaroxidans
19	12dgr180	h	12dgr180___h	Syntrophobacter_fumaroxidans
20	12dgr180	pa180	12dgr180___pa180	Syntrophobacter_fumaroxidans
21	12dgr181	adp	12dgr181___adp	Syntrophobacter_fumaroxidans
22	12dgr181	h	12dgr181___h	Syntrophobacter_fumaroxidans
23	12dgr181	pa181	12dgr181___pa181	Syntrophobacter_fumaroxidans
24	13dpg	3pg	13dpg___3pg	Syntrophobacter_fumaroxidans
25	13dpg	atp	13dpg___atp	Syntrophobacter_fumaroxidans
26	1ddecg3p	ACP	1ddecg3p___ACP	Syntrophobacter_fumaroxidans
27	1ddecg3p	pa120	1ddecg3p___pa120	Syntrophobacter_fumaroxidans
