substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Syntrophobotulus_glycolicus
2	10fthf	thf	10fthf___thf	Syntrophobotulus_glycolicus
3	12dgr120	adp	12dgr120___adp	Syntrophobotulus_glycolicus
4	12dgr120	h	12dgr120___h	Syntrophobotulus_glycolicus
5	12dgr120	pa120	12dgr120___pa120	Syntrophobotulus_glycolicus
6	12dgr140	adp	12dgr140___adp	Syntrophobotulus_glycolicus
7	12dgr140	h	12dgr140___h	Syntrophobotulus_glycolicus
8	12dgr140	pa140	12dgr140___pa140	Syntrophobotulus_glycolicus
9	12dgr141	adp	12dgr141___adp	Syntrophobotulus_glycolicus
10	12dgr141	h	12dgr141___h	Syntrophobotulus_glycolicus
11	12dgr141	pa141	12dgr141___pa141	Syntrophobotulus_glycolicus
12	12dgr160	adp	12dgr160___adp	Syntrophobotulus_glycolicus
13	12dgr160	h	12dgr160___h	Syntrophobotulus_glycolicus
14	12dgr160	pa160	12dgr160___pa160	Syntrophobotulus_glycolicus
15	12dgr161	adp	12dgr161___adp	Syntrophobotulus_glycolicus
16	12dgr161	h	12dgr161___h	Syntrophobotulus_glycolicus
17	12dgr161	pa161	12dgr161___pa161	Syntrophobotulus_glycolicus
18	12dgr180	adp	12dgr180___adp	Syntrophobotulus_glycolicus
19	12dgr180	h	12dgr180___h	Syntrophobotulus_glycolicus
20	12dgr180	pa180	12dgr180___pa180	Syntrophobotulus_glycolicus
21	12dgr181	adp	12dgr181___adp	Syntrophobotulus_glycolicus
22	12dgr181	h	12dgr181___h	Syntrophobotulus_glycolicus
23	12dgr181	pa181	12dgr181___pa181	Syntrophobotulus_glycolicus
24	13dpg	3pg	13dpg___3pg	Syntrophobotulus_glycolicus
25	13dpg	atp	13dpg___atp	Syntrophobotulus_glycolicus
26	1ddecg3p	ACP	1ddecg3p___ACP	Syntrophobotulus_glycolicus
27	1ddecg3p	pa120	1ddecg3p___pa120	Syntrophobotulus_glycolicus
28	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Syntrophobotulus_glycolicus
29	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Syntrophobotulus_glycolicus
30	1hdecg3p	ACP	1hdecg3p___ACP	Syntrophobotulus_glycolicus
31	1hdecg3p	pa160	1hdecg3p___pa160	Syntrophobotulus_glycolicus
32	1odec11eg3p	ACP	1odec11eg3p___ACP	Syntrophobotulus_glycolicus
33	1odec11eg3p	pa181	1odec11eg3p___pa181	Syntrophobotulus_glycolicus
34	1odecg3p	ACP	1odecg3p___ACP	Syntrophobotulus_glycolicus
35	1odecg3p	pa180	1odecg3p___pa180	Syntrophobotulus_glycolicus
36	1pyr5c	nad	1pyr5c___nad	Syntrophobotulus_glycolicus
37	1pyr5c	nadp	1pyr5c___nadp	Syntrophobotulus_glycolicus
38	1pyr5c	pro__L	1pyr5c___pro__L	Syntrophobotulus_glycolicus
39	1tdecg3p	ACP	1tdecg3p___ACP	Syntrophobotulus_glycolicus
40	1tdecg3p	pa140	1tdecg3p___pa140	Syntrophobotulus_glycolicus
41	23dhdp	nadp	23dhdp___nadp	Syntrophobotulus_glycolicus
42	23dhdp	thdp	23dhdp___thdp	Syntrophobotulus_glycolicus
43	23dhmb	alac__S	23dhmb___alac__S	Syntrophobotulus_glycolicus
