substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Tanticharoenia_sakaeratensis
2	10fthf	thf	10fthf___thf	Tanticharoenia_sakaeratensis
3	12dgr120	adp	12dgr120___adp	Tanticharoenia_sakaeratensis
4	12dgr120	h	12dgr120___h	Tanticharoenia_sakaeratensis
5	12dgr120	pa120	12dgr120___pa120	Tanticharoenia_sakaeratensis
6	12dgr140	adp	12dgr140___adp	Tanticharoenia_sakaeratensis
7	12dgr140	h	12dgr140___h	Tanticharoenia_sakaeratensis
8	12dgr140	pa140	12dgr140___pa140	Tanticharoenia_sakaeratensis
9	12dgr141	adp	12dgr141___adp	Tanticharoenia_sakaeratensis
10	12dgr141	h	12dgr141___h	Tanticharoenia_sakaeratensis
11	12dgr141	pa141	12dgr141___pa141	Tanticharoenia_sakaeratensis
12	12dgr160	adp	12dgr160___adp	Tanticharoenia_sakaeratensis
13	12dgr160	h	12dgr160___h	Tanticharoenia_sakaeratensis
14	12dgr160	pa160	12dgr160___pa160	Tanticharoenia_sakaeratensis
15	12dgr161	adp	12dgr161___adp	Tanticharoenia_sakaeratensis
16	12dgr161	h	12dgr161___h	Tanticharoenia_sakaeratensis
17	12dgr161	pa161	12dgr161___pa161	Tanticharoenia_sakaeratensis
18	12dgr180	adp	12dgr180___adp	Tanticharoenia_sakaeratensis
19	12dgr180	h	12dgr180___h	Tanticharoenia_sakaeratensis
20	12dgr180	pa180	12dgr180___pa180	Tanticharoenia_sakaeratensis
21	12dgr181	adp	12dgr181___adp	Tanticharoenia_sakaeratensis
22	12dgr181	h	12dgr181___h	Tanticharoenia_sakaeratensis
23	12dgr181	pa181	12dgr181___pa181	Tanticharoenia_sakaeratensis
24	12ppd__S	h	12ppd__S___h	Tanticharoenia_sakaeratensis
25	12ppd__S	lald__L	12ppd__S___lald__L	Tanticharoenia_sakaeratensis
26	12ppd__S	nadh	12ppd__S___nadh	Tanticharoenia_sakaeratensis
27	13dpg	3pg	13dpg___3pg	Tanticharoenia_sakaeratensis
28	13dpg	atp	13dpg___atp	Tanticharoenia_sakaeratensis
29	14glucan	malthx	14glucan___malthx	Tanticharoenia_sakaeratensis
30	1ddecg3p	ACP	1ddecg3p___ACP	Tanticharoenia_sakaeratensis
31	1ddecg3p	pa120	1ddecg3p___pa120	Tanticharoenia_sakaeratensis
32	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Tanticharoenia_sakaeratensis
33	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Tanticharoenia_sakaeratensis
34	1hdecg3p	ACP	1hdecg3p___ACP	Tanticharoenia_sakaeratensis
35	1hdecg3p	pa160	1hdecg3p___pa160	Tanticharoenia_sakaeratensis
36	1odec11eg3p	ACP	1odec11eg3p___ACP	Tanticharoenia_sakaeratensis
37	1odec11eg3p	pa181	1odec11eg3p___pa181	Tanticharoenia_sakaeratensis
38	1odecg3p	ACP	1odecg3p___ACP	Tanticharoenia_sakaeratensis
39	1odecg3p	pa180	1odecg3p___pa180	Tanticharoenia_sakaeratensis
40	1pyr5c	nadp	1pyr5c___nadp	Tanticharoenia_sakaeratensis
41	1pyr5c	pro__L	1pyr5c___pro__L	Tanticharoenia_sakaeratensis
42	1tdecg3p	ACP	1tdecg3p___ACP	Tanticharoenia_sakaeratensis
43	1tdecg3p	pa140	1tdecg3p___pa140	Tanticharoenia_sakaeratensis
44	23dhdp	nadp	23dhdp___nadp	Tanticharoenia_sakaeratensis
45	23dhdp	thdp	23dhdp___thdp	Tanticharoenia_sakaeratensis
46	23dhmp	3mop	23dhmp___3mop	Tanticharoenia_sakaeratensis
47	23dhmp	h2o	23dhmp___h2o	Tanticharoenia_sakaeratensis
48	25aics	aicar	25aics___aicar	Tanticharoenia_sakaeratensis
49	25aics	fum	25aics___fum	Tanticharoenia_sakaeratensis
50	26dap_	adp	26dap____adp	Tanticharoenia_sakaeratensis
51	26dap_	co2	26dap____co2	Tanticharoenia_sakaeratensis
52	26dap_	h	26dap____h	Tanticharoenia_sakaeratensis
53	26dap_	lys__L	26dap____lys__L	Tanticharoenia_sakaeratensis
54	26dap_	pi	26dap____pi	Tanticharoenia_sakaeratensis
55	26dap_	ugmd	26dap____ugmd	Tanticharoenia_sakaeratensis
56	26dap_LL	26dap_	26dap_LL___26dap_	Tanticharoenia_sakaeratensis
57	2agpe120	amp	2agpe120___amp	Tanticharoenia_sakaeratensis
58	2agpe120	pe120	2agpe120___pe120	Tanticharoenia_sakaeratensis
59	2agpe120	ppi	2agpe120___ppi	Tanticharoenia_sakaeratensis
60	2ahbut	23dhmp	2ahbut___23dhmp	Tanticharoenia_sakaeratensis
61	2ahbut	nadp	2ahbut___nadp	Tanticharoenia_sakaeratensis
62	2ahhmp	dhpt	2ahhmp___dhpt	Tanticharoenia_sakaeratensis
63	2ahhmp	h2o	2ahhmp___h2o	Tanticharoenia_sakaeratensis
64	2amsa	nadp	2amsa___nadp	Tanticharoenia_sakaeratensis
65	2amsa	ser__L	2amsa___ser__L	Tanticharoenia_sakaeratensis
66	2aobut	athr__L	2aobut___athr__L	Tanticharoenia_sakaeratensis
67	2aobut	nadp	2aobut___nadp	Tanticharoenia_sakaeratensis
68	2cpr5p	3ig3p	2cpr5p___3ig3p	Tanticharoenia_sakaeratensis
69	2cpr5p	co2	2cpr5p___co2	Tanticharoenia_sakaeratensis
70	2cpr5p	h2o	2cpr5p___h2o	Tanticharoenia_sakaeratensis
71	2dda7p	3dhq	2dda7p___3dhq	Tanticharoenia_sakaeratensis
72	2dda7p	pi	2dda7p___pi	Tanticharoenia_sakaeratensis
73	2ddg6p	g3p	2ddg6p___g3p	Tanticharoenia_sakaeratensis
74	2ddg6p	pyr	2ddg6p___pyr	Tanticharoenia_sakaeratensis
75	2dhglcn	6p2dhglcn	2dhglcn___6p2dhglcn	Tanticharoenia_sakaeratensis
76	2dhglcn	adp	2dhglcn___adp	Tanticharoenia_sakaeratensis
77	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Tanticharoenia_sakaeratensis
78	2dmmq8	nad	2dmmq8___nad	Tanticharoenia_sakaeratensis
79	2dr5p	acald	2dr5p___acald	Tanticharoenia_sakaeratensis
80	2dr5p	g3p	2dr5p___g3p	Tanticharoenia_sakaeratensis
81	2fe1s	adp	2fe1s___adp	Tanticharoenia_sakaeratensis
