substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Thalassobacillus_devorans
2	10fthf	thf	10fthf___thf	Thalassobacillus_devorans
3	12dgr120	adp	12dgr120___adp	Thalassobacillus_devorans
4	12dgr120	h	12dgr120___h	Thalassobacillus_devorans
5	12dgr120	pa120	12dgr120___pa120	Thalassobacillus_devorans
6	12dgr141	adp	12dgr141___adp	Thalassobacillus_devorans
7	12dgr141	h	12dgr141___h	Thalassobacillus_devorans
8	12dgr141	pa141	12dgr141___pa141	Thalassobacillus_devorans
9	12dgr160	adp	12dgr160___adp	Thalassobacillus_devorans
10	12dgr160	h	12dgr160___h	Thalassobacillus_devorans
11	12dgr160	pa160	12dgr160___pa160	Thalassobacillus_devorans
12	12dgr161	adp	12dgr161___adp	Thalassobacillus_devorans
13	12dgr161	h	12dgr161___h	Thalassobacillus_devorans
14	12dgr161	pa161	12dgr161___pa161	Thalassobacillus_devorans
15	12dgr180	adp	12dgr180___adp	Thalassobacillus_devorans
16	12dgr180	h	12dgr180___h	Thalassobacillus_devorans
17	12dgr180	pa180	12dgr180___pa180	Thalassobacillus_devorans
18	12ppd__S	h	12ppd__S___h	Thalassobacillus_devorans
19	12ppd__S	lald__L	12ppd__S___lald__L	Thalassobacillus_devorans
20	12ppd__S	nadh	12ppd__S___nadh	Thalassobacillus_devorans
21	13dpg	3pg	13dpg___3pg	Thalassobacillus_devorans
22	13dpg	atp	13dpg___atp	Thalassobacillus_devorans
23	1ddecg3p	ACP	1ddecg3p___ACP	Thalassobacillus_devorans
24	1ddecg3p	pa120	1ddecg3p___pa120	Thalassobacillus_devorans
25	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Thalassobacillus_devorans
26	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Thalassobacillus_devorans
27	1hdecg3p	ACP	1hdecg3p___ACP	Thalassobacillus_devorans
28	1hdecg3p	pa160	1hdecg3p___pa160	Thalassobacillus_devorans
29	1odec11eg3p	ACP	1odec11eg3p___ACP	Thalassobacillus_devorans
30	1odec11eg3p	pa181	1odec11eg3p___pa181	Thalassobacillus_devorans
31	1odecg3p	ACP	1odecg3p___ACP	Thalassobacillus_devorans
32	1odecg3p	pa180	1odecg3p___pa180	Thalassobacillus_devorans
33	1pyr5c	nad	1pyr5c___nad	Thalassobacillus_devorans
34	1pyr5c	nadp	1pyr5c___nadp	Thalassobacillus_devorans
35	1pyr5c	pro__L	1pyr5c___pro__L	Thalassobacillus_devorans
36	1tdecg3p	ACP	1tdecg3p___ACP	Thalassobacillus_devorans
37	1tdecg3p	pa140	1tdecg3p___pa140	Thalassobacillus_devorans
38	23dhdp	nadp	23dhdp___nadp	Thalassobacillus_devorans
39	23dhdp	thdp	23dhdp___thdp	Thalassobacillus_devorans
40	23dhmb	alac__S	23dhmb___alac__S	Thalassobacillus_devorans
41	23dhmb	h	23dhmb___h	Thalassobacillus_devorans
42	23dhmb	nadph	23dhmb___nadph	Thalassobacillus_devorans
43	23dhmp	3mop	23dhmp___3mop	Thalassobacillus_devorans
44	23dhmp	h2o	23dhmp___h2o	Thalassobacillus_devorans
45	25aics	aicar	25aics___aicar	Thalassobacillus_devorans
46	25aics	fum	25aics___fum	Thalassobacillus_devorans
47	25dhpp	5apru	25dhpp___5apru	Thalassobacillus_devorans
48	25dhpp	nh4	25dhpp___nh4	Thalassobacillus_devorans
49	26dap_	adp	26dap____adp	Thalassobacillus_devorans
50	26dap_	co2	26dap____co2	Thalassobacillus_devorans
51	26dap_	h	26dap____h	Thalassobacillus_devorans
52	26dap_	lys__L	26dap____lys__L	Thalassobacillus_devorans
53	26dap_	pi	26dap____pi	Thalassobacillus_devorans
54	26dap_	ugmd	26dap____ugmd	Thalassobacillus_devorans
55	26dap_LL	26dap_	26dap_LL___26dap_	Thalassobacillus_devorans
56	26dapime	26dap_LL	26dapime___26dap_LL	Thalassobacillus_devorans
57	26dapime	ac	26dapime___ac	Thalassobacillus_devorans
58	2agpe120	amp	2agpe120___amp	Thalassobacillus_devorans
59	2agpe120	pe120	2agpe120___pe120	Thalassobacillus_devorans
60	2agpe120	ppi	2agpe120___ppi	Thalassobacillus_devorans
61	2agpe140	amp	2agpe140___amp	Thalassobacillus_devorans
62	2agpe140	pe140	2agpe140___pe140	Thalassobacillus_devorans
63	2agpe140	ppi	2agpe140___ppi	Thalassobacillus_devorans
64	2agpe141	amp	2agpe141___amp	Thalassobacillus_devorans
65	2agpe141	pe141	2agpe141___pe141	Thalassobacillus_devorans
66	2agpe141	ppi	2agpe141___ppi	Thalassobacillus_devorans
67	2agpe160	amp	2agpe160___amp	Thalassobacillus_devorans
68	2agpe160	pe160	2agpe160___pe160	Thalassobacillus_devorans
69	2agpe160	ppi	2agpe160___ppi	Thalassobacillus_devorans
70	2agpe180	amp	2agpe180___amp	Thalassobacillus_devorans
71	2agpe180	pe180	2agpe180___pe180	Thalassobacillus_devorans
72	2agpe180	ppi	2agpe180___ppi	Thalassobacillus_devorans
73	2agpg120	ddca	2agpg120___ddca	Thalassobacillus_devorans
74	2agpg120	g3pg	2agpg120___g3pg	Thalassobacillus_devorans
75	2agpg120	h	2agpg120___h	Thalassobacillus_devorans
76	2agpg140	amp	2agpg140___amp	Thalassobacillus_devorans
77	2agpg140	g3pg	2agpg140___g3pg	Thalassobacillus_devorans
78	2agpg140	h	2agpg140___h	Thalassobacillus_devorans
79	2agpg140	pg140	2agpg140___pg140	Thalassobacillus_devorans
80	2agpg140	ppi	2agpg140___ppi	Thalassobacillus_devorans
81	2agpg140	ttdca	2agpg140___ttdca	Thalassobacillus_devorans
82	2agpg141	amp	2agpg141___amp	Thalassobacillus_devorans
83	2agpg141	pg141	2agpg141___pg141	Thalassobacillus_devorans
84	2agpg141	ppi	2agpg141___ppi	Thalassobacillus_devorans
85	2agpg160	amp	2agpg160___amp	Thalassobacillus_devorans
86	2agpg160	pg160	2agpg160___pg160	Thalassobacillus_devorans
87	2agpg160	ppi	2agpg160___ppi	Thalassobacillus_devorans
88	2agpg161	amp	2agpg161___amp	Thalassobacillus_devorans
89	2agpg161	g3pg	2agpg161___g3pg	Thalassobacillus_devorans
90	2agpg161	h	2agpg161___h	Thalassobacillus_devorans
91	2agpg161	hdcea	2agpg161___hdcea	Thalassobacillus_devorans
92	2agpg161	pg161	2agpg161___pg161	Thalassobacillus_devorans
93	2agpg161	ppi	2agpg161___ppi	Thalassobacillus_devorans
94	2agpg180	amp	2agpg180___amp	Thalassobacillus_devorans
95	2agpg180	pg180	2agpg180___pg180	Thalassobacillus_devorans
