substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Thalassobius_mediterraneus
2	10fthf	thf	10fthf___thf	Thalassobius_mediterraneus
3	12dgr160	adp	12dgr160___adp	Thalassobius_mediterraneus
4	12dgr160	h	12dgr160___h	Thalassobius_mediterraneus
5	12dgr160	pa160	12dgr160___pa160	Thalassobius_mediterraneus
6	12dgr180	adp	12dgr180___adp	Thalassobius_mediterraneus
7	12dgr180	h	12dgr180___h	Thalassobius_mediterraneus
8	12dgr180	pa180	12dgr180___pa180	Thalassobius_mediterraneus
9	12dgr181	adp	12dgr181___adp	Thalassobius_mediterraneus
10	12dgr181	h	12dgr181___h	Thalassobius_mediterraneus
11	12dgr181	pa181	12dgr181___pa181	Thalassobius_mediterraneus
12	12ppd__S	h	12ppd__S___h	Thalassobius_mediterraneus
13	12ppd__S	lald__L	12ppd__S___lald__L	Thalassobius_mediterraneus
14	12ppd__S	nadh	12ppd__S___nadh	Thalassobius_mediterraneus
15	13dpg	3pg	13dpg___3pg	Thalassobius_mediterraneus
16	13dpg	atp	13dpg___atp	Thalassobius_mediterraneus
17	1ddecg3p	ACP	1ddecg3p___ACP	Thalassobius_mediterraneus
18	1ddecg3p	pa120	1ddecg3p___pa120	Thalassobius_mediterraneus
19	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Thalassobius_mediterraneus
20	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Thalassobius_mediterraneus
21	1hdecg3p	ACP	1hdecg3p___ACP	Thalassobius_mediterraneus
22	1hdecg3p	pa160	1hdecg3p___pa160	Thalassobius_mediterraneus
23	1odec11eg3p	ACP	1odec11eg3p___ACP	Thalassobius_mediterraneus
24	1odec11eg3p	pa181	1odec11eg3p___pa181	Thalassobius_mediterraneus
25	1odecg3p	ACP	1odecg3p___ACP	Thalassobius_mediterraneus
26	1odecg3p	pa180	1odecg3p___pa180	Thalassobius_mediterraneus
27	1pyr5c	nad	1pyr5c___nad	Thalassobius_mediterraneus
28	1pyr5c	nadp	1pyr5c___nadp	Thalassobius_mediterraneus
29	1pyr5c	pro__L	1pyr5c___pro__L	Thalassobius_mediterraneus
30	1tdecg3p	ACP	1tdecg3p___ACP	Thalassobius_mediterraneus
31	1tdecg3p	pa140	1tdecg3p___pa140	Thalassobius_mediterraneus
32	23dhdp	nadp	23dhdp___nadp	Thalassobius_mediterraneus
33	23dhdp	thdp	23dhdp___thdp	Thalassobius_mediterraneus
34	23dhmp	3mop	23dhmp___3mop	Thalassobius_mediterraneus
35	23dhmp	h2o	23dhmp___h2o	Thalassobius_mediterraneus
36	25aics	aicar	25aics___aicar	Thalassobius_mediterraneus
37	25aics	fum	25aics___fum	Thalassobius_mediterraneus
38	25dhpp	5apru	25dhpp___5apru	Thalassobius_mediterraneus
39	25dhpp	nh4	25dhpp___nh4	Thalassobius_mediterraneus
