substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Thermodesulfovibrio_yellowstonii
2	10fthf	thf	10fthf___thf	Thermodesulfovibrio_yellowstonii
3	12dgr120	adp	12dgr120___adp	Thermodesulfovibrio_yellowstonii
4	12dgr120	h	12dgr120___h	Thermodesulfovibrio_yellowstonii
5	12dgr120	pa120	12dgr120___pa120	Thermodesulfovibrio_yellowstonii
6	12dgr140	adp	12dgr140___adp	Thermodesulfovibrio_yellowstonii
7	12dgr140	h	12dgr140___h	Thermodesulfovibrio_yellowstonii
8	12dgr140	pa140	12dgr140___pa140	Thermodesulfovibrio_yellowstonii
9	12dgr141	adp	12dgr141___adp	Thermodesulfovibrio_yellowstonii
10	12dgr141	h	12dgr141___h	Thermodesulfovibrio_yellowstonii
11	12dgr141	pa141	12dgr141___pa141	Thermodesulfovibrio_yellowstonii
12	12dgr160	adp	12dgr160___adp	Thermodesulfovibrio_yellowstonii
13	12dgr160	h	12dgr160___h	Thermodesulfovibrio_yellowstonii
14	12dgr160	pa160	12dgr160___pa160	Thermodesulfovibrio_yellowstonii
15	12dgr161	adp	12dgr161___adp	Thermodesulfovibrio_yellowstonii
16	12dgr161	h	12dgr161___h	Thermodesulfovibrio_yellowstonii
17	12dgr161	pa161	12dgr161___pa161	Thermodesulfovibrio_yellowstonii
18	12dgr180	adp	12dgr180___adp	Thermodesulfovibrio_yellowstonii
19	12dgr180	h	12dgr180___h	Thermodesulfovibrio_yellowstonii
20	12dgr180	pa180	12dgr180___pa180	Thermodesulfovibrio_yellowstonii
21	12dgr181	adp	12dgr181___adp	Thermodesulfovibrio_yellowstonii
22	12dgr181	h	12dgr181___h	Thermodesulfovibrio_yellowstonii
23	12dgr181	pa181	12dgr181___pa181	Thermodesulfovibrio_yellowstonii
24	13dpg	3pg	13dpg___3pg	Thermodesulfovibrio_yellowstonii
25	13dpg	atp	13dpg___atp	Thermodesulfovibrio_yellowstonii
26	1ddecg3p	ACP	1ddecg3p___ACP	Thermodesulfovibrio_yellowstonii
27	1ddecg3p	pa120	1ddecg3p___pa120	Thermodesulfovibrio_yellowstonii
28	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Thermodesulfovibrio_yellowstonii
29	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Thermodesulfovibrio_yellowstonii
30	1hdecg3p	ACP	1hdecg3p___ACP	Thermodesulfovibrio_yellowstonii
31	1hdecg3p	pa160	1hdecg3p___pa160	Thermodesulfovibrio_yellowstonii
32	1odec11eg3p	ACP	1odec11eg3p___ACP	Thermodesulfovibrio_yellowstonii
33	1odec11eg3p	pa181	1odec11eg3p___pa181	Thermodesulfovibrio_yellowstonii
34	1odecg3p	ACP	1odecg3p___ACP	Thermodesulfovibrio_yellowstonii
35	1odecg3p	pa180	1odecg3p___pa180	Thermodesulfovibrio_yellowstonii
36	1pyr5c	nad	1pyr5c___nad	Thermodesulfovibrio_yellowstonii
37	1pyr5c	nadp	1pyr5c___nadp	Thermodesulfovibrio_yellowstonii
38	1pyr5c	pro__L	1pyr5c___pro__L	Thermodesulfovibrio_yellowstonii
39	1tdecg3p	ACP	1tdecg3p___ACP	Thermodesulfovibrio_yellowstonii
40	1tdecg3p	pa140	1tdecg3p___pa140	Thermodesulfovibrio_yellowstonii
41	23dhdp	nadp	23dhdp___nadp	Thermodesulfovibrio_yellowstonii
