substrate	product	rxn	taxon
1	10fthf	thf	10fthf___thf	Thermovibrio_ammonificans
2	12dgr120	adp	12dgr120___adp	Thermovibrio_ammonificans
3	12dgr120	h	12dgr120___h	Thermovibrio_ammonificans
4	12dgr120	pa120	12dgr120___pa120	Thermovibrio_ammonificans
5	12dgr140	adp	12dgr140___adp	Thermovibrio_ammonificans
6	12dgr140	h	12dgr140___h	Thermovibrio_ammonificans
7	12dgr140	pa140	12dgr140___pa140	Thermovibrio_ammonificans
8	12dgr141	adp	12dgr141___adp	Thermovibrio_ammonificans
9	12dgr141	h	12dgr141___h	Thermovibrio_ammonificans
10	12dgr141	pa141	12dgr141___pa141	Thermovibrio_ammonificans
11	12dgr160	adp	12dgr160___adp	Thermovibrio_ammonificans
12	12dgr160	h	12dgr160___h	Thermovibrio_ammonificans
13	12dgr160	pa160	12dgr160___pa160	Thermovibrio_ammonificans
14	12dgr161	adp	12dgr161___adp	Thermovibrio_ammonificans
15	12dgr161	h	12dgr161___h	Thermovibrio_ammonificans
16	12dgr161	pa161	12dgr161___pa161	Thermovibrio_ammonificans
17	12dgr180	adp	12dgr180___adp	Thermovibrio_ammonificans
18	12dgr180	h	12dgr180___h	Thermovibrio_ammonificans
19	12dgr180	pa180	12dgr180___pa180	Thermovibrio_ammonificans
20	12dgr181	adp	12dgr181___adp	Thermovibrio_ammonificans
21	12dgr181	h	12dgr181___h	Thermovibrio_ammonificans
22	12dgr181	pa181	12dgr181___pa181	Thermovibrio_ammonificans
23	12ppd__S	h	12ppd__S___h	Thermovibrio_ammonificans
24	12ppd__S	lald__L	12ppd__S___lald__L	Thermovibrio_ammonificans
25	12ppd__S	nadh	12ppd__S___nadh	Thermovibrio_ammonificans
26	13dpg	3pg	13dpg___3pg	Thermovibrio_ammonificans
27	13dpg	atp	13dpg___atp	Thermovibrio_ammonificans
28	1ddecg3p	ACP	1ddecg3p___ACP	Thermovibrio_ammonificans
29	1ddecg3p	pa120	1ddecg3p___pa120	Thermovibrio_ammonificans
30	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Thermovibrio_ammonificans
31	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Thermovibrio_ammonificans
32	1hdecg3p	ACP	1hdecg3p___ACP	Thermovibrio_ammonificans
33	1hdecg3p	pa160	1hdecg3p___pa160	Thermovibrio_ammonificans
34	1odec11eg3p	ACP	1odec11eg3p___ACP	Thermovibrio_ammonificans
35	1odec11eg3p	pa181	1odec11eg3p___pa181	Thermovibrio_ammonificans
36	1odecg3p	ACP	1odecg3p___ACP	Thermovibrio_ammonificans
37	1odecg3p	pa180	1odecg3p___pa180	Thermovibrio_ammonificans
38	1pyr5c	nad	1pyr5c___nad	Thermovibrio_ammonificans
39	1pyr5c	nadp	1pyr5c___nadp	Thermovibrio_ammonificans
40	1pyr5c	pro__L	1pyr5c___pro__L	Thermovibrio_ammonificans
41	1tdecg3p	ACP	1tdecg3p___ACP	Thermovibrio_ammonificans
42	1tdecg3p	pa140	1tdecg3p___pa140	Thermovibrio_ammonificans
43	23dhdp	nadp	23dhdp___nadp	Thermovibrio_ammonificans
44	23dhdp	thdp	23dhdp___thdp	Thermovibrio_ammonificans
45	23dhmb	alac__S	23dhmb___alac__S	Thermovibrio_ammonificans
46	23dhmb	h	23dhmb___h	Thermovibrio_ammonificans
47	23dhmb	nadph	23dhmb___nadph	Thermovibrio_ammonificans
48	23dhmp	3mop	23dhmp___3mop	Thermovibrio_ammonificans
49	23dhmp	h2o	23dhmp___h2o	Thermovibrio_ammonificans
50	25aics	aicar	25aics___aicar	Thermovibrio_ammonificans
