substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Thiolapillus_brandeum
2	10fthf	thf	10fthf___thf	Thiolapillus_brandeum
3	12dgr120	adp	12dgr120___adp	Thiolapillus_brandeum
4	12dgr120	h	12dgr120___h	Thiolapillus_brandeum
5	12dgr120	pa120	12dgr120___pa120	Thiolapillus_brandeum
6	12dgr140	adp	12dgr140___adp	Thiolapillus_brandeum
7	12dgr140	h	12dgr140___h	Thiolapillus_brandeum
8	12dgr140	pa140	12dgr140___pa140	Thiolapillus_brandeum
9	12dgr141	adp	12dgr141___adp	Thiolapillus_brandeum
10	12dgr141	h	12dgr141___h	Thiolapillus_brandeum
11	12dgr141	pa141	12dgr141___pa141	Thiolapillus_brandeum
12	12dgr160	adp	12dgr160___adp	Thiolapillus_brandeum
13	12dgr160	h	12dgr160___h	Thiolapillus_brandeum
14	12dgr160	pa160	12dgr160___pa160	Thiolapillus_brandeum
15	12dgr161	adp	12dgr161___adp	Thiolapillus_brandeum
16	12dgr161	h	12dgr161___h	Thiolapillus_brandeum
17	12dgr161	pa161	12dgr161___pa161	Thiolapillus_brandeum
18	12dgr180	adp	12dgr180___adp	Thiolapillus_brandeum
19	12dgr180	h	12dgr180___h	Thiolapillus_brandeum
20	12dgr180	pa180	12dgr180___pa180	Thiolapillus_brandeum
21	12dgr181	adp	12dgr181___adp	Thiolapillus_brandeum
22	12dgr181	h	12dgr181___h	Thiolapillus_brandeum
23	12dgr181	pa181	12dgr181___pa181	Thiolapillus_brandeum
24	13dpg	3pg	13dpg___3pg	Thiolapillus_brandeum
25	13dpg	atp	13dpg___atp	Thiolapillus_brandeum
26	1ddecg3p	ACP	1ddecg3p___ACP	Thiolapillus_brandeum
27	1ddecg3p	pa120	1ddecg3p___pa120	Thiolapillus_brandeum
28	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Thiolapillus_brandeum
29	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Thiolapillus_brandeum
30	1hdecg3p	ACP	1hdecg3p___ACP	Thiolapillus_brandeum
31	1hdecg3p	pa160	1hdecg3p___pa160	Thiolapillus_brandeum
32	1odec11eg3p	ACP	1odec11eg3p___ACP	Thiolapillus_brandeum
33	1odec11eg3p	pa181	1odec11eg3p___pa181	Thiolapillus_brandeum
34	1odecg3p	ACP	1odecg3p___ACP	Thiolapillus_brandeum
35	1odecg3p	pa180	1odecg3p___pa180	Thiolapillus_brandeum
