substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Trichococcus_palustris
2	10fthf	thf	10fthf___thf	Trichococcus_palustris
3	12dgr120	adp	12dgr120___adp	Trichococcus_palustris
4	12dgr120	h	12dgr120___h	Trichococcus_palustris
5	12dgr120	pa120	12dgr120___pa120	Trichococcus_palustris
6	12dgr140	adp	12dgr140___adp	Trichococcus_palustris
7	12dgr140	h	12dgr140___h	Trichococcus_palustris
8	12dgr140	pa140	12dgr140___pa140	Trichococcus_palustris
9	12dgr141	adp	12dgr141___adp	Trichococcus_palustris
10	12dgr141	h	12dgr141___h	Trichococcus_palustris
11	12dgr141	pa141	12dgr141___pa141	Trichococcus_palustris
12	12dgr160	adp	12dgr160___adp	Trichococcus_palustris
13	12dgr160	h	12dgr160___h	Trichococcus_palustris
14	12dgr160	pa160	12dgr160___pa160	Trichococcus_palustris
15	12dgr161	adp	12dgr161___adp	Trichococcus_palustris
16	12dgr161	h	12dgr161___h	Trichococcus_palustris
17	12dgr161	pa161	12dgr161___pa161	Trichococcus_palustris
18	12dgr180	adp	12dgr180___adp	Trichococcus_palustris
19	12dgr180	h	12dgr180___h	Trichococcus_palustris
20	12dgr180	pa180	12dgr180___pa180	Trichococcus_palustris
21	12dgr181	adp	12dgr181___adp	Trichococcus_palustris
22	12dgr181	h	12dgr181___h	Trichococcus_palustris
23	12dgr181	pa181	12dgr181___pa181	Trichococcus_palustris
24	13dpg	3pg	13dpg___3pg	Trichococcus_palustris
25	13dpg	atp	13dpg___atp	Trichococcus_palustris
26	14glucan	malthx	14glucan___malthx	Trichococcus_palustris
27	1ddecg3p	ACP	1ddecg3p___ACP	Trichococcus_palustris
28	1ddecg3p	pa120	1ddecg3p___pa120	Trichococcus_palustris
29	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Trichococcus_palustris
30	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Trichococcus_palustris
31	1hdecg3p	ACP	1hdecg3p___ACP	Trichococcus_palustris
32	1hdecg3p	pa160	1hdecg3p___pa160	Trichococcus_palustris
33	1odec11eg3p	ACP	1odec11eg3p___ACP	Trichococcus_palustris
34	1odec11eg3p	pa181	1odec11eg3p___pa181	Trichococcus_palustris
35	1odecg3p	ACP	1odecg3p___ACP	Trichococcus_palustris
36	1odecg3p	pa180	1odecg3p___pa180	Trichococcus_palustris
37	1pyr5c	nad	1pyr5c___nad	Trichococcus_palustris
38	1pyr5c	nadp	1pyr5c___nadp	Trichococcus_palustris
39	1pyr5c	pro__L	1pyr5c___pro__L	Trichococcus_palustris
40	1tdecg3p	ACP	1tdecg3p___ACP	Trichococcus_palustris
41	1tdecg3p	pa140	1tdecg3p___pa140	Trichococcus_palustris
42	23dhdp	nadp	23dhdp___nadp	Trichococcus_palustris
43	23dhdp	thdp	23dhdp___thdp	Trichococcus_palustris
44	23dhmp	3mop	23dhmp___3mop	Trichococcus_palustris
45	23dhmp	h2o	23dhmp___h2o	Trichococcus_palustris
46	25aics	aicar	25aics___aicar	Trichococcus_palustris
47	25aics	fum	25aics___fum	Trichococcus_palustris
48	25dhpp	5apru	25dhpp___5apru	Trichococcus_palustris
49	25dhpp	nh4	25dhpp___nh4	Trichococcus_palustris
50	26dap_	adp	26dap____adp	Trichococcus_palustris
51	26dap_	co2	26dap____co2	Trichococcus_palustris
52	26dap_	h	26dap____h	Trichococcus_palustris
53	26dap_	lys__L	26dap____lys__L	Trichococcus_palustris
54	26dap_	pi	26dap____pi	Trichococcus_palustris
55	26dap_	ugmd	26dap____ugmd	Trichococcus_palustris
56	26dap_LL	26dap_	26dap_LL___26dap_	Trichococcus_palustris
57	26dapime	26dap_LL	26dapime___26dap_LL	Trichococcus_palustris
58	26dapime	ac	26dapime___ac	Trichococcus_palustris
59	2agpe120	amp	2agpe120___amp	Trichococcus_palustris
60	2agpe120	pe120	2agpe120___pe120	Trichococcus_palustris
61	2agpe120	ppi	2agpe120___ppi	Trichococcus_palustris
62	2agpe141	amp	2agpe141___amp	Trichococcus_palustris
63	2agpe141	pe141	2agpe141___pe141	Trichococcus_palustris
64	2agpe141	ppi	2agpe141___ppi	Trichococcus_palustris
65	2agpe181	amp	2agpe181___amp	Trichococcus_palustris
66	2agpe181	pe181	2agpe181___pe181	Trichococcus_palustris
67	2agpe181	ppi	2agpe181___ppi	Trichococcus_palustris
68	2agpg120	ddca	2agpg120___ddca	Trichococcus_palustris
69	2agpg120	g3pg	2agpg120___g3pg	Trichococcus_palustris
70	2agpg120	h	2agpg120___h	Trichococcus_palustris
71	2agpg140	amp	2agpg140___amp	Trichococcus_palustris
72	2agpg140	pg140	2agpg140___pg140	Trichococcus_palustris
73	2agpg140	ppi	2agpg140___ppi	Trichococcus_palustris
74	2agpg160	amp	2agpg160___amp	Trichococcus_palustris
75	2agpg160	g3pg	2agpg160___g3pg	Trichococcus_palustris
76	2agpg160	h	2agpg160___h	Trichococcus_palustris
77	2agpg160	hdca	2agpg160___hdca	Trichococcus_palustris
78	2agpg160	pg160	2agpg160___pg160	Trichococcus_palustris
79	2agpg160	ppi	2agpg160___ppi	Trichococcus_palustris
80	2agpg161	g3pg	2agpg161___g3pg	Trichococcus_palustris
81	2agpg161	h	2agpg161___h	Trichococcus_palustris
82	2agpg161	hdcea	2agpg161___hdcea	Trichococcus_palustris
83	2agpg180	amp	2agpg180___amp	Trichococcus_palustris
84	2agpg180	g3pg	2agpg180___g3pg	Trichococcus_palustris
85	2agpg180	h	2agpg180___h	Trichococcus_palustris
86	2agpg180	ocdca	2agpg180___ocdca	Trichococcus_palustris
87	2agpg180	pg180	2agpg180___pg180	Trichococcus_palustris
88	2agpg180	ppi	2agpg180___ppi	Trichococcus_palustris
89	2agpg181	g3pg	2agpg181___g3pg	Trichococcus_palustris
90	2agpg181	h	2agpg181___h	Trichococcus_palustris
91	2agpg181	ocdcea	2agpg181___ocdcea	Trichococcus_palustris
92	2ahbut	23dhmp	2ahbut___23dhmp	Trichococcus_palustris
93	2ahbut	nadp	2ahbut___nadp	Trichococcus_palustris
94	2amsa	nadp	2amsa___nadp	Trichococcus_palustris
95	2amsa	ser__L	2amsa___ser__L	Trichococcus_palustris
96	2aobut	athr__L	2aobut___athr__L	Trichococcus_palustris
97	2aobut	nadp	2aobut___nadp	Trichococcus_palustris
98	2cpr5p	3ig3p	2cpr5p___3ig3p	Trichococcus_palustris
99	2cpr5p	co2	2cpr5p___co2	Trichococcus_palustris
100	2cpr5p	h2o	2cpr5p___h2o	Trichococcus_palustris
101	2dda7p	3dhq	2dda7p___3dhq	Trichococcus_palustris
102	2dda7p	pi	2dda7p___pi	Trichococcus_palustris
103	2ddg6p	g3p	2ddg6p___g3p	Trichococcus_palustris
104	2ddg6p	pyr	2ddg6p___pyr	Trichococcus_palustris
105	2ddglcn	2ddg6p	2ddglcn___2ddg6p	Trichococcus_palustris
106	2ddglcn	adp	2ddglcn___adp	Trichococcus_palustris
107	2ddglcn	h	2ddglcn___h	Trichococcus_palustris
108	2dhp	nadp	2dhp___nadp	Trichococcus_palustris
109	2dhp	pant__R	2dhp___pant__R	Trichococcus_palustris
110	2dr1p	2dr5p	2dr1p___2dr5p	Trichococcus_palustris
111	2dr5p	acald	2dr5p___acald	Trichococcus_palustris
112	2dr5p	g3p	2dr5p___g3p	Trichococcus_palustris
113	2fe1s	adp	2fe1s___adp	Trichococcus_palustris
114	2fe1s	h	2fe1s___h	Trichococcus_palustris
115	2fe1s	iscs	2fe1s___iscs	Trichococcus_palustris
116	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Trichococcus_palustris
117	2fe1s	pi	2fe1s___pi	Trichococcus_palustris
118	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Trichococcus_palustris
119	2fe1s	sufse	2fe1s___sufse	Trichococcus_palustris
120	2fe2s	2fe1s	2fe2s___2fe1s	Trichococcus_palustris
121	2fe2s	btn	2fe2s___btn	Trichococcus_palustris
122	2fe2s	dad_5	2fe2s___dad_5	Trichococcus_palustris
123	2fe2s	h	2fe2s___h	Trichococcus_palustris
124	2fe2s	met__L	2fe2s___met__L	Trichococcus_palustris
125	2h3opp	glyc__R	2h3opp___glyc__R	Trichococcus_palustris
126	2h3opp	nad	2h3opp___nad	Trichococcus_palustris
127	2ins	adp	2ins___adp	Trichococcus_palustris
128	2ins	dhap	2ins___dhap	Trichococcus_palustris
