substrate	product	rxn	taxon
1	10fthf	thf	10fthf___thf	Victivallis_vadensis
2	12dgr141	adp	12dgr141___adp	Victivallis_vadensis
3	12dgr141	h	12dgr141___h	Victivallis_vadensis
4	12dgr141	pa141	12dgr141___pa141	Victivallis_vadensis
5	12dgr161	adp	12dgr161___adp	Victivallis_vadensis
6	12dgr161	h	12dgr161___h	Victivallis_vadensis
7	12dgr161	pa161	12dgr161___pa161	Victivallis_vadensis
8	12dgr181	adp	12dgr181___adp	Victivallis_vadensis
9	12dgr181	h	12dgr181___h	Victivallis_vadensis
10	12dgr181	pa181	12dgr181___pa181	Victivallis_vadensis
11	12ppd__S	h	12ppd__S___h	Victivallis_vadensis
12	12ppd__S	lald__L	12ppd__S___lald__L	Victivallis_vadensis
13	12ppd__S	nadh	12ppd__S___nadh	Victivallis_vadensis
14	13dpg	3pg	13dpg___3pg	Victivallis_vadensis
15	13dpg	atp	13dpg___atp	Victivallis_vadensis
16	14glucan	malthx	14glucan___malthx	Victivallis_vadensis
17	1ddecg3p	ACP	1ddecg3p___ACP	Victivallis_vadensis
18	1ddecg3p	pa120	1ddecg3p___pa120	Victivallis_vadensis
19	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Victivallis_vadensis
20	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Victivallis_vadensis
21	1hdecg3p	ACP	1hdecg3p___ACP	Victivallis_vadensis
22	1hdecg3p	pa160	1hdecg3p___pa160	Victivallis_vadensis
23	1odec11eg3p	ACP	1odec11eg3p___ACP	Victivallis_vadensis
24	1odec11eg3p	pa181	1odec11eg3p___pa181	Victivallis_vadensis
25	1odecg3p	ACP	1odecg3p___ACP	Victivallis_vadensis
26	1odecg3p	pa180	1odecg3p___pa180	Victivallis_vadensis
27	1pyr5c	nad	1pyr5c___nad	Victivallis_vadensis
28	1pyr5c	nadp	1pyr5c___nadp	Victivallis_vadensis
29	1pyr5c	pro__L	1pyr5c___pro__L	Victivallis_vadensis
30	1tdecg3p	ACP	1tdecg3p___ACP	Victivallis_vadensis
31	1tdecg3p	pa140	1tdecg3p___pa140	Victivallis_vadensis
32	23dhdp	nadp	23dhdp___nadp	Victivallis_vadensis
33	23dhdp	thdp	23dhdp___thdp	Victivallis_vadensis
34	23dhmb	alac__S	23dhmb___alac__S	Victivallis_vadensis
35	23dhmb	h	23dhmb___h	Victivallis_vadensis
36	23dhmb	nadph	23dhmb___nadph	Victivallis_vadensis
37	23dhmp	3mop	23dhmp___3mop	Victivallis_vadensis
38	23dhmp	h2o	23dhmp___h2o	Victivallis_vadensis
39	25aics	aicar	25aics___aicar	Victivallis_vadensis
40	25aics	fum	25aics___fum	Victivallis_vadensis
41	25dhpp	5apru	25dhpp___5apru	Victivallis_vadensis
42	25dhpp	nh4	25dhpp___nh4	Victivallis_vadensis
43	26dap_	adp	26dap____adp	Victivallis_vadensis
44	26dap_	co2	26dap____co2	Victivallis_vadensis
45	26dap_	h	26dap____h	Victivallis_vadensis
46	26dap_	lys__L	26dap____lys__L	Victivallis_vadensis
47	26dap_	pi	26dap____pi	Victivallis_vadensis
48	26dap_	ugmd	26dap____ugmd	Victivallis_vadensis
49	26dap_LL	26dap_	26dap_LL___26dap_	Victivallis_vadensis
50	2agpe120	amp	2agpe120___amp	Victivallis_vadensis
51	2agpe120	pe120	2agpe120___pe120	Victivallis_vadensis
52	2agpe120	ppi	2agpe120___ppi	Victivallis_vadensis
53	2agpe140	amp	2agpe140___amp	Victivallis_vadensis
54	2agpe140	pe140	2agpe140___pe140	Victivallis_vadensis
55	2agpe140	ppi	2agpe140___ppi	Victivallis_vadensis
56	2agpe141	amp	2agpe141___amp	Victivallis_vadensis
57	2agpe141	pe141	2agpe141___pe141	Victivallis_vadensis
58	2agpe141	ppi	2agpe141___ppi	Victivallis_vadensis
59	2agpe160	amp	2agpe160___amp	Victivallis_vadensis
60	2agpe160	pe160	2agpe160___pe160	Victivallis_vadensis
61	2agpe160	ppi	2agpe160___ppi	Victivallis_vadensis
62	2agpe180	amp	2agpe180___amp	Victivallis_vadensis
63	2agpe180	pe180	2agpe180___pe180	Victivallis_vadensis
64	2agpe180	ppi	2agpe180___ppi	Victivallis_vadensis
65	2agpe181	amp	2agpe181___amp	Victivallis_vadensis
66	2agpe181	g3pe	2agpe181___g3pe	Victivallis_vadensis
67	2agpe181	h	2agpe181___h	Victivallis_vadensis
68	2agpe181	ocdcea	2agpe181___ocdcea	Victivallis_vadensis
69	2agpe181	pe181	2agpe181___pe181	Victivallis_vadensis
70	2agpe181	ppi	2agpe181___ppi	Victivallis_vadensis
71	2agpg120	amp	2agpg120___amp	Victivallis_vadensis
72	2agpg120	ddca	2agpg120___ddca	Victivallis_vadensis
73	2agpg120	g3pg	2agpg120___g3pg	Victivallis_vadensis
74	2agpg120	h	2agpg120___h	Victivallis_vadensis
75	2agpg120	pg120	2agpg120___pg120	Victivallis_vadensis
76	2agpg120	ppi	2agpg120___ppi	Victivallis_vadensis
77	2agpg140	amp	2agpg140___amp	Victivallis_vadensis
78	2agpg140	pg140	2agpg140___pg140	Victivallis_vadensis
79	2agpg140	ppi	2agpg140___ppi	Victivallis_vadensis
80	2agpg141	amp	2agpg141___amp	Victivallis_vadensis
81	2agpg141	pg141	2agpg141___pg141	Victivallis_vadensis
82	2agpg141	ppi	2agpg141___ppi	Victivallis_vadensis
83	2agpg160	amp	2agpg160___amp	Victivallis_vadensis
84	2agpg160	g3pg	2agpg160___g3pg	Victivallis_vadensis
85	2agpg160	h	2agpg160___h	Victivallis_vadensis
86	2agpg160	hdca	2agpg160___hdca	Victivallis_vadensis
87	2agpg160	pg160	2agpg160___pg160	Victivallis_vadensis
88	2agpg160	ppi	2agpg160___ppi	Victivallis_vadensis
89	2agpg161	amp	2agpg161___amp	Victivallis_vadensis
90	2agpg161	g3pg	2agpg161___g3pg	Victivallis_vadensis
91	2agpg161	h	2agpg161___h	Victivallis_vadensis
92	2agpg161	hdcea	2agpg161___hdcea	Victivallis_vadensis
93	2agpg161	pg161	2agpg161___pg161	Victivallis_vadensis
94	2agpg161	ppi	2agpg161___ppi	Victivallis_vadensis
95	2agpg180	amp	2agpg180___amp	Victivallis_vadensis
96	2agpg180	g3pg	2agpg180___g3pg	Victivallis_vadensis
97	2agpg180	h	2agpg180___h	Victivallis_vadensis
98	2agpg180	ocdca	2agpg180___ocdca	Victivallis_vadensis
99	2agpg180	pg180	2agpg180___pg180	Victivallis_vadensis
100	2agpg180	ppi	2agpg180___ppi	Victivallis_vadensis
101	2agpg181	amp	2agpg181___amp	Victivallis_vadensis
102	2agpg181	g3pg	2agpg181___g3pg	Victivallis_vadensis
103	2agpg181	h	2agpg181___h	Victivallis_vadensis
104	2agpg181	ocdcea	2agpg181___ocdcea	Victivallis_vadensis
105	2agpg181	pg181	2agpg181___pg181	Victivallis_vadensis
106	2agpg181	ppi	2agpg181___ppi	Victivallis_vadensis
107	2ahbut	23dhmp	2ahbut___23dhmp	Victivallis_vadensis
108	2ahbut	nadp	2ahbut___nadp	Victivallis_vadensis
109	2amsa	nadp	2amsa___nadp	Victivallis_vadensis
110	2aobut	athr__L	2aobut___athr__L	Victivallis_vadensis
111	2aobut	nadp	2aobut___nadp	Victivallis_vadensis
112	2cpr5p	3ig3p	2cpr5p___3ig3p	Victivallis_vadensis
113	2cpr5p	co2	2cpr5p___co2	Victivallis_vadensis
114	2cpr5p	h2o	2cpr5p___h2o	Victivallis_vadensis
115	2dda7p	3dhq	2dda7p___3dhq	Victivallis_vadensis
116	2dda7p	pi	2dda7p___pi	Victivallis_vadensis
117	2ddg6p	g3p	2ddg6p___g3p	Victivallis_vadensis
118	2ddg6p	pyr	2ddg6p___pyr	Victivallis_vadensis
119	2ddglcn	2ddg6p	2ddglcn___2ddg6p	Victivallis_vadensis
120	2ddglcn	adp	2ddglcn___adp	Victivallis_vadensis
121	2ddglcn	h	2ddglcn___h	Victivallis_vadensis
122	2dhglcn	6p2dhglcn	2dhglcn___6p2dhglcn	Victivallis_vadensis
123	2dhglcn	adp	2dhglcn___adp	Victivallis_vadensis
124	2dhp	nadp	2dhp___nadp	Victivallis_vadensis
125	2dhp	pant__R	2dhp___pant__R	Victivallis_vadensis
126	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Victivallis_vadensis
127	2dmmq8	nad	2dmmq8___nad	Victivallis_vadensis
128	2dmmql8	ahcys	2dmmql8___ahcys	Victivallis_vadensis
129	2dmmql8	h	2dmmql8___h	Victivallis_vadensis
130	2dmmql8	mql8	2dmmql8___mql8	Victivallis_vadensis
131	2dr5p	acald	2dr5p___acald	Victivallis_vadensis
132	2dr5p	g3p	2dr5p___g3p	Victivallis_vadensis
133	2fe1s	h	2fe1s___h	Victivallis_vadensis
134	2fe1s	iscs	2fe1s___iscs	Victivallis_vadensis
135	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Victivallis_vadensis
136	2fe2s	2fe1s	2fe2s___2fe1s	Victivallis_vadensis
137	2fe2s	btn	2fe2s___btn	Victivallis_vadensis
138	2fe2s	dad_5	2fe2s___dad_5	Victivallis_vadensis
139	2fe2s	h	2fe2s___h	Victivallis_vadensis
140	2fe2s	met__L	2fe2s___met__L	Victivallis_vadensis
141	2ins	adp	2ins___adp	Victivallis_vadensis
142	2ins	dhap	2ins___dhap	Victivallis_vadensis
143	2ins	h	2ins___h	Victivallis_vadensis
144	2ins	msa	2ins___msa	Victivallis_vadensis
145	2ippm	3c2hmp	2ippm___3c2hmp	Victivallis_vadensis
146	2mahmp	ppi	2mahmp___ppi	Victivallis_vadensis
147	2mahmp	thmmp	2mahmp___thmmp	Victivallis_vadensis
148	2mbcoa	3mop	2mbcoa___3mop	Victivallis_vadensis
149	2mbcoa	coa	2mbcoa___coa	Victivallis_vadensis
150	2mbcoa	fdxo_42	2mbcoa___fdxo_42	Victivallis_vadensis
151	2me4p	4c2me	2me4p___4c2me	Victivallis_vadensis
152	2me4p	ppi	2me4p___ppi	Victivallis_vadensis
