substrate	product	rxn	taxon
1	10fthf	thf	10fthf___thf	Woeseia_oceani
2	12dgr120	adp	12dgr120___adp	Woeseia_oceani
3	12dgr120	h	12dgr120___h	Woeseia_oceani
4	12dgr120	pa120	12dgr120___pa120	Woeseia_oceani
5	12dgr140	adp	12dgr140___adp	Woeseia_oceani
6	12dgr140	h	12dgr140___h	Woeseia_oceani
7	12dgr140	pa140	12dgr140___pa140	Woeseia_oceani
8	12dgr141	adp	12dgr141___adp	Woeseia_oceani
9	12dgr141	h	12dgr141___h	Woeseia_oceani
10	12dgr141	pa141	12dgr141___pa141	Woeseia_oceani
11	12dgr160	adp	12dgr160___adp	Woeseia_oceani
12	12dgr160	h	12dgr160___h	Woeseia_oceani
13	12dgr160	pa160	12dgr160___pa160	Woeseia_oceani
14	12dgr161	adp	12dgr161___adp	Woeseia_oceani
15	12dgr161	h	12dgr161___h	Woeseia_oceani
16	12dgr161	pa161	12dgr161___pa161	Woeseia_oceani
17	12dgr180	adp	12dgr180___adp	Woeseia_oceani
18	12dgr180	h	12dgr180___h	Woeseia_oceani
19	12dgr180	pa180	12dgr180___pa180	Woeseia_oceani
20	12dgr181	adp	12dgr181___adp	Woeseia_oceani
21	12dgr181	h	12dgr181___h	Woeseia_oceani
22	12dgr181	pa181	12dgr181___pa181	Woeseia_oceani
23	12ppd__S	h	12ppd__S___h	Woeseia_oceani
24	12ppd__S	lald__L	12ppd__S___lald__L	Woeseia_oceani
25	12ppd__S	nadh	12ppd__S___nadh	Woeseia_oceani
26	13dpg	3pg	13dpg___3pg	Woeseia_oceani
27	13dpg	atp	13dpg___atp	Woeseia_oceani
28	1ddecg3p	ACP	1ddecg3p___ACP	Woeseia_oceani
29	1ddecg3p	pa120	1ddecg3p___pa120	Woeseia_oceani
30	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Woeseia_oceani
31	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Woeseia_oceani
32	1hdecg3p	ACP	1hdecg3p___ACP	Woeseia_oceani
33	1hdecg3p	pa160	1hdecg3p___pa160	Woeseia_oceani
34	1odec11eg3p	ACP	1odec11eg3p___ACP	Woeseia_oceani
35	1odec11eg3p	pa181	1odec11eg3p___pa181	Woeseia_oceani
36	1odecg3p	ACP	1odecg3p___ACP	Woeseia_oceani
37	1odecg3p	pa180	1odecg3p___pa180	Woeseia_oceani
38	1pyr5c	nadp	1pyr5c___nadp	Woeseia_oceani
39	1pyr5c	pro__L	1pyr5c___pro__L	Woeseia_oceani
40	1tdecg3p	ACP	1tdecg3p___ACP	Woeseia_oceani
41	1tdecg3p	pa140	1tdecg3p___pa140	Woeseia_oceani
42	23dhdp	nadp	23dhdp___nadp	Woeseia_oceani
43	23dhdp	thdp	23dhdp___thdp	Woeseia_oceani
44	23dhmb	alac__S	23dhmb___alac__S	Woeseia_oceani
45	23dhmb	h	23dhmb___h	Woeseia_oceani
46	23dhmb	nadph	23dhmb___nadph	Woeseia_oceani
47	23dhmp	3mop	23dhmp___3mop	Woeseia_oceani
48	23dhmp	h2o	23dhmp___h2o	Woeseia_oceani
49	25aics	aicar	25aics___aicar	Woeseia_oceani
50	25aics	fum	25aics___fum	Woeseia_oceani
51	25dhpp	5apru	25dhpp___5apru	Woeseia_oceani
52	25dhpp	nh4	25dhpp___nh4	Woeseia_oceani
53	26dap_	adp	26dap____adp	Woeseia_oceani
54	26dap_	h	26dap____h	Woeseia_oceani
55	26dap_	pi	26dap____pi	Woeseia_oceani
56	26dap_	ugmd	26dap____ugmd	Woeseia_oceani
57	26dap_LL	26dap_	26dap_LL___26dap_	Woeseia_oceani
58	2agpe120	amp	2agpe120___amp	Woeseia_oceani
59	2agpe120	pe120	2agpe120___pe120	Woeseia_oceani
60	2agpe120	ppi	2agpe120___ppi	Woeseia_oceani
61	2agpe140	amp	2agpe140___amp	Woeseia_oceani
62	2agpe140	pe140	2agpe140___pe140	Woeseia_oceani
63	2agpe140	ppi	2agpe140___ppi	Woeseia_oceani
64	2agpe141	amp	2agpe141___amp	Woeseia_oceani
65	2agpe141	pe141	2agpe141___pe141	Woeseia_oceani
66	2agpe141	ppi	2agpe141___ppi	Woeseia_oceani
67	2agpe160	amp	2agpe160___amp	Woeseia_oceani
68	2agpe160	pe160	2agpe160___pe160	Woeseia_oceani
69	2agpe160	ppi	2agpe160___ppi	Woeseia_oceani
70	2agpe180	amp	2agpe180___amp	Woeseia_oceani
71	2agpe180	pe180	2agpe180___pe180	Woeseia_oceani
72	2agpe180	ppi	2agpe180___ppi	Woeseia_oceani
73	2agpe181	amp	2agpe181___amp	Woeseia_oceani
74	2agpe181	pe181	2agpe181___pe181	Woeseia_oceani
75	2agpe181	ppi	2agpe181___ppi	Woeseia_oceani
76	2agpg120	amp	2agpg120___amp	Woeseia_oceani
77	2agpg120	pg120	2agpg120___pg120	Woeseia_oceani
78	2agpg120	ppi	2agpg120___ppi	Woeseia_oceani
79	2agpg140	amp	2agpg140___amp	Woeseia_oceani
80	2agpg140	pg140	2agpg140___pg140	Woeseia_oceani
81	2agpg140	ppi	2agpg140___ppi	Woeseia_oceani
82	2agpg141	amp	2agpg141___amp	Woeseia_oceani
83	2agpg141	pg141	2agpg141___pg141	Woeseia_oceani
84	2agpg141	ppi	2agpg141___ppi	Woeseia_oceani
85	2agpg160	amp	2agpg160___amp	Woeseia_oceani
86	2agpg160	pg160	2agpg160___pg160	Woeseia_oceani
87	2agpg160	ppi	2agpg160___ppi	Woeseia_oceani
88	2agpg161	amp	2agpg161___amp	Woeseia_oceani
89	2agpg161	pg161	2agpg161___pg161	Woeseia_oceani
90	2agpg161	ppi	2agpg161___ppi	Woeseia_oceani
91	2agpg180	amp	2agpg180___amp	Woeseia_oceani
92	2agpg180	pg180	2agpg180___pg180	Woeseia_oceani
93	2agpg180	ppi	2agpg180___ppi	Woeseia_oceani
94	2agpg181	amp	2agpg181___amp	Woeseia_oceani
95	2agpg181	pg181	2agpg181___pg181	Woeseia_oceani
96	2agpg181	ppi	2agpg181___ppi	Woeseia_oceani
97	2ahbut	23dhmp	2ahbut___23dhmp	Woeseia_oceani
98	2ahbut	nadp	2ahbut___nadp	Woeseia_oceani
99	2ahhmp	dhpt	2ahhmp___dhpt	Woeseia_oceani
100	2ahhmp	h2o	2ahhmp___h2o	Woeseia_oceani
101	2aobut	athr__L	2aobut___athr__L	Woeseia_oceani
102	2aobut	nadp	2aobut___nadp	Woeseia_oceani
103	2cpr5p	3ig3p	2cpr5p___3ig3p	Woeseia_oceani
104	2cpr5p	co2	2cpr5p___co2	Woeseia_oceani
105	2cpr5p	h2o	2cpr5p___h2o	Woeseia_oceani
106	2dda7p	3dhq	2dda7p___3dhq	Woeseia_oceani
107	2dda7p	pi	2dda7p___pi	Woeseia_oceani
108	2ddg6p	g3p	2ddg6p___g3p	Woeseia_oceani
109	2ddg6p	pyr	2ddg6p___pyr	Woeseia_oceani
110	2ddglcn	2ddg6p	2ddglcn___2ddg6p	Woeseia_oceani
111	2ddglcn	adp	2ddglcn___adp	Woeseia_oceani
112	2ddglcn	h	2ddglcn___h	Woeseia_oceani
113	2dhp	nadp	2dhp___nadp	Woeseia_oceani
114	2dhp	pant__R	2dhp___pant__R	Woeseia_oceani
115	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Woeseia_oceani
116	2dmmq8	dhap	2dmmq8___dhap	Woeseia_oceani
117	2dmmq8	nad	2dmmq8___nad	Woeseia_oceani
118	2dmmql8	ahcys	2dmmql8___ahcys	Woeseia_oceani
119	2dmmql8	h	2dmmql8___h	Woeseia_oceani
120	2dmmql8	mql8	2dmmql8___mql8	Woeseia_oceani
121	2dr1p	2dr5p	2dr1p___2dr5p	Woeseia_oceani
122	2dr5p	acald	2dr5p___acald	Woeseia_oceani
123	2dr5p	g3p	2dr5p___g3p	Woeseia_oceani
124	2fe1s	adp	2fe1s___adp	Woeseia_oceani
125	2fe1s	h	2fe1s___h	Woeseia_oceani
126	2fe1s	iscs	2fe1s___iscs	Woeseia_oceani
127	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Woeseia_oceani
128	2fe1s	pi	2fe1s___pi	Woeseia_oceani
129	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Woeseia_oceani
130	2fe1s	sufse	2fe1s___sufse	Woeseia_oceani
131	2fe2s	2fe1s	2fe2s___2fe1s	Woeseia_oceani
