substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Zunongwangia_atlantica
2	10fthf	thf	10fthf___thf	Zunongwangia_atlantica
3	12ppd__S	h	12ppd__S___h	Zunongwangia_atlantica
4	12ppd__S	lald__L	12ppd__S___lald__L	Zunongwangia_atlantica
5	12ppd__S	nadh	12ppd__S___nadh	Zunongwangia_atlantica
6	13dpg	3pg	13dpg___3pg	Zunongwangia_atlantica
7	13dpg	atp	13dpg___atp	Zunongwangia_atlantica
8	14glucan	malthx	14glucan___malthx	Zunongwangia_atlantica
9	1ddecg3p	ACP	1ddecg3p___ACP	Zunongwangia_atlantica
10	1ddecg3p	pa120	1ddecg3p___pa120	Zunongwangia_atlantica
11	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Zunongwangia_atlantica
12	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Zunongwangia_atlantica
13	1hdecg3p	ACP	1hdecg3p___ACP	Zunongwangia_atlantica
14	1hdecg3p	pa160	1hdecg3p___pa160	Zunongwangia_atlantica
15	1odec11eg3p	ACP	1odec11eg3p___ACP	Zunongwangia_atlantica
16	1odec11eg3p	pa181	1odec11eg3p___pa181	Zunongwangia_atlantica
17	1odecg3p	ACP	1odecg3p___ACP	Zunongwangia_atlantica
18	1odecg3p	pa180	1odecg3p___pa180	Zunongwangia_atlantica
19	1pyr5c	nad	1pyr5c___nad	Zunongwangia_atlantica
20	1pyr5c	nadp	1pyr5c___nadp	Zunongwangia_atlantica
21	1pyr5c	pro__L	1pyr5c___pro__L	Zunongwangia_atlantica
22	1tdecg3p	ACP	1tdecg3p___ACP	Zunongwangia_atlantica
23	1tdecg3p	pa140	1tdecg3p___pa140	Zunongwangia_atlantica
24	23dhdp	nadp	23dhdp___nadp	Zunongwangia_atlantica
25	23dhdp	thdp	23dhdp___thdp	Zunongwangia_atlantica
26	23dhmb	alac__S	23dhmb___alac__S	Zunongwangia_atlantica
27	23dhmb	h	23dhmb___h	Zunongwangia_atlantica
28	23dhmb	nadph	23dhmb___nadph	Zunongwangia_atlantica
29	23dhmp	3mop	23dhmp___3mop	Zunongwangia_atlantica
30	23dhmp	h2o	23dhmp___h2o	Zunongwangia_atlantica
31	25aics	aicar	25aics___aicar	Zunongwangia_atlantica
32	25aics	fum	25aics___fum	Zunongwangia_atlantica
33	25dhpp	5apru	25dhpp___5apru	Zunongwangia_atlantica
34	25dhpp	nh4	25dhpp___nh4	Zunongwangia_atlantica
35	26dap_	adp	26dap____adp	Zunongwangia_atlantica
36	26dap_	co2	26dap____co2	Zunongwangia_atlantica
37	26dap_	h	26dap____h	Zunongwangia_atlantica
38	26dap_	lys__L	26dap____lys__L	Zunongwangia_atlantica
39	26dap_	pi	26dap____pi	Zunongwangia_atlantica
40	26dap_	ugmd	26dap____ugmd	Zunongwangia_atlantica
41	26dap_LL	26dap_	26dap_LL___26dap_	Zunongwangia_atlantica
42	2ahbut	23dhmp	2ahbut___23dhmp	Zunongwangia_atlantica
43	2ahbut	nadp	2ahbut___nadp	Zunongwangia_atlantica
44	2amsa	nadp	2amsa___nadp	Zunongwangia_atlantica
45	2amsa	ser__L	2amsa___ser__L	Zunongwangia_atlantica
46	2aobut	athr__L	2aobut___athr__L	Zunongwangia_atlantica
47	2aobut	nadp	2aobut___nadp	Zunongwangia_atlantica
48	2cpr5p	3ig3p	2cpr5p___3ig3p	Zunongwangia_atlantica
49	2cpr5p	co2	2cpr5p___co2	Zunongwangia_atlantica
50	2cpr5p	h2o	2cpr5p___h2o	Zunongwangia_atlantica
51	2dda7p	3dhq	2dda7p___3dhq	Zunongwangia_atlantica
52	2dda7p	pi	2dda7p___pi	Zunongwangia_atlantica
53	2ddg6p	g3p	2ddg6p___g3p	Zunongwangia_atlantica
54	2ddg6p	pyr	2ddg6p___pyr	Zunongwangia_atlantica
55	2ddglcn	2ddg6p	2ddglcn___2ddg6p	Zunongwangia_atlantica
56	2ddglcn	adp	2ddglcn___adp	Zunongwangia_atlantica
57	2ddglcn	h	2ddglcn___h	Zunongwangia_atlantica
58	2dhp	nadp	2dhp___nadp	Zunongwangia_atlantica
59	2dhp	pant__R	2dhp___pant__R	Zunongwangia_atlantica
60	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Zunongwangia_atlantica
61	2dmmq8	nad	2dmmq8___nad	Zunongwangia_atlantica
62	2dmmql8	ahcys	2dmmql8___ahcys	Zunongwangia_atlantica
63	2dmmql8	h	2dmmql8___h	Zunongwangia_atlantica
64	2dmmql8	mql8	2dmmql8___mql8	Zunongwangia_atlantica
65	2fe1s	adp	2fe1s___adp	Zunongwangia_atlantica
66	2fe1s	h	2fe1s___h	Zunongwangia_atlantica
67	2fe1s	iscs	2fe1s___iscs	Zunongwangia_atlantica
68	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Zunongwangia_atlantica
69	2fe1s	pi	2fe1s___pi	Zunongwangia_atlantica
70	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Zunongwangia_atlantica
71	2fe1s	sufse	2fe1s___sufse	Zunongwangia_atlantica
72	2fe2s	2fe1s	2fe2s___2fe1s	Zunongwangia_atlantica
73	2fe2s	btn	2fe2s___btn	Zunongwangia_atlantica
74	2fe2s	dad_5	2fe2s___dad_5	Zunongwangia_atlantica
75	2fe2s	h	2fe2s___h	Zunongwangia_atlantica
76	2fe2s	met__L	2fe2s___met__L	Zunongwangia_atlantica
77	2hh24dd	4h2kpi	2hh24dd___4h2kpi	Zunongwangia_atlantica
78	2ins	adp	2ins___adp	Zunongwangia_atlantica
79	2ins	dhap	2ins___dhap	Zunongwangia_atlantica
80	2ins	h	2ins___h	Zunongwangia_atlantica
81	2ins	msa	2ins___msa	Zunongwangia_atlantica
82	2ippm	3c2hmp	2ippm___3c2hmp	Zunongwangia_atlantica
83	2mahmp	ppi	2mahmp___ppi	Zunongwangia_atlantica
84	2mahmp	thmmp	2mahmp___thmmp	Zunongwangia_atlantica
85	2me4p	4c2me	2me4p___4c2me	Zunongwangia_atlantica
86	2me4p	ppi	2me4p___ppi	Zunongwangia_atlantica
87	2mecdp	h2mb4p	2mecdp___h2mb4p	Zunongwangia_atlantica
88	2mecdp	h2o	2mecdp___h2o	Zunongwangia_atlantica
89	2obut	2ahbut	2obut___2ahbut	Zunongwangia_atlantica
90	2obut	co2	2obut___co2	Zunongwangia_atlantica
91	2obut	nadh	2obut___nadh	Zunongwangia_atlantica
92	2obut	ppcoa	2obut___ppcoa	Zunongwangia_atlantica
93	2p4c2me	2mecdp	2p4c2me___2mecdp	Zunongwangia_atlantica
94	2p4c2me	cmp	2p4c2me___cmp	Zunongwangia_atlantica
95	2pg	h2o	2pg___h2o	Zunongwangia_atlantica
96	2pg	pep	2pg___pep	Zunongwangia_atlantica
97	2pglyc	glyclt	2pglyc___glyclt	Zunongwangia_atlantica
98	2pglyc	pi	2pglyc___pi	Zunongwangia_atlantica
99	2shchc	h2o	2shchc___h2o	Zunongwangia_atlantica
100	2shchc	sucbz	2shchc___sucbz	Zunongwangia_atlantica
101	34dhbz	CCbuttc	34dhbz___CCbuttc	Zunongwangia_atlantica
102	34dhbz	h	34dhbz___h	Zunongwangia_atlantica
103	34dhpha	5cmhmsa	34dhpha___5cmhmsa	Zunongwangia_atlantica
104	34dhpha	h	34dhpha___h	Zunongwangia_atlantica
105	3c2hmp	3c4mop	3c2hmp___3c4mop	Zunongwangia_atlantica
106	3c2hmp	h	3c2hmp___h	Zunongwangia_atlantica
107	3c2hmp	nadh	3c2hmp___nadh	Zunongwangia_atlantica
108	3c3hmp	2ippm	3c3hmp___2ippm	Zunongwangia_atlantica
109	3c3hmp	h2o	3c3hmp___h2o	Zunongwangia_atlantica
110	3c4mop	4mop	3c4mop___4mop	Zunongwangia_atlantica
111	3c4mop	co2	3c4mop___co2	Zunongwangia_atlantica
112	3dhq	3dhsk	3dhq___3dhsk	Zunongwangia_atlantica
113	3dhq	h2o	3dhq___h2o	Zunongwangia_atlantica
114	3dhsk	34dhbz	3dhsk___34dhbz	Zunongwangia_atlantica
115	3dhsk	h2o	3dhsk___h2o	Zunongwangia_atlantica
116	3dhsk	nadp	3dhsk___nadp	Zunongwangia_atlantica
117	3dhsk	skm	3dhsk___skm	Zunongwangia_atlantica
118	3haACP	but2eACP	3haACP___but2eACP	Zunongwangia_atlantica
119	3haACP	h2o	3haACP___h2o	Zunongwangia_atlantica
120	3hcddec5eACP	h2o	3hcddec5eACP___h2o	Zunongwangia_atlantica
121	3hcddec5eACP	t3c5ddeceACP	3hcddec5eACP___t3c5ddeceACP	Zunongwangia_atlantica
122	3hcmrs7eACP	h2o	3hcmrs7eACP___h2o	Zunongwangia_atlantica
123	3hcmrs7eACP	t3c7mrseACP	3hcmrs7eACP___t3c7mrseACP	Zunongwangia_atlantica
124	3hcpalm9eACP	h2o	3hcpalm9eACP___h2o	Zunongwangia_atlantica
125	3hcpalm9eACP	t3c9palmeACP	3hcpalm9eACP___t3c9palmeACP	Zunongwangia_atlantica
126	3hcvac11eACP	h2o	3hcvac11eACP___h2o	Zunongwangia_atlantica
127	3hcvac11eACP	t3c11vaceACP	3hcvac11eACP___t3c11vaceACP	Zunongwangia_atlantica
128	3hddecACP	h2o	3hddecACP___h2o	Zunongwangia_atlantica
129	3hddecACP	tddec2eACP	3hddecACP___tddec2eACP	Zunongwangia_atlantica
130	3hdecACP	h2o	3hdecACP___h2o	Zunongwangia_atlantica
131	3hdecACP	tdec2eACP	3hdecACP___tdec2eACP	Zunongwangia_atlantica
132	3hhexACP	h2o	3hhexACP___h2o	Zunongwangia_atlantica
133	3hhexACP	thex2eACP	3hhexACP___thex2eACP	Zunongwangia_atlantica
134	3hmrsACP	ACP	3hmrsACP___ACP	Zunongwangia_atlantica
